"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.81337209027274e-14,"Prcr","Catocala similis"
70,2.22044604925031e-16,1.76364141095184e-14,"Prcr","Catocala similis"
71,2.22044604925031e-16,1.71394447495872e-14,"Prcr","Catocala similis"
72,2.22044604925031e-16,1.66431395382714e-14,"Prcr","Catocala similis"
73,2.22044604925031e-16,1.61478252120777e-14,"Prcr","Catocala similis"
74,2.22044604925031e-16,1.56538285298613e-14,"Prcr","Catocala similis"
75,2.22044604925031e-16,1.51614762742393e-14,"Prcr","Catocala similis"
76,2.22044604925031e-16,1.46710952532757e-14,"Prcr","Catocala similis"
77,2.22044604925031e-16,1.4183012302458e-14,"Prcr","Catocala similis"
78,2.22044604925031e-16,1.36975542870387e-14,"Prcr","Catocala similis"
79,2.22044604925031e-16,1.32150481047837e-14,"Prcr","Catocala similis"
80,2.22044604925031e-16,1.27358206892086e-14,"Prcr","Catocala similis"
81,2.22044604925031e-16,1.22601990133845e-14,"Prcr","Catocala similis"
82,2.22044604925031e-16,1.17885100944218e-14,"Prcr","Catocala similis"
83,2.22044604925031e-16,1.1321080998758e-14,"Prcr","Catocala similis"
84,2.22044604925031e-16,1.08582388484192e-14,"Prcr","Catocala similis"
85,2.22044604925031e-16,1.0400310828434e-14,"Prcr","Catocala similis"
86,2.22044604925031e-16,9.94762419566383e-15,"Prcr","Catocala similis"
87,2.22044604925031e-16,9.5005062893337e-15,"Prcr","Catocala similis"
88,2.22044604925031e-16,9.05928454367655e-15,"Prcr","Catocala similis"
89,2.22044604925031e-16,8.62428650313872e-15,"Prcr","Catocala similis"
90,6.20026871172238e-16,2.28856762128344e-14,"Prcr","Catocala similis"
91,3.63925821819098e-15,1.27418473696849e-13,"Prcr","Catocala similis"
92,2.0771512093207e-14,6.88494565194716e-13,"Prcr","Catocala similis"
93,1.15139435032822e-13,3.60546721041215e-12,"Prcr","Catocala similis"
94,6.19054198858894e-13,1.82727224277116e-11,"Prcr","Catocala similis"
95,3.22425743208481e-12,8.94966713336029e-11,"Prcr","Catocala similis"
96,1.62470703221786e-11,4.23005668184137e-10,"Prcr","Catocala similis"
97,7.91065753897309e-11,1.92657657743745e-09,"Prcr","Catocala similis"
98,3.71697926710851e-10,8.44271638540862e-09,"Prcr","Catocala similis"
99,1.68327697522962e-09,3.55448962847621e-08,"Prcr","Catocala similis"
100,7.33764632615545e-09,1.43549235059198e-07,"Prcr","Catocala similis"
101,3.07497488483793e-08,5.55221338655215e-07,"Prcr","Catocala similis"
102,1.23725106193271e-07,2.05336674732e-06,"Prcr","Catocala similis"
103,4.77368128549237e-07,7.24889674928492e-06,"Prcr","Catocala similis"
104,1.7639090380924e-06,2.4385046912662e-05,"Prcr","Catocala similis"
105,6.2341032387138e-06,7.80239177929209e-05,"Prcr","Catocala similis"
106,2.10472176369051e-05,0.00023699932211138,"Prcr","Catocala similis"
107,6.77932023556373e-05,0.000682008725544899,"Prcr","Catocala similis"
108,0.000208063653560951,0.00185522070341445,"Prcr","Catocala similis"
109,0.000607676950352142,0.00475899309026422,"Prcr","Catocala similis"
110,0.00168680017358263,0.0114811396603152,"Prcr","Catocala similis"
111,0.00444443643354604,0.0259712254905045,"Prcr","Catocala similis"
112,0.0111014525748564,0.0548944799490623,"Prcr","Catocala similis"
113,0.0262543228780644,0.107977172317703,"Prcr","Catocala similis"
114,0.0587120979500403,0.196712403434952,"Prcr","Catocala similis"
115,0.123996092130487,0.330106178465744,"Prcr","Catocala similis"
116,0.246995975416009,0.507480330250842,"Prcr","Catocala similis"
117,0.463469429942161,0.713200327177048,"Prcr","Catocala similis"
118,0.818181220343367,0.929015364019193,"Prcr","Catocala similis"
119,1.35713476207994,1.19158988175469,"Prcr","Catocala similis"
120,2.11246418951879,1.66900921415614,"Prcr","Catocala similis"
121,3.08174363309855,2.55675335936622,"Prcr","Catocala similis"
122,4.20816043352504,3.83912479945351,"Prcr","Catocala similis"
123,5.37185841579498,5.25655083750217,"Prcr","Catocala similis"
124,6.40237594916401,6.40188168251389,"Prcr","Catocala similis"
125,7.11524717355258,6.86872847831906,"Prcr","Catocala similis"
126,7.36408635971907,6.44329200354383,"Prcr","Catocala similis"
127,7.0888481758495,5.27737402737019,"Prcr","Catocala similis"
128,6.33881761472059,3.98570548496699,"Prcr","Catocala similis"
129,5.25853143431429,3.46007115485711,"Prcr","Catocala similis"
130,4.04196164522372,3.74844340242551,"Prcr","Catocala similis"
131,2.87500931122959,3.98506490646499,"Prcr","Catocala similis"
132,1.88996401383316,3.73985147714966,"Prcr","Catocala similis"
133,1.14678732618524,3.07692128283713,"Prcr","Catocala similis"
134,0.64146824606108,2.2393229108784,"Prcr","Catocala similis"
135,0.33035297918724,1.45342503591979,"Prcr","Catocala similis"
136,0.156437165245332,0.846090212013454,"Prcr","Catocala similis"
137,0.068031203016755,0.44342288590341,"Prcr","Catocala similis"
138,0.0271350562056687,0.20971962833123,"Prcr","Catocala similis"
139,0.00991415078775823,0.0896434396223201,"Prcr","Catocala similis"
140,0.00331392514068018,0.0346597462767211,"Prcr","Catocala similis"
141,0.00101328268179671,0.0121384137799042,"Prcr","Catocala similis"
142,0.000283778107742224,0.00385989744941898,"Prcr","Catocala similis"
