"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.98487973443053e-13,"Prcr","Datana ministra"
70,2.22044604925031e-16,1.95111870569547e-13,"Prcr","Datana ministra"
71,2.22044604925031e-16,1.91736970718569e-13,"Prcr","Datana ministra"
72,2.22044604925031e-16,1.88364177133484e-13,"Prcr","Datana ministra"
73,2.22044604925031e-16,1.8499439308834e-13,"Prcr","Datana ministra"
74,2.22044604925031e-16,1.81628521877598e-13,"Prcr","Datana ministra"
75,2.22044604925031e-16,1.78267466805417e-13,"Prcr","Datana ministra"
76,2.22044604925031e-16,1.74912131174433e-13,"Prcr","Datana ministra"
77,2.22044604925031e-16,1.7156341827397e-13,"Prcr","Datana ministra"
78,2.22044604925031e-16,1.68222231367623e-13,"Prcr","Datana ministra"
79,2.22044604925031e-16,1.64889473680117e-13,"Prcr","Datana ministra"
80,2.22044604925031e-16,1.61566048383379e-13,"Prcr","Datana ministra"
81,2.22044604925031e-16,1.58252858581706e-13,"Prcr","Datana ministra"
82,2.22044604925031e-16,1.54950807295947e-13,"Prcr","Datana ministra"
83,2.22044604925031e-16,1.51660797446566e-13,"Prcr","Datana ministra"
84,2.22044604925031e-16,1.48383731835465e-13,"Prcr","Datana ministra"
85,2.22044604925031e-16,1.4512051312643e-13,"Prcr","Datana ministra"
86,2.22044604925031e-16,1.41872043824023e-13,"Prcr","Datana ministra"
87,2.22044604925031e-16,1.38639226250759e-13,"Prcr","Datana ministra"
88,2.22044604925031e-16,1.35422962522362e-13,"Prcr","Datana ministra"
89,2.22044604925031e-16,1.32224154520866e-13,"Prcr","Datana ministra"
90,2.22044604925031e-16,1.29043703865331e-13,"Prcr","Datana ministra"
91,2.22044604925031e-16,1.25882511879863e-13,"Prcr","Datana ministra"
92,2.22044604925031e-16,1.2274147955865e-13,"Prcr","Datana ministra"
93,2.22044604925031e-16,1.19621507527622e-13,"Prcr","Datana ministra"
94,2.22044604925031e-16,1.16523496002353e-13,"Prcr","Datana ministra"
95,2.22044604925031e-16,1.13448344741727e-13,"Prcr","Datana ministra"
96,2.22044604925031e-16,1.10396952996862e-13,"Prcr","Datana ministra"
97,2.22044604925031e-16,1.07370219454678e-13,"Prcr","Datana ministra"
98,2.22044604925031e-16,1.04369042175447e-13,"Prcr","Datana ministra"
99,2.22044604925031e-16,1.01394318523558e-13,"Prcr","Datana ministra"
