"doy","fit","se","Site","validName"
69,0.274351584947287,0.229097018907096,"Prcr","Desmia funeralis"
70,0.271535848789934,0.225592089690716,"Prcr","Desmia funeralis"
71,0.268749011211965,0.222142755070314,"Prcr","Desmia funeralis"
72,0.265990775623678,0.218748281779321,"Prcr","Desmia funeralis"
73,0.263260848479237,0.21540794570807,"Prcr","Desmia funeralis"
74,0.260558939245436,0.212121031770907,"Prcr","Desmia funeralis"
75,0.25788476037078,0.208886833774161,"Prcr","Desmia funeralis"
76,0.255238027254887,0.205704654284942,"Prcr","Desmia funeralis"
77,0.252618458218201,0.202573804500752,"Prcr","Desmia funeralis"
78,0.250025774472014,0.199493604119893,"Prcr","Desmia funeralis"
79,0.247459700088806,0.196463381212659,"Prcr","Desmia funeralis"
80,0.244919961972875,0.193482472093288,"Prcr","Desmia funeralis"
81,0.242406289831277,0.190550221192674,"Prcr","Desmia funeralis"
82,0.239918416145065,0.187665980931817,"Prcr","Desmia funeralis"
83,0.237456076140816,0.18482911159601,"Prcr","Desmia funeralis"
84,0.235019007762462,0.18203898120976,"Prcr","Desmia funeralis"
85,0.232606951643392,0.179294965412423,"Prcr","Desmia funeralis"
86,0.230219651078864,0.176596447334564,"Prcr","Desmia funeralis"
87,0.227856851998677,0.173942817475048,"Prcr","Desmia funeralis"
88,0.22551830294014,0.171333473578842,"Prcr","Desmia funeralis"
89,0.223203755021308,0.168767820515559,"Prcr","Desmia funeralis"
90,0.2209129619145,0.166245270158736,"Prcr","Desmia funeralis"
91,0.218645679820084,0.163765241265866,"Prcr","Desmia funeralis"
92,0.216401667440532,0.161327159359189,"Prcr","Desmia funeralis"
93,0.214180685954745,0.158930456607276,"Prcr","Desmia funeralis"
94,0.211982498992633,0.156574571707409,"Prcr","Desmia funeralis"
95,0.209806872609966,0.154258949768792,"Prcr","Desmia funeralis"
96,0.207653575263477,0.151983042196618,"Prcr","Desmia funeralis"
97,0.205522377786219,0.149746306577025,"Prcr","Desmia funeralis"
98,0.203413053363183,0.147548206562974,"Prcr","Desmia funeralis"
99,0.201325377507155,0.14538821176109,"Prcr","Desmia funeralis"
100,0.19925912803483,0.143265797619509,"Prcr","Desmia funeralis"
101,0.197214085043171,0.14118044531677,"Prcr","Desmia funeralis"
102,0.195190030885997,0.139131641651824,"Prcr","Desmia funeralis"
103,0.193186750150833,0.137118878935181,"Prcr","Desmia funeralis"
104,0.19120402963598,0.13514165488129,"Prcr","Desmia funeralis"
105,0.189241658327828,0.133199472502187,"Prcr","Desmia funeralis"
106,0.1872994273784,0.131291840002488,"Prcr","Desmia funeralis"
107,0.185377130083127,0.129418270675798,"Prcr","Desmia funeralis"
108,0.183474561858852,0.127578282802609,"Prcr","Desmia funeralis"
109,0.181591520222057,0.125771399549759,"Prcr","Desmia funeralis"
110,0.179727804767314,0.123997148871539,"Prcr","Desmia funeralis"
111,0.17788321714596,0.122255063412527,"Prcr","Desmia funeralis"
112,0.176057561044992,0.120544680412243,"Prcr","Desmia funeralis"
113,0.174250642166168,0.118865541611697,"Prcr","Desmia funeralis"
114,0.172462268205336,0.117217193161949,"Prcr","Desmia funeralis"
115,0.17069224883197,0.115599185534745,"Prcr","Desmia funeralis"
116,0.168940395668908,0.114011073435352,"Prcr","Desmia funeralis"
117,0.167206522272314,0.11245241571766,"Prcr","Desmia funeralis"
118,0.165490444111831,0.110922775301681,"Prcr","Desmia funeralis"
119,0.163791978550945,0.109421719093513,"Prcr","Desmia funeralis"
120,0.16211094482755,0.107948817907887,"Prcr","Desmia funeralis"
121,0.160447164034709,0.106503646393388,"Prcr","Desmia funeralis"
122,0.158800459101619,0.105085782960438,"Prcr","Desmia funeralis"
123,0.157170654774763,0.103694809712157,"Prcr","Desmia funeralis"
124,0.15555757759926,0.102330312378165,"Prcr","Desmia funeralis"
125,0.15396105590041,0.100991880251445,"Prcr","Desmia funeralis"
126,0.15238091976542,0.0996791061283202,"Prcr","Desmia funeralis"
127,0.150817001025324,0.0983915862516623,"Prcr","Desmia funeralis"
128,0.149269133237086,0.0971289202573721,"Prcr","Desmia funeralis"
129,0.147737151665886,0.0958907111242289,"Prcr","Desmia funeralis"
130,0.146220893267593,0.0946765651271597,"Prcr","Desmia funeralis"
131,0.14472019667141,0.0934860917939903,"Prcr","Desmia funeralis"
132,0.143234902162699,0.0923189038657264,"Prcr","Desmia funeralis"
133,0.141764851665991,0.0911746172604075,"Prcr","Desmia funeralis"
134,0.140309888728158,0.0900528510405642,"Prcr","Desmia funeralis"
135,0.138869858501764,0.0889532273843042,"Prcr","Desmia funeralis"
136,0.137444607728589,0.0878753715600384,"Prcr","Desmia funeralis"
137,0.136033984723315,0.0868189119048512,"Prcr","Desmia funeralis"
138,0.134637839357387,0.0857834798065048,"Prcr","Desmia funeralis"
139,0.133256023043033,0.0847687096890606,"Prcr","Desmia funeralis"
140,0.131888388717408,0.0837742390021951,"Prcr","Desmia funeralis"
141,0.130534790825127,0.0827997082181545,"Prcr","Desmia funeralis"
142,0.129195085302321,0.0818447608291072,"Prcr","Desmia funeralis"
143,0.127869129563641,0.0809090433413294,"Prcr","Desmia funeralis"
144,0.126556782487239,0.0799922052776734,"Prcr","Desmia funeralis"
145,0.12525790439975,0.0790938991836698,"Prcr","Desmia funeralis"
146,0.123972357061421,0.0782137806367838,"Prcr","Desmia funeralis"
147,0.122700003651395,0.0773515082587052,"Prcr","Desmia funeralis"
148,0.12144070875315,0.0765067437305486,"Prcr","Desmia funeralis"
149,0.12019433834008,0.0756791518108229,"Prcr","Desmia funeralis"
150,0.118960759761231,0.0748684003560227,"Prcr","Desmia funeralis"
151,0.117739841727178,0.0740741603436799,"Prcr","Desmia funeralis"
152,0.11653145429605,0.0732961058977097,"Prcr","Desmia funeralis"
153,0.115335468859698,0.0725339143158706,"Prcr","Desmia funeralis"
154,0.114151758130007,0.0717872660991552,"Prcr","Desmia funeralis"
155,0.112980196125341,0.0710558449829173,"Prcr","Desmia funeralis"
156,0.111820658157139,0.070339337969537,"Prcr","Desmia funeralis"
157,0.110673020816636,0.0696374353624206,"Prcr","Desmia funeralis"
158,0.109537161961732,0.0689498308011249,"Prcr","Desmia funeralis"
159,0.108412960703985,0.0682762212973951,"Prcr","Desmia funeralis"
160,0.107300297395746,0.0676163072719034,"Prcr","Desmia funeralis"
161,0.106199053617422,0.0669697925914707,"Prcr","Desmia funeralis"
162,0.10510911216487,0.0663363846065589,"Prcr","Desmia funeralis"
163,0.104030357036923,0.0657157941888178,"Prcr","Desmia funeralis"
164,0.102962673423036,0.0651077357684753,"Prcr","Desmia funeralis"
165,0.101905947691075,0.0645119273713622,"Prcr","Desmia funeralis"
166,0.10086006737521,0.0639280906553669,"Prcr","Desmia funeralis"
167,0.0998249211639514,0.0633559509461194,"Prcr","Desmia funeralis"
168,0.0988003988882984,0.0627952372717127,"Prcr","Desmia funeralis"
169,0.0977863915100112,0.0622456823962735,"Prcr","Desmia funeralis"
170,0.0967827911100055,0.0617070228522049,"Prcr","Desmia funeralis"
171,0.0957894908768645,0.0611789989709295,"Prcr","Desmia funeralis"
172,0.0948063850954692,0.0606613549119728,"Prcr","Desmia funeralis"
173,0.0938333691357456,0.0601538386902353,"Prcr","Desmia funeralis"
174,0.0928703394415274,0.0596562022013132,"Prcr","Desmia funeralis"
175,0.0919171935195325,0.0591682012447367,"Prcr","Desmia funeralis"
176,0.0909738299284532,0.0586895955450086,"Prcr","Desmia funeralis"
177,0.0900401482681587,0.058220148770335,"Prcr","Desmia funeralis"
178,0.0891160491690077,0.0577596285489532,"Prcr","Desmia funeralis"
179,0.0882014342812707,0.0573078064829739,"Prcr","Desmia funeralis"
180,0.0872962062646614,0.0568644581596645,"Prcr","Desmia funeralis"
181,0.0864002687779759,0.0564293631601172,"Prcr","Desmia funeralis"
182,0.0855135264688367,0.0560023050652498,"Prcr","Desmia funeralis"
183,0.0846358849635439,0.0555830714591078,"Prcr","Desmia funeralis"
184,0.0837672508570291,0.0551714539294398,"Prcr","Desmia funeralis"
185,0.0829075317029133,0.0547672480655351,"Prcr","Desmia funeralis"
186,0.0820566360036664,0.0543702534533205,"Prcr","Desmia funeralis"
187,0.0812144732008678,0.0539802736677233,"Prcr","Desmia funeralis"
188,0.0803809536655672,0.0535971162623204,"Prcr","Desmia funeralis"
189,0.0795559886887444,0.0532205927562996,"Prcr","Desmia funeralis"
190,0.078739490471866,0.0528505186187713,"Prcr","Desmia funeralis"
191,0.0779313721175411,0.0524867132504735,"Prcr","Desmia funeralis"
192,0.0771315476202703,0.0521289999629261,"Prcr","Desmia funeralis"
193,0.0763399318572924,0.0517772059550928,"Prcr","Desmia funeralis"
194,0.0755564405795224,0.0514311622876183,"Prcr","Desmia funeralis"
195,0.0747809904025851,0.0510907038547153,"Prcr","Desmia funeralis"
196,0.0740134987979382,0.0507556693537787,"Prcr","Desmia funeralis"
197,0.073253884084089,0.0504259012528125,"Prcr","Desmia funeralis"
198,0.072502065417899,0.0501012457557555,"Prcr","Desmia funeralis"
199,0.0717579627859794,0.0497815527658011,"Prcr","Desmia funeralis"
200,0.0710214969961743,0.0494666758468029,"Prcr","Desmia funeralis"
201,0.0702925896691312,0.0491564721828666,"Prcr","Desmia funeralis"
202,0.0695711632299581,0.0488508025362265,"Prcr","Desmia funeralis"
203,0.0688571408999668,0.0485495312035095,"Prcr","Desmia funeralis"
204,0.0681504466884996,0.0482525259704877,"Prcr","Desmia funeralis"
205,0.0674510053848419,0.0479596580654243,"Prcr","Desmia funeralis"
206,0.0667587425502157,0.0476708021111144,"Prcr","Desmia funeralis"
207,0.0660735845098568,0.0473858360757261,"Prcr","Desmia funeralis"
208,0.0653954583451729,0.0471046412225414,"Prcr","Desmia funeralis"
209,0.0647242918859816,0.046827102058701,"Prcr","Desmia funeralis"
210,0.0640600137028291,0.0465531062830512,"Prcr","Desmia funeralis"
211,0.063402553099387,0.0462825447331921,"Prcr","Desmia funeralis"
212,0.0627518401049274,0.0460153113318229,"Prcr","Desmia funeralis"
213,0.0621078054668751,0.0457513030324793,"Prcr","Desmia funeralis"
214,0.0614703806434367,0.0454904197647542,"Prcr","Desmia funeralis"
215,0.0608394977963045,0.0452325643790908,"Prcr","Desmia funeralis"
216,0.0602150897834366,0.0449776425912352,"Prcr","Desmia funeralis"
