"doy","fit","se","Site","validName"
69,0.0159012482384853,0.0414276953449862,"Prcr","Dryocampa rubicunda"
70,0.0169791237838229,0.0434103672379163,"Prcr","Dryocampa rubicunda"
71,0.0181297038367116,0.0454730001267361,"Prcr","Dryocampa rubicunda"
72,0.0193574836420214,0.0476169225310774,"Prcr","Dryocampa rubicunda"
73,0.0206671802215923,0.0498432979329488,"Prcr","Dryocampa rubicunda"
74,0.0220637366285853,0.0521531066406638,"Prcr","Dryocampa rubicunda"
75,0.0235523254294851,0.054547127581806,"Prcr","Dryocampa rubicunda"
76,0.02513835128998,0.0570259202530375,"Prcr","Dryocampa rubicunda"
77,0.0268274525317939,0.0595898070899329,"Prcr","Dryocampa rubicunda"
78,0.0286255015184289,0.0622388565574321,"Prcr","Dryocampa rubicunda"
79,0.0305386037187996,0.0649728673005867,"Prcr","Dryocampa rubicunda"
80,0.0325730952890496,0.0677913537356415,"Prcr","Dryocampa rubicunda"
81,0.0347355390045508,0.0706935335025302,"Prcr","Dryocampa rubicunda"
82,0.03703271836639,0.0736783172408901,"Prcr","Dryocampa rubicunda"
83,0.039471629699698,0.0767443011917694,"Prcr","Dryocampa rubicunda"
84,0.042059472055184,0.0798897631652379,"Prcr","Dryocampa rubicunda"
85,0.0448036347204108,0.0831126624486965,"Prcr","Dryocampa rubicunda"
86,0.0477116821439061,0.0864106442602304,"Prcr","Dryocampa rubicunda"
87,0.0507913360734139,0.0897810493738632,"Prcr","Dryocampa rubicunda"
88,0.0540504547096769,0.0932209295567367,"Prcr","Dryocampa rubicunda"
89,0.0574970086794102,0.0967270694593485,"Prcr","Dryocampa rubicunda"
90,0.0611390536358258,0.100296015585881,"Prcr","Dryocampa rubicunda"
91,0.0649846993025051,0.103924112938675,"Prcr","Dryocampa rubicunda"
92,0.0690420747868688,0.107607549874984,"Prcr","Dryocampa rubicunda"
93,0.0733192900032566,0.111342411630582,"Prcr","Dryocampa rubicunda"
94,0.077824393062978,0.11512474284855,"Prcr","Dryocampa rubicunda"
95,0.0825653235099043,0.118950619297071,"Prcr","Dryocampa rubicunda"
96,0.0875498613054963,0.122816228761519,"Prcr","Dryocampa rubicunda"
97,0.0927855714968176,0.126717960847732,"Prcr","Dryocampa rubicunda"
98,0.0982797445352853,0.130652505129415,"Prcr","Dryocampa rubicunda"
99,0.104039332252797,0.134616956708375,"Prcr","Dryocampa rubicunda"
100,0.110070879545555,0.138608927828295,"Prcr","Dryocampa rubicunda"
101,0.11638045186446,0.142626663689843,"Prcr","Dryocampa rubicunda"
102,0.122973558664281,0.146669160059497,"Prcr","Dryocampa rubicunda"
103,0.129855073021974,0.15073627965352,"Prcr","Dryocampa rubicunda"
104,0.137029147697118,0.154828863625748,"Prcr","Dryocampa rubicunda"
105,0.144499127974463,0.158948833814582,"Prcr","Dryocampa rubicunda"
106,0.152267461699418,0.163099280742427,"Prcr","Dryocampa rubicunda"
107,0.160335606991626,0.16728453175195,"Prcr","Dryocampa rubicunda"
108,0.168703938198927,0.171510193162319,"Prcr","Dryocampa rubicunda"
