"doy","fit","se","Site","validName"
69,8.93295602005895e-10,2.97923436299061e-08,"Prcr","Eacles imperialis"
70,1.04116394341193e-09,3.42663384077737e-08,"Prcr","Eacles imperialis"
71,1.21351724410645e-09,3.94058206416505e-08,"Prcr","Eacles imperialis"
72,1.41442069371773e-09,4.53090397634166e-08,"Prcr","Eacles imperialis"
73,1.64861777165982e-09,5.20886730183657e-08,"Prcr","Eacles imperialis"
74,1.92164423331516e-09,5.98739375339971e-08,"Prcr","Eacles imperialis"
75,2.23996142787803e-09,6.88130112891702e-08,"Prcr","Eacles imperialis"
76,2.61111226262366e-09,7.90758082221553e-08,"Prcr","Eacles imperialis"
77,3.04390370392219e-09,9.08571593656982e-08,"Prcr","Eacles imperialis"
78,3.54862038220419e-09,1.04380459530343e-07,"Prcr","Eacles imperialis"
79,4.1372746644141e-09,1.19901847820766e-07,"Prcr","Eacles imperialis"
80,4.82389949465795e-09,1.37715000332803e-07,"Prcr","Eacles imperialis"
81,5.62489140705467e-09,1.58156624935901e-07,"Prcr","Eacles imperialis"
82,6.5594124141469e-09,1.81612761321134e-07,"Prcr","Eacles imperialis"
83,7.64986100499726e-09,2.08526004747202e-07,"Prcr","Eacles imperialis"
84,8.92242429116545e-09,2.39403789443877e-07,"Prcr","Eacles imperialis"
85,1.04077254657042e-08,2.74827887777873e-07,"Prcr","Eacles imperialis"
86,1.21415832488475e-08,3.15465304446524e-07,"Prcr","Eacles imperialis"
87,1.41659029537752e-08,3.62080771597619e-07,"Prcr","Eacles imperialis"
88,1.6529722299199e-08,4.15551081407757e-07,"Prcr","Eacles imperialis"
89,1.92904392203533e-08,4.76881527897137e-07,"Prcr","Eacles imperialis"
90,2.25152538023434e-08,5.47224770321621e-07,"Prcr","Eacles imperialis"
91,2.62828622174629e-08,6.27902477179374e-07,"Prcr","Eacles imperialis"
92,3.06854473546405e-08,7.20430163643852e-07,"Prcr","Eacles imperialis"
93,3.58310188789494e-08,8.26545697180838e-07,"Prcr","Eacles imperialis"
94,4.18461649831303e-08,9.48242017491512e-07,"Prcr","Eacles imperialis"
95,4.88792893660131e-08,1.08780469921447e-06,"Prcr","Eacles imperialis"
96,5.71044203213624e-08,1.2478550807207e-06,"Prcr","Eacles imperialis"
97,6.67256946339678e-08,1.43139979182366e-06,"Prcr","Eacles imperialis"
98,7.79826377208601e-08,1.64188763959797e-06,"Prcr","Eacles imperialis"
99,9.11563836761788e-08,1.88327495742453e-06,"Prcr","Eacles imperialis"
100,1.06577005235996e-07,2.1601006909605e-06,"Prcr","Eacles imperialis"
101,1.24632154958605e-07,2.47757268958434e-06,"Prcr","Eacles imperialis"
102,1.45777256052007e-07,2.84166689719811e-06,"Prcr","Eacles imperialis"
103,1.70547525390303e-07,3.25924139698826e-06,"Prcr","Eacles imperialis"
104,1.9957216367825e-07,3.73816756657957e-06,"Prcr","Eacles imperialis"
105,2.33591110041768e-07,4.28748094964701e-06,"Prcr","Eacles imperialis"
106,2.73474832446751e-07,4.91755485529137e-06,"Prcr","Eacles imperialis"
107,3.20247713557559e-07,5.64030016646962e-06,"Prcr","Eacles imperialis"
108,3.7511569666642e-07,6.4693953841917e-06,"Prcr","Eacles imperialis"
109,4.39498981420024e-07,7.42055156757096e-06,"Prcr","Eacles imperialis"
110,5.1507070815021e-07,8.51181756582531e-06,"Prcr","Eacles imperialis"
111,6.03802747368019e-07,9.76393179417307e-06,"Prcr","Eacles imperialis"
112,7.0801992302501e-07,1.12007278014639e-05,"Prcr","Eacles imperialis"
113,8.30464251224729e-07,1.28496020370419e-05,"Prcr","Eacles imperialis"
114,9.74371078275231e-07,1.4742053575641e-05,"Prcr","Eacles imperialis"
115,1.14355936303249e-06,1.69143071348255e-05,"Prcr","Eacles imperialis"
116,1.34253878007775e-06,1.94080325581683e-05,"Prcr","Eacles imperialis"
117,1.57663683644751e-06,2.22711760843503e-05,"Prcr","Eacles imperialis"
118,1.85214981229488e-06,2.555892123106e-05,"Prcr","Eacles imperialis"
119,2.17652207534927e-06,2.93348000558072e-05,"Prcr","Eacles imperialis"
120,2.55855920486372e-06,3.36719789875367e-05,"Prcr","Eacles imperialis"
121,3.00868142242526e-06,3.86547474403431e-05,"Prcr","Eacles imperialis"
122,3.53922510016268e-06,4.43802421261912e-05,"Prcr","Eacles imperialis"
123,4.16480164448076e-06,5.09604454980522e-05,"Prcr","Eacles imperialis"
124,4.90272488734446e-06,5.85245032202455e-05,"Prcr","Eacles imperialis"
125,5.77352031998083e-06,6.72214131460562e-05,"Prcr","Eacles imperialis"
126,6.80153215137888e-06,7.72231471800937e-05,"Prcr","Eacles imperialis"
127,8.01564735772352e-06,8.87282778448906e-05,"Prcr","Eacles imperialis"
128,9.45015971970643e-06,0.00010196619362828,"Prcr","Eacles imperialis"
129,1.11458014566897e-05,0.000117202001577202,"Prcr","Eacles imperialis"
130,1.31509756225107e-05,0.000134742232495873,"Prcr","Eacles imperialis"
131,1.55232291243787e-05,0.0001549414839358,"Prcr","Eacles imperialis"
132,1.83310143028741e-05,0.000178210159438965,"Prcr","Eacles imperialis"
133,2.16557967576882e-05,0.000205023489804958,"Prcr","Eacles imperialis"
134,2.55945788728468e-05,0.00023593205418688,"Prcr","Eacles imperialis"
135,3.02629227150646e-05,0.000271574056381028,"Prcr","Eacles imperialis"
136,3.5798573170442e-05,0.000312689655693256,"Prcr","Eacles imperialis"
137,4.23658029817766e-05,0.000360137703322306,"Prcr","Eacles imperialis"
138,5.01606265231379e-05,0.000414915295553018,"Prcr","Eacles imperialis"
139,5.94170596404354e-05,0.000478180625657727,"Prcr","Eacles imperialis"
140,7.04145866536542e-05,0.000551279228082461,"Prcr","Eacles imperialis"
141,8.34847621096837e-05,0.000635754296423197,"Prcr","Eacles imperialis"
142,9.9018913341549e-05,0.000733359676955834,"Prcr","Eacles imperialis"
143,0.000117480994322943,0.000846107272126304,"Prcr","Eacles imperialis"
144,0.000139420854540148,0.00097630380587939,"Prcr","Eacles imperialis"
145,0.000165489593598499,0.00112659029513799,"Prcr","Eacles imperialis"
146,0.000196457500578542,0.00129998590424912,"Prcr","Eacles imperialis"
147,0.000233234971063296,0.00149993645961616,"Prcr","Eacles imperialis"
148,0.000276896843928076,0.00173036786707718,"Prcr","Eacles imperialis"
149,0.000328710652688914,0.00199574462306415,"Prcr","Eacles imperialis"
150,0.000390169341992319,0.00230113353875226,"Prcr","Eacles imperialis"
151,0.000463029057993573,0.0026522727005263,"Prcr","Eacles imperialis"
152,0.000549352680899254,0.00305564556612481,"Prcr","Eacles imperialis"
153,0.000651559827453488,0.0035185599395643,"Prcr","Eacles imperialis"
154,0.000772484108791993,0.0040492313751377,"Prcr","Eacles imperialis"
155,0.000915438482516236,0.00465687032728935,"Prcr","Eacles imperialis"
156,0.00108428958409152,0.00535177208522152,"Prcr","Eacles imperialis"
157,0.0012835419581037,0.00614540820557501,"Prcr","Eacles imperialis"
158,0.00151843313011318,0.00705051778136934,"Prcr","Eacles imperialis"
159,0.00179504045958182,0.00808119645999292,"Prcr","Eacles imperialis"
160,0.00212040068748962,0.00925298064881637,"Prcr","Eacles imperialis"
161,0.00250264303174595,0.0105829238280039,"Prcr","Eacles imperialis"
162,0.00295113658134853,0.0120896613336625,"Prcr","Eacles imperialis"
163,0.00347665258756588,0.0137934593919844,"Prcr","Eacles imperialis"
164,0.00409154203752408,0.0157162435927265,"Prcr","Eacles imperialis"
165,0.00480992861211862,0.0178816014100538,"Prcr","Eacles imperialis"
166,0.00564791676538322,0.0203147528386366,"Prcr","Eacles imperialis"
167,0.00662381420547647,0.0230424827481303,"Prcr","Eacles imperialis"
168,0.00775836749779499,0.0260930282124487,"Prcr","Eacles imperialis"
169,0.00907500883880474,0.029495913891961,"Prcr","Eacles imperialis"
170,0.0106001112570257,0.0332817285948427,"Prcr","Eacles imperialis"
171,0.0123632485796778,0.0374818364832109,"Prcr","Eacles imperialis"
172,0.0143974554576832,0.0421280170910064,"Prcr","Eacles imperialis"
173,0.0167394815704113,0.0472520294582789,"Prcr","Eacles imperialis"
174,0.0194300328428691,0.0528850973359412,"Prcr","Eacles imperialis"
175,0.0225139911171031,0.0590573146486611,"Prcr","Eacles imperialis"
176,0.026040602249833,0.0657969732859666,"Prcr","Eacles imperialis"
177,0.0300636210928498,0.0731298188734364,"Prcr","Eacles imperialis"
178,0.0346414002953159,0.0810782444861261,"Prcr","Eacles imperialis"
179,0.0398369084033833,0.0896604373039447,"Prcr","Eacles imperialis"
180,0.0457176613904674,0.0988894989320186,"Prcr","Eacles imperialis"
181,0.0523555506115493,0.108772566424852,"Prcr","Eacles imperialis"
182,0.0598265493296474,0.119309967803783,"Prcr","Eacles imperialis"
183,0.0682102795156041,0.130494452807273,"Prcr","Eacles imperialis"
184,0.0775894206859087,0.142310546434826,"Prcr","Eacles imperialis"
185,0.0880489432354978,0.154734079101321,"Prcr","Eacles imperialis"
186,0.0996751501628561,0.167731952348421,"Prcr","Eacles imperialis"
187,0.11255451338889,0.181262202361391,"Prcr","Eacles imperialis"
188,0.12677229414397,0.195274424154151,"Prcr","Eacles imperialis"
189,0.14241094122601,0.209710616183436,"Prcr","Eacles imperialis"
190,0.159548266376295,0.224506497129082,"Prcr","Eacles imperialis"
191,0.178255402602481,0.239593332258945,"Prcr","Eacles imperialis"
192,0.198594558977673,0.254900284683895,"Prcr","Eacles imperialis"
193,0.220616594183046,0.270357275367484,"Prcr","Eacles imperialis"
194,0.244358440698274,0.285898293609026,"Prcr","Eacles imperialis"
195,0.269840421867186,0.301465045980935,"Prcr","Eacles imperialis"
196,0.297063514789107,0.317010766521651,"Prcr","Eacles imperialis"
197,0.326006622746135,0.332503936365049,"Prcr","Eacles imperialis"
198,0.356623931236754,0.347931581863259,"Prcr","Eacles imperialis"
199,0.388842431144152,0.363301745743437,"Prcr","Eacles imperialis"
200,0.422559700567891,0.378644670245342,"Prcr","Eacles imperialis"
201,0.457642042799952,0.394012214172384,"Prcr","Eacles imperialis"
202,0.493923081230434,0.409475070580307,"Prcr","Eacles imperialis"
203,0.53120291204343,0.425117480491002,"Prcr","Eacles imperialis"
204,0.569247911882497,0.441029363373123,"Prcr","Eacles imperialis"
205,0.607791289791785,0.457296100570993,"Prcr","Eacles imperialis"
206,0.646534460367136,0.473986578847498,"Prcr","Eacles imperialis"
207,0.685149298044069,0.491140464054796,"Prcr","Eacles imperialis"
208,0.723281310872109,0.508755947917713,"Prcr","Eacles imperialis"
209,0.760553746275745,0.526779317585392,"Prcr","Eacles imperialis"
210,0.796572611730968,0.545097594910567,"Prcr","Eacles imperialis"
211,0.830932560802366,0.563535190110973,"Prcr","Eacles imperialis"
212,0.863223560651228,0.581855074741273,"Prcr","Eacles imperialis"
213,0.893038222231651,0.599764494740679,"Prcr","Eacles imperialis"
214,0.919979640421561,0.616924807214746,"Prcr","Eacles imperialis"
215,0.943669559901683,0.632964697212201,"Prcr","Eacles imperialis"
216,0.96375665537197,0.647495835605728,"Prcr","Eacles imperialis"
217,0.979924693327728,0.660129964308155,"Prcr","Eacles imperialis"
218,0.991900328630918,0.670496409262941,"Prcr","Eacles imperialis"
219,0.999460283810119,0.678259090406489,"Prcr","Eacles imperialis"
220,1.00243766339118,0.68313219368914,"Prcr","Eacles imperialis"
221,1.00072717018256,0.684893776782462,"Prcr","Eacles imperialis"
222,0.994289015421191,0.683396690594131,"Prcr","Eacles imperialis"
223,0.983151349610797,0.6785763129035,"Prcr","Eacles imperialis"
224,0.96741108479524,0.670454710986307,"Prcr","Eacles imperialis"
225,0.947233234324834,0.659141203764251,"Prcr","Eacles imperialis"
226,0.92289023321507,0.644874013240567,"Prcr","Eacles imperialis"
227,0.894801523600879,0.628054924632639,"Prcr","Eacles imperialis"
228,0.863434092375446,0.609129018855935,"Prcr","Eacles imperialis"
229,0.829277254435042,0.588548661963289,"Prcr","Eacles imperialis"
230,0.792831083350924,0.566754019195749,"Prcr","Eacles imperialis"
231,0.754595494690314,0.544156226272146,"Prcr","Eacles imperialis"
232,0.715060259738465,0.521123953355687,"Prcr","Eacles imperialis"
233,0.674696166087929,0.497973877872979,"Prcr","Eacles imperialis"
234,0.633947478049224,0.474965320911611,"Prcr","Eacles imperialis"
235,0.593225787314074,0.452299007707979,"Prcr","Eacles imperialis"
236,0.552905285521156,0.430119607023492,"Prcr","Eacles imperialis"
237,0.513319437533185,0.408521420090595,"Prcr","Eacles imperialis"
238,0.47475898893065,0.387556366881448,"Prcr","Eacles imperialis"
239,0.43747120445732,0.367243291724092,"Prcr","Eacles imperialis"
240,0.401660206343246,0.347577602768154,"Prcr","Eacles imperialis"
241,0.367488262507501,0.328540368648838,"Prcr","Eacles imperialis"
242,0.335077864109109,0.310106195753399,"Prcr","Eacles imperialis"
243,0.304514428949127,0.292249459548558,"Prcr","Eacles imperialis"
244,0.275849470779514,0.274948718017607,"Prcr","Eacles imperialis"
245,0.249104083460202,0.258189356117412,"Prcr","Eacles imperialis"
246,0.224272601889741,0.241964673412826,"Prcr","Eacles imperialis"
247,0.20132631750416,0.226275724748176,"Prcr","Eacles imperialis"
248,0.180217143760459,0.211130261069849,"Prcr","Eacles imperialis"
249,0.16088114538491,0.196541107342229,"Prcr","Eacles imperialis"
250,0.143241863411388,0.182524272751734,"Prcr","Eacles imperialis"
251,0.127213385464838,0.169097029977764,"Prcr","Eacles imperialis"
252,0.112703126829177,0.15627613710768,"Prcr","Eacles imperialis"
253,0.0996143022067803,0.144076315993872,"Prcr","Eacles imperialis"
254,0.0878480805026542,0.132509049303724,"Prcr","Eacles imperialis"
255,0.0773054253519947,0.121581717325247,"Prcr","Eacles imperialis"
256,0.0678886324617375,0.11129706502328,"Prcr","Eacles imperialis"
257,0.0595025812452336,0.101652969010557,"Prcr","Eacles imperialis"
258,0.052055722845929,0.0926424615347386,"Prcr","Eacles imperialis"
259,0.0454608296643381,0.0842539626137274,"Prcr","Eacles imperialis"
260,0.0396355331399681,0.0764716704422425,"Prcr","Eacles imperialis"
261,0.0345026770225589,0.0692760626788838,"Prcr","Eacles imperialis"
262,0.0299905129185062,0.0626444659722104,"Prcr","Eacles imperialis"
263,0.0260327637301055,0.0565516571095518,"Prcr","Eacles imperialis"
264,0.0225685789102628,0.0509704657186485,"Prcr","Eacles imperialis"
265,0.019542403404111,0.0458723549707707,"Prcr","Eacles imperialis"
266,0.0169037798874744,0.0412279628491006,"Prcr","Eacles imperialis"
267,0.0146071015613316,0.0370075920226238,"Prcr","Eacles imperialis"
268,0.0126113304181528,0.0331816410777887,"Prcr","Eacles imperialis"
269,0.0108796936345998,0.0297209737640522,"Prcr","Eacles imperialis"
270,0.00937936861982755,0.0265972260202,"Prcr","Eacles imperialis"
271,0.00808116529624149,0.0237830529206141,"Prcr","Eacles imperialis"
272,0.0069592124320603,0.0212523193933112,"Prcr","Eacles imperialis"
273,0.0059906532923545,0.018980239705853,"Prcr","Eacles imperialis"
274,0.00515535452787681,0.0169434713860134,"Prcr","Eacles imperialis"
275,0.00443563107226911,0.0151201695336116,"Prcr","Eacles imperialis"
276,0.00381598885629652,0.0134900074736711,"Prcr","Eacles imperialis"
277,0.00328288635736606,0.0120341694751787,"Prcr","Eacles imperialis"
278,0.00282451536648809,0.0107353208798785,"Prcr","Eacles imperialis"
279,0.00243060085492662,0.00957756050657311,"Prcr","Eacles imperialis"
280,0.00209221944096836,0.0085463596627395,"Prcr","Eacles imperialis"
281,0.00180163567609882,0.00762849154170214,"Prcr","Eacles imperialis"
282,0.00155215517309777,0.00681195423639957,"Prcr","Eacles imperialis"
283,0.0013379811688515,0.0060858241111183,"Prcr","Eacles imperialis"
284,0.00115403858991714,0.00543982989898613,"Prcr","Eacles imperialis"
285,0.00099595946963745,0.0048647061336507,"Prcr","Eacles imperialis"
286,0.000860021835021559,0.00435230768371479,"Prcr","Eacles imperialis"
287,0.000743052062041224,0.00389547238774819,"Prcr","Eacles imperialis"
288,0.000642342176014053,0.00348789900341855,"Prcr","Eacles imperialis"
289,0.000555579915538686,0.0031240399516523,"Prcr","Eacles imperialis"
290,0.000480789545102591,0.00279900728269533,"Prcr","Eacles imperialis"
291,0.000416281726630106,0.00250849039687412,"Prcr","Eacles imperialis"
292,0.000360611031783281,0.00224868416593387,"Prcr","Eacles imperialis"
293,0.00031253990379173,0.00201622621749207,"Prcr","Eacles imperialis"
294,0.00027100806744289,0.00180814226199364,"Prcr","Eacles imperialis"
295,0.000235106544804896,0.00162179845567654,"Prcr","Eacles imperialis"
296,0.000204055567420523,0.00145485990217131,"Prcr","Eacles imperialis"
297,0.000177185787369734,0.00130525449781903,"Prcr","Eacles imperialis"
298,0.000153922283297181,0.00117114142054068,"Prcr","Eacles imperialis"
299,0.000133770936189255,0.00105088364856834,"Prcr","Eacles imperialis"
300,0.000116306815818477,0.000943023973395477,"Prcr","Eacles imperialis"
301,0.000101164274396758,0.000846264041067638,"Prcr","Eacles imperialis"
302,8.8028490798751e-05,0.000759446017782754,"Prcr","Eacles imperialis"
303,7.66282481552076e-05,0.000681536530213777,"Prcr","Eacles imperialis"
304,6.67297608621811e-05,0.000611612578605257,"Prcr","Eacles imperialis"
305,5.81313950981903e-05,0.000548849162168186,"Prcr","Eacles imperialis"
306,5.06591506184937e-05,0.000492508392248984,"Prcr","Eacles imperialis"
307,4.41627915986294e-05,0.000441929899805145,"Prcr","Eacles imperialis"
308,3.8512531210544e-05,0.000396522370472434,"Prcr","Eacles imperialis"
309,3.35961889220485e-05,0.000355756063502822,"Prcr","Eacles imperialis"
310,2.93167516234267e-05,0.000319156190584518,"Prcr","Eacles imperialis"
311,2.5590279947477e-05,0.000286297047469374,"Prcr","Eacles imperialis"
312,2.23441098498674e-05,0.000256796805822705,"Prcr","Eacles imperialis"
313,1.95153068981753e-05,0.000230312885121025,"Prcr","Eacles imperialis"
314,1.7049336984625e-05,0.000206537835055544,"Prcr","Eacles imperialis"
315,1.48989225012858e-05,0.000185195668013466,"Prcr","Eacles imperialis"
