"doy","fit","se","Site","validName"
69,0.205921958121872,0.171473391442649,"Prcr","Eusarca confusaria"
70,0.203931752642235,0.169338601203723,"Prcr","Eusarca confusaria"
71,0.20196078220208,0.167233172202387,"Prcr","Eusarca confusaria"
72,0.200008860893537,0.165156730901942,"Prcr","Eusarca confusaria"
73,0.198075804605626,0.16310890804056,"Prcr","Eusarca confusaria"
74,0.19616143100689,0.161089338579815,"Prcr","Eusarca confusaria"
75,0.194265559528191,0.159097661653822,"Prcr","Eusarca confusaria"
76,0.192388011345677,0.157133520519003,"Prcr","Eusarca confusaria"
77,0.190528609363911,0.155196562504448,"Prcr","Eusarca confusaria"
78,0.188687178199167,0.153286438962903,"Prcr","Eusarca confusaria"
79,0.186863544162878,0.151402805222339,"Prcr","Eusarca confusaria"
80,0.185057535245259,0.149545320538143,"Prcr","Eusarca confusaria"
81,0.183268981099072,0.147713648045894,"Prcr","Eusarca confusaria"
82,0.18149771302356,0.145907454714734,"Prcr","Eusarca confusaria"
83,0.179743563948531,0.144126411301336,"Prcr","Eusarca confusaria"
84,0.178006368418597,0.142370192304452,"Prcr","Eusarca confusaria"
85,0.176285962577564,0.140638475920056,"Prcr","Eusarca confusaria"
86,0.174582184152976,0.138930943997059,"Prcr","Eusarca confusaria"
87,0.172894872440807,0.137247281993613,"Prcr","Eusarca confusaria"
88,0.171223868290298,0.135587178933984,"Prcr","Eusarca confusaria"
89,0.169569014088944,0.133950327366003,"Prcr","Eusarca confusaria"
90,0.167930153747627,0.132336423319091,"Prcr","Eusarca confusaria"
91,0.166307132685888,0.130745166262846,"Prcr","Eusarca confusaria"
92,0.164699797817347,0.129176259066202,"Prcr","Eusarca confusaria"
93,0.163107997535261,0.12762940795715,"Prcr","Eusarca confusaria"
94,0.161531581698219,0.126104322483019,"Prcr","Eusarca confusaria"
95,0.159970401615982,0.124600715471318,"Prcr","Eusarca confusaria"
96,0.158424310035455,0.123118302991131,"Prcr","Eusarca confusaria"
97,0.156893161126792,0.121656804315068,"Prcr","Eusarca confusaria"
98,0.155376810469644,0.120215941881766,"Prcr","Eusarca confusaria"
99,0.153875115039533,0.118795441258938,"Prcr","Eusarca confusaria"
100,0.152387933194358,0.117395031106971,"Prcr","Eusarca confusaria"
101,0.150915124661037,0.116014443143059,"Prcr","Eusarca confusaria"
102,0.149456550522269,0.114653412105886,"Prcr","Eusarca confusaria"
103,0.148012073203433,0.113311675720839,"Prcr","Eusarca confusaria"
104,0.146581556459609,0.111988974665763,"Prcr","Eusarca confusaria"
105,0.145164865362725,0.110685052537239,"Prcr","Eusarca confusaria"
106,0.143761866288828,0.109399655817401,"Prcr","Eusarca confusaria"
107,0.142372426905478,0.108132533841268,"Prcr","Eusarca confusaria"
108,0.140996416159268,0.106883438764609,"Prcr","Eusarca confusaria"
109,0.139633704263457,0.105652125532318,"Prcr","Eusarca confusaria"
110,0.138284162685727,0.104438351847314,"Prcr","Eusarca confusaria"
111,0.136947664136062,0.103241878139946,"Prcr","Eusarca confusaria"
112,0.135624082554734,0.102062467537911,"Prcr","Eusarca confusaria"
113,0.134313293100416,0.100899885836674,"Prcr","Eusarca confusaria"
114,0.133015172138405,0.099753901470395,"Prcr","Eusarca confusaria"
115,0.131729597228954,0.0986242854833445,"Prcr","Eusarca confusaria"
116,0.130456447115729,0.0975108115018194,"Prcr","Eusarca confusaria"
117,0.129195601714365,0.0964132557065427,"Prcr","Eusarca confusaria"
118,0.12794694210114,0.0953313968055498,"Prcr","Eusarca confusaria"
119,0.126710350501756,0.0942650160075518,"Prcr","Eusarca confusaria"
120,0.12548571028023,0.0932138969957747,"Prcr","Eusarca confusaria"
121,0.124272905927891,0.0921778259022668,"Prcr","Eusarca confusaria"
122,0.123071823052481,0.09115659128267,"Prcr","Eusarca confusaria"
123,0.121882348367369,0.09014998409145,"Prcr","Eusarca confusaria"
124,0.120704369680859,0.0891577976575778,"Prcr","Eusarca confusaria"
125,0.119537775885611,0.0881798276606593,"Prcr","Eusarca confusaria"
126,0.118382456948158,0.0872158721075055,"Prcr","Eusarca confusaria"
127,0.117238303898525,0.0862657313091357,"Prcr","Eusarca confusaria"
128,0.116105208819953,0.0853292078582096,"Prcr","Eusarca confusaria"
129,0.114983064838715,0.084406106606881,"Prcr","Eusarca confusaria"
130,0.113871766114037,0.083496234645064,"Prcr","Eusarca confusaria"
131,0.112771207828113,0.0825994012791086,"Prcr","Eusarca confusaria"
132,0.111681286176219,0.0817154180108736,"Prcr","Eusarca confusaria"
133,0.110601898356916,0.080844098517194,"Prcr","Eusarca confusaria"
134,0.109532942562359,0.0799852586297316,"Prcr","Eusarca confusaria"
135,0.108474317968689,0.0791387163152032,"Prcr","Eusarca confusaria"
136,0.107425924726521,0.0783042916559759,"Prcr","Eusarca confusaria"
137,0.106387663951532,0.0774818068310248,"Prcr","Eusarca confusaria"
138,0.105359437715124,0.0766710860972409,"Prcr","Eusarca confusaria"
139,0.104341149035193,0.0758719557710829,"Prcr","Eusarca confusaria"
140,0.103332701866986,0.0750842442106092,"Prcr","Eusarca confusaria"
141,0.102334001094369,0.0743077817994967,"Prcr","Eusarca confusaria"
142,0.101344952520934,0.0735424009301137,"Prcr","Eusarca confusaria"
143,0.100365462860698,0.0727879359842449,"Prcr","Eusarca confusaria"
144,0.0993954397292724,0.072044223316139,"Prcr","Eusarca confusaria"
145,0.0984347916351514,0.0713111012360002,"Prcr","Eusarca confusaria"
146,0.09748342797108,0.0705884099937623,"Prcr","Eusarca confusaria"
147,0.0965412590055086,0.069875991763133,"Prcr","Eusarca confusaria"
148,0.0956081958741288,0.0691736906259,"Prcr","Eusarca confusaria"
149,0.0946841505714919,0.0684813525564897,"Prcr","Eusarca confusaria"
150,0.0937690359427079,0.0677988254067673,"Prcr","Eusarca confusaria"
151,0.0928627656752241,0.0671259588910687,"Prcr","Eusarca confusaria"
152,0.091965254290685,0.0664626045714553,"Prcr","Eusarca confusaria"
153,0.0910764171368685,0.0658086158431805,"Prcr","Eusarca confusaria"
154,0.0901961703797021,0.0651638479203587,"Prcr","Eusarca confusaria"
155,0.0893244309953554,0.0645281578218269,"Prcr","Eusarca confusaria"
156,0.0884611167624085,0.0639014043571885,"Prcr","Eusarca confusaria"
157,0.0876061462540972,0.0632834481130302,"Prcr","Eusarca confusaria"
158,0.0867594388306323,0.0626741514393016,"Prcr","Eusarca confusaria"
159,0.0859209146315936,0.0620733784358485,"Prcr","Eusarca confusaria"
160,0.0850904945683973,0.0614809949390901,"Prcr","Eusarca confusaria"
161,0.0842681003168358,0.0608968685088299,"Prcr","Eusarca confusaria"
162,0.0834536543096908,0.0603208684151924,"Prcr","Eusarca confusaria"
163,0.0826470797294159,0.0597528656256755,"Prcr","Eusarca confusaria"
164,0.0818483005008918,0.0591927327923095,"Prcr","Eusarca confusaria"
165,0.0810572412842503,0.0586403442389142,"Prcr","Eusarca confusaria"
166,0.0802738274677685,0.0580955759484463,"Prcr","Eusarca confusaria"
167,0.0794979851608305,0.0575583055504259,"Prcr","Eusarca confusaria"
168,0.078729641186959,0.0570284123084375,"Prcr","Eusarca confusaria"
169,0.0779687230769119,0.0565057771076945,"Prcr","Eusarca confusaria"
170,0.077215159061848,0.0559902824426614,"Prcr","Eusarca confusaria"
171,0.0764688780665568,0.0554818124047244,"Prcr","Eusarca confusaria"
172,0.0757298097027548,0.054980252669905,"Prcr","Eusarca confusaria"
173,0.0749978842624465,0.0544854904866081,"Prcr","Eusarca confusaria"
174,0.0742730327113495,0.0539974146633986,"Prcr","Eusarca confusaria"
175,0.0735551866823827,0.0535159155567998,"Prcr","Eusarca confusaria"
176,0.0728442784692178,0.0530408850591072,"Prcr","Eusarca confusaria"
177,0.0721402410198938,0.0525722165862131,"Prcr","Eusarca confusaria"
178,0.0714430079304915,0.052109805065434,"Prcr","Eusarca confusaria"
179,0.0707525134388713,0.0516535469233384,"Prcr","Eusarca confusaria"
180,0.0700686924184695,0.051203340073568,"Prcr","Eusarca confusaria"
181,0.069391480372156,0.0507590839046483,"Prcr","Eusarca confusaria"
182,0.0687208134261507,0.0503206792677852,"Prcr","Eusarca confusaria"
183,0.0680566283239987,0.0498880284646412,"Prcr","Eusarca confusaria"
184,0.0673988624206042,0.0494610352350914,"Prcr","Eusarca confusaria"
