"doy","fit","se","Site","validName"
69,0.116066423138148,0.146064093428821,"Prcr","Herpetogramma fluctuosalis"
70,0.116730707738181,0.145552423405162,"Prcr","Herpetogramma fluctuosalis"
71,0.117398591985505,0.145042623833289,"Prcr","Herpetogramma fluctuosalis"
72,0.118069890749158,0.14453504889506,"Prcr","Herpetogramma fluctuosalis"
73,0.11874441433347,0.144030064618882,"Prcr","Herpetogramma fluctuosalis"
74,0.11942196842084,0.14352804822545,"Prcr","Herpetogramma fluctuosalis"
75,0.120102354017621,0.143029387403065,"Prcr","Herpetogramma fluctuosalis"
76,0.120785367403256,0.142534479510424,"Prcr","Herpetogramma fluctuosalis"
77,0.121470800082809,0.142043730705045,"Prcr","Herpetogramma fluctuosalis"
78,0.12215843874303,0.141557554995791,"Prcr","Herpetogramma fluctuosalis"
79,0.122848065212108,0.141076373218312,"Prcr","Herpetogramma fluctuosalis"
80,0.123539456423263,0.140600611932645,"Prcr","Herpetogramma fluctuosalis"
81,0.12423238438232,0.140130702242622,"Prcr","Herpetogramma fluctuosalis"
82,0.124926616139421,0.139667078537273,"Prcr","Herpetogramma fluctuosalis"
83,0.125621913765037,0.139210177154927,"Prcr","Herpetogramma fluctuosalis"
84,0.126318034330424,0.138760434971323,"Prcr","Herpetogramma fluctuosalis"
85,0.127014729892686,0.138318287913668,"Prcr","Herpetogramma fluctuosalis"
86,0.127711747484607,0.13788416940327,"Prcr","Herpetogramma fluctuosalis"
87,0.128408829109394,0.137458508730076,"Prcr","Herpetogramma fluctuosalis"
88,0.129105711740511,0.137041729363218,"Prcr","Herpetogramma fluctuosalis"
89,0.129802127326744,0.136634247202424,"Prcr","Herpetogramma fluctuosalis"
90,0.130497802802663,0.13623646877597,"Prcr","Herpetogramma fluctuosalis"
91,0.13119246010464,0.135848789391658,"Prcr","Herpetogramma fluctuosalis"
92,0.131885816192574,0.135471591248106,"Prcr","Herpetogramma fluctuosalis"
93,0.132577583077478,0.135105241514464,"Prcr","Herpetogramma fluctuosalis"
94,0.133267467855095,0.134750090387448,"Prcr","Herpetogramma fluctuosalis"
95,0.133955172745669,0.134406469135346,"Prcr","Herpetogramma fluctuosalis"
96,0.134640395140049,0.134074688139375,"Prcr","Herpetogramma fluctuosalis"
97,0.13532282765225,0.133755034943404,"Prcr","Herpetogramma fluctuosalis"
98,0.136002158178631,0.133447772323702,"Prcr","Herpetogramma fluctuosalis"
99,0.136678069963821,0.133153136390824,"Prcr","Herpetogramma fluctuosalis"
100,0.137350241673528,0.132871334736212,"Prcr","Herpetogramma fluctuosalis"
101,0.138018347474382,0.132602544636383,"Prcr","Herpetogramma fluctuosalis"
102,0.138682057120905,0.132346911327779,"Prcr","Herpetogramma fluctuosalis"
103,0.139341036049773,0.132104546365445,"Prcr","Herpetogramma fluctuosalis"
104,0.139994945481457,0.131875526078619,"Prcr","Herpetogramma fluctuosalis"
105,0.14064344252936,0.131659890136165,"Prcr","Herpetogramma fluctuosalis"
106,0.141286180316574,0.131457640234421,"Prcr","Herpetogramma fluctuosalis"
107,0.141922808100327,0.131268738919589,"Prcr","Herpetogramma fluctuosalis"
108,0.142552971404236,0.131093108556186,"Prcr","Herpetogramma fluctuosalis"
109,0.143176312158439,0.130930630452329,"Prcr","Herpetogramma fluctuosalis"
110,0.143792468847679,0.130781144151795,"Prcr","Herpetogramma fluctuosalis"
111,0.14440107666742,0.130644446901797,"Prcr","Herpetogramma fluctuosalis"
112,0.145001767688034,0.130520293304356,"Prcr","Herpetogramma fluctuosalis"
113,0.145594171027132,0.130408395157995,"Prcr","Herpetogramma fluctuosalis"
114,0.146177913030052,0.13030842149522,"Prcr","Herpetogramma fluctuosalis"
115,0.146752617458557,0.130219998820002,"Prcr","Herpetogramma fluctuosalis"
116,0.147317905687743,0.130142711548121,"Prcr","Herpetogramma fluctuosalis"
117,0.147873396911168,0.130076102651902,"Prcr","Herpetogramma fluctuosalis"
118,0.148418708354209,0.130019674509554,"Prcr","Herpetogramma fluctuosalis"
119,0.148953455495604,0.129972889957964,"Prcr","Herpetogramma fluctuosalis"
120,0.149477252297178,0.129935173546583,"Prcr","Herpetogramma fluctuosalis"
121,0.149989711441691,0.129905912988762,"Prcr","Herpetogramma fluctuosalis"
122,0.150490444578751,0.129884460805786,"Prcr","Herpetogramma fluctuosalis"
123,0.150979062578739,0.129870136157775,"Prcr","Herpetogramma fluctuosalis"
124,0.151455175794639,0.129862226854652,"Prcr","Herpetogramma fluctuosalis"
125,0.151918394331689,0.129859991539515,"Prcr","Herpetogramma fluctuosalis"
126,0.152368328324737,0.129862662036004,"Prcr","Herpetogramma fluctuosalis"
127,0.152804588223167,0.129869445850583,"Prcr","Herpetogramma fluctuosalis"
128,0.153226785083253,0.12987952882018,"Prcr","Herpetogramma fluctuosalis"
129,0.153634530867778,0.129892077895163,"Prcr","Herpetogramma fluctuosalis"
130,0.15402743875275,0.12990624404736,"Prcr","Herpetogramma fluctuosalis"
131,0.154405123441008,0.129921165292621,"Prcr","Herpetogramma fluctuosalis"
132,0.154767201482516,0.129935969817326,"Prcr","Herpetogramma fluctuosalis"
133,0.155113291601115,0.129949779198208,"Prcr","Herpetogramma fluctuosalis"
134,0.155443015027491,0.129961711704964,"Prcr","Herpetogramma fluctuosalis"
135,0.155755995838099,0.129970885675202,"Prcr","Herpetogramma fluctuosalis"
136,0.156051861299753,0.129976422951519,"Prcr","Herpetogramma fluctuosalis"
137,0.156330242219607,0.129977452370685,"Prcr","Herpetogramma fluctuosalis"
138,0.156590773300191,0.129973113295176,"Prcr","Herpetogramma fluctuosalis"
139,0.156833093499186,0.129962559177598,"Prcr","Herpetogramma fluctuosalis"
140,0.157056849977403,0.129944967887762,"Prcr","Herpetogramma fluctuosalis"
141,0.157261834404573,0.129919801280042,"Prcr","Herpetogramma fluctuosalis"
142,0.157448025916829,0.12988688965341,"Prcr","Herpetogramma fluctuosalis"
143,0.157615422790468,0.129846115505156,"Prcr","Herpetogramma fluctuosalis"
144,0.157764030326016,0.129797389306166,"Prcr","Herpetogramma fluctuosalis"
145,0.157893860806184,0.129740647893727,"Prcr","Herpetogramma fluctuosalis"
146,0.15800493344961,0.129675852821774,"Prcr","Herpetogramma fluctuosalis"
147,0.158097274360475,0.129602988676955,"Prcr","Herpetogramma fluctuosalis"
