"doy","fit","se","Site","validName"
69,1.19862465086881,0.649774418656213,"Prcr","Heterocampa obliqua"
70,1.22708649782991,0.651153758503573,"Prcr","Heterocampa obliqua"
71,1.25622088765484,0.652366819506966,"Prcr","Heterocampa obliqua"
72,1.2860402597638,0.653419772924389,"Prcr","Heterocampa obliqua"
73,1.31655710322924,0.654320336859502,"Prcr","Heterocampa obliqua"
74,1.34778394661438,0.655077910852718,"Prcr","Heterocampa obliqua"
75,1.37973334723678,0.655703715529845,"Prcr","Heterocampa obliqua"
76,1.41241787984315,0.656210936290311,"Prcr","Heterocampa obliqua"
77,1.44585012468059,0.656614869662023,"Prcr","Heterocampa obliqua"
78,1.48004265495133,0.656933070522841,"Prcr","Heterocampa obliqua"
79,1.51500802363701,0.65718549789669,"Prcr","Heterocampa obliqua"
80,1.55075874968016,0.657394656455317,"Prcr","Heterocampa obliqua"
81,1.58730730351041,0.657585730219982,"Prcr","Heterocampa obliqua"
82,1.62466609190397,0.657786704254487,"Prcr","Heterocampa obliqua"
83,1.66284744216512,0.658028469383855,"Prcr","Heterocampa obliqua"
84,1.70186358561985,0.658344904207034,"Prcr","Heterocampa obliqua"
85,1.74172664041185,0.658772927913194,"Prcr","Heterocampa obliqua"
86,1.78244859359274,0.659352516736034,"Prcr","Heterocampa obliqua"
87,1.8240412824987,0.660126676343019,"Prcr","Heterocampa obliqua"
88,1.86651637540696,0.661141362146728,"Prcr","Heterocampa obliqua"
89,1.90988535146693,0.662445339548868,"Prcr","Heterocampa obliqua"
90,1.95415947990166,0.664089976586992,"Prcr","Heterocampa obliqua"
91,1.9993497984768,0.666128962444326,"Prcr","Heterocampa obliqua"
92,2.04546709123523,0.66861794691375,"Prcr","Heterocampa obliqua"
93,2.09252186549774,0.671614098214715,"Prcr","Heterocampa obliqua"
94,2.14052432813078,0.675175579553659,"Prcr","Heterocampa obliqua"
95,2.1894843610847,0.679360948442654,"Prcr","Heterocampa obliqua"
96,2.23941149620698,0.684228486849309,"Prcr","Heterocampa obliqua"
97,2.29031488933738,0.689835474554768,"Prcr","Heterocampa obliqua"
98,2.34220329369336,0.696237422254409,"Prcr","Heterocampa obliqua"
99,2.39508503255651,0.703487284600698,"Prcr","Heterocampa obliqua"
100,2.44896797127218,0.711634676127879,"Prcr","Heterocampa obliqua"
101,2.50385948857789,0.720725114467573,"Prcr","Heterocampa obliqua"
102,2.55976644727666,0.730799315165251,"Prcr","Heterocampa obliqua"
103,2.61669516427573,0.741892560660204,"Prcr","Heterocampa obliqua"
104,2.67465138001168,0.754034162624066,"Prcr","Heterocampa obliqua"
105,2.73364022728697,0.767247032147891,"Prcr","Heterocampa obliqua"
106,2.79366619954486,0.781547366632959,"Prcr","Heterocampa obliqua"
107,2.8547331186123,0.796944456180567,"Prcr","Heterocampa obliqua"
