"doy","fit","se","Site","validName"
69,0.336087168606393,0.244892976581818,"Prcr","Idia americalis"
70,0.33349527896447,0.241755907229138,"Prcr","Idia americalis"
71,0.330923377859262,0.238658146982683,"Prcr","Idia americalis"
72,0.328371311136535,0.235599318662133,"Prcr","Idia americalis"
73,0.325838925830967,0.232579048949729,"Prcr","Idia americalis"
74,0.323326070156981,0.229596968349267,"Prcr","Idia americalis"
75,0.320832593499639,0.226652711145024,"Prcr","Idia americalis"
76,0.31835834640562,0.223745915360626,"Prcr","Idia americalis"
77,0.315903180574256,0.22087622271782,"Prcr","Idia americalis"
78,0.313466948848644,0.218043278595145,"Prcr","Idia americalis"
79,0.311049505206821,0.215246731986478,"Prcr","Idia americalis"
80,0.308650704753014,0.212486235459437,"Prcr","Idia americalis"
81,0.306270403708951,0.209761445113621,"Prcr","Idia americalis"
82,0.303908459405245,0.207072020538675,"Prcr","Idia americalis"
83,0.301564730272835,0.204417624772153,"Prcr","Idia americalis"
84,0.299239075834508,0.20179792425716,"Prcr","Idia americalis"
85,0.296931356696469,0.199212588799762,"Prcr","Idia americalis"
86,0.29464143453999,0.196661291526136,"Prcr","Idia americalis"
87,0.292369172113116,0.194143708839445,"Prcr","Idia americalis"
88,0.290114433222438,0.191659520376418,"Prcr","Idia americalis"
89,0.287877082724927,0.189208408963616,"Prcr","Idia americalis"
90,0.285656986519837,0.186790060573361,"Prcr","Idia americalis"
91,0.283454011540657,0.184404164279325,"Prcr","Idia americalis"
92,0.281268025747144,0.182050412211734,"Prcr","Idia americalis"
93,0.279098898117401,0.179728499512192,"Prcr","Idia americalis"
94,0.276946498640025,0.1774381242881,"Prcr","Idia americalis"
95,0.274810698306313,0.175178987566651,"Prcr","Idia americalis"
96,0.272691369102528,0.172950793248385,"Prcr","Idia americalis"
97,0.270588384002224,0.170753248060288,"Prcr","Idia americalis"
98,0.268501616958632,0.16858606150843,"Prcr","Idia americalis"
99,0.266430942897107,0.166448945830105,"Prcr","Idia americalis"
100,0.264376237707624,0.164341615945493,"Prcr","Idia americalis"
101,0.26233737823734,0.162263789408798,"Prcr","Idia americalis"
102,0.260314242283216,0.160215186358877,"Prcr","Idia americalis"
103,0.258306708584686,0.158195529469344,"Prcr","Idia americalis"
104,0.256314656816389,0.156204543898128,"Prcr","Idia americalis"
105,0.254337967580958,0.154241957236508,"Prcr","Idia americalis"
106,0.252376522401859,0.15230749945759,"Prcr","Idia americalis"
107,0.250430203716292,0.150400902864244,"Prcr","Idia americalis"
108,0.248498894868143,0.148521902036502,"Prcr","Idia americalis"
109,0.246582480100989,0.146670233778405,"Prcr","Idia americalis"
110,0.244680844551159,0.144845637064316,"Prcr","Idia americalis"
111,0.242793874240852,0.143047852984711,"Prcr","Idia americalis"
112,0.2409214560713,0.141276624691443,"Prcr","Idia americalis"
113,0.23906347781599,0.139531697342508,"Prcr","Idia americalis"
114,0.237219828113938,0.137812818046326,"Prcr","Idia americalis"
115,0.23539039646301,0.13611973580555,"Prcr","Idia americalis"
116,0.2335750732133,0.13445220146044,"Prcr","Idia americalis"
117,0.231773749560557,0.132809967631816,"Prcr","Idia americalis"
118,0.229986317539663,0.131192788663639,"Prcr","Idia americalis"
119,0.228212670018159,0.129600420565232,"Prcr","Idia americalis"
120,0.226452700689824,0.128032620953209,"Prcr","Idia americalis"
121,0.224706304068303,0.126489148993129,"Prcr","Idia americalis"
122,0.222973375480784,0.124969765340949,"Prcr","Idia americalis"
123,0.221253811061721,0.123474232084303,"Prcr","Idia americalis"
124,0.219547507746609,0.122002312683692,"Prcr","Idia americalis"
125,0.217854363265807,0.12055377191363,"Prcr","Idia americalis"
126,0.216174276138406,0.119128375803812,"Prcr","Idia americalis"
127,0.214507145666146,0.117725891580398,"Prcr","Idia americalis"
128,0.212852871927378,0.11634608760746,"Prcr","Idia americalis"
129,0.21121135577108,0.114988733328698,"Prcr","Idia americalis"
