"doy","fit","se","Site","validName"
69,0.529304872389301,0.415636713458288,"Prcr","Idia lubricalis"
70,0.526265353116062,0.407031153646722,"Prcr","Idia lubricalis"
71,0.523241500844409,0.398603531932714,"Prcr","Idia lubricalis"
72,0.520231469077288,0.39035544512171,"Prcr","Idia lubricalis"
73,0.517233452485148,0.382288554091103,"Prcr","Idia lubricalis"
74,0.514245686466385,0.374404568165927,"Prcr","Idia lubricalis"
75,0.511266446769043,0.366705228105279,"Prcr","Idia lubricalis"
76,0.508294049171365,0.359192287633991,"Prcr","Idia lubricalis"
77,0.505326849218823,0.35186749346901,"Prcr","Idia lubricalis"
78,0.502363242015313,0.344732563809611,"Prcr","Idia lubricalis"
79,0.499401662066169,0.337789165285121,"Prcr","Idia lubricalis"
80,0.496440583170733,0.331038888383872,"Prcr","Idia lubricalis"
81,0.493478518362168,0.324483221422723,"Prcr","Idia lubricalis"
82,0.490514019892271,0.318123523157813,"Prcr","Idia lubricalis"
83,0.487545679258985,0.311960994183937,"Prcr","Idia lubricalis"
84,0.484572127274376,0.305996647321542,"Prcr","Idia lubricalis"
85,0.481592034170784,0.300231277245911,"Prcr","Idia lubricalis"
86,0.478604109742885,0.294665429671153,"Prcr","Idia lubricalis"
87,0.475607103523392,0.289299370460504,"Prcr","Idia lubricalis"
88,0.472599804990095,0.284133055091664,"Prcr","Idia lubricalis"
89,0.469581043801946,0.279166098959013,"Prcr","Idia lubricalis"
90,0.466549690061875,0.274397749040325,"Prcr","Idia lubricalis"
91,0.463504654604014,0.269826857491013,"Prcr","Idia lubricalis"
92,0.460444889302978,0.265451857750682,"Prcr","Idia lubricalis"
93,0.457369387402845,0.261270743751895,"Prcr","Idia lubricalis"
94,0.454277183863464,0.25728105280701,"Prcr","Idia lubricalis"
95,0.451167355721691,0.253479852713969,"Prcr","Idia lubricalis"
96,0.448039022465129,0.249863733565047,"Prcr","Idia lubricalis"
97,0.444891346415966,0.246428804664307,"Prcr","Idia lubricalis"
98,0.44172353312245,0.243170696861221,"Prcr","Idia lubricalis"
99,0.438534831755535,0.240084570492677,"Prcr","Idia lubricalis"
100,0.43532453550823,0.237165128997483,"Prcr","Idia lubricalis"
101,0.432091981995164,0.234406638131574,"Prcr","Idia lubricalis"
102,0.428836553649862,0.231802950574376,"Prcr","Idia lubricalis"
103,0.425557678117218,0.229347535583339,"Prcr","Idia lubricalis"
104,0.422254828638672,0.227033513230554,"Prcr","Idia lubricalis"
105,0.418927524427543,0.224853692648184,"Prcr","Idia lubricalis"
106,0.415575331032026,0.222800613622815,"Prcr","Idia lubricalis"
107,0.412197860683327,0.220866590815978,"Prcr","Idia lubricalis"
108,0.408794772626421,0.219043759851052,"Prcr","Idia lubricalis"
109,0.405365773430957,0.217324124495886,"Prcr","Idia lubricalis"
110,0.401910617279792,0.215699604184662,"Prcr","Idia lubricalis"
111,0.398429106232734,0.2141620811595,"Prcr","Idia lubricalis"
112,0.39492109046301,0.212703446568697,"Prcr","Idia lubricalis"
113,0.391386468464089,0.211315644930259,"Prcr","Idia lubricalis"
114,0.387825187224443,0.209990716452077,"Prcr","Idia lubricalis"
115,0.384237242367942,0.208720836789311,"Prcr","Idia lubricalis"
116,0.380622678257569,0.207498353911019,"Prcr","Idia lubricalis"
117,0.376981588060218,0.206315821838059,"Prcr","Idia lubricalis"
118,0.373314113770394,0.205166031099619,"Prcr","Idia lubricalis"
119,0.369620446190676,0.204042035833955,"Prcr","Idia lubricalis"
120,0.365900824866908,0.202937177528315,"Prcr","Idia lubricalis"
121,0.362155537976113,0.201845105452473,"Prcr","Idia lubricalis"
122,0.358384922165252,0.200759793889415,"Prcr","Idia lubricalis"
123,0.354589362338998,0.19967555630555,"Prcr","Idia lubricalis"
124,0.350769291394811,0.198587056631848,"Prcr","Idia lubricalis"
125,0.346925189903701,0.19748931784734,"Prcr","Idia lubricalis"
126,0.343057585735151,0.196377728068422,"Prcr","Idia lubricalis"
127,0.339167053624816,0.19524804435252,"Prcr","Idia lubricalis"
128,0.3352542146837,0.194096394424006,"Prcr","Idia lubricalis"
129,0.33131973584767,0.192919276524885,"Prcr","Idia lubricalis"
130,0.327364329266267,0.191713557583867,"Prcr","Idia lubricalis"
131,0.323388751629932,0.190476469885757,"Prcr","Idia lubricalis"
132,0.319393803434906,0.189205606409623,"Prcr","Idia lubricalis"
133,0.315380328185186,0.187898914989622,"Prcr","Idia lubricalis"
134,0.311349211531125,0.18655469143714,"Prcr","Idia lubricalis"
135,0.307301380344343,0.185171571747715,"Prcr","Idia lubricalis"
136,0.303237801728873,0.183748523501275,"Prcr","Idia lubricalis"
137,0.299159481968542,0.18228483654985,"Prcr","Idia lubricalis"
138,0.295067465410831,0.180780113073397,"Prcr","Idia lubricalis"
139,0.290962833287574,0.179234257071687,"Prcr","Idia lubricalis"
140,0.286846718886295,0.17764748820422,"Prcr","Idia lubricalis"
141,0.282720917774322,0.176021249225116,"Prcr","Idia lubricalis"
142,0.278588025757031,0.17435836556466,"Prcr","Idia lubricalis"
143,0.274450637457052,0.172661792652036,"Prcr","Idia lubricalis"
144,0.270311288450041,0.170934506445576,"Prcr","Idia lubricalis"
145,0.266172453733471,0.169179481672917,"Prcr","Idia lubricalis"
