"doy","fit","se","Site","validName"
69,2.22044604925031e-16,5.05931725173334e-14,"Prcr","Malacosoma disstria"
70,2.22044604925031e-16,5.069847784142e-14,"Prcr","Malacosoma disstria"
71,2.22044604925031e-16,5.08042310573665e-14,"Prcr","Malacosoma disstria"
72,2.22044604925031e-16,5.09103725343076e-14,"Prcr","Malacosoma disstria"
73,2.22044604925031e-16,5.10168418217038e-14,"Prcr","Malacosoma disstria"
74,2.22044604925031e-16,5.1123577666312e-14,"Prcr","Malacosoma disstria"
75,2.22044604925031e-16,5.12305180299892e-14,"Prcr","Malacosoma disstria"
76,2.22044604925031e-16,5.13376001082808e-14,"Prcr","Malacosoma disstria"
77,2.22044604925031e-16,5.14447603497489e-14,"Prcr","Malacosoma disstria"
78,2.22044604925031e-16,5.15519344759952e-14,"Prcr","Malacosoma disstria"
79,2.22044604925031e-16,5.16590575023366e-14,"Prcr","Malacosoma disstria"
80,2.22044604925031e-16,5.17660637590923e-14,"Prcr","Malacosoma disstria"
81,2.22044604925031e-16,5.18728869134424e-14,"Prcr","Malacosoma disstria"
82,2.22044604925031e-16,5.19794599918227e-14,"Prcr","Malacosoma disstria"
83,2.22044604925031e-16,5.20857154028178e-14,"Prcr","Malacosoma disstria"
84,2.22044604925031e-16,5.21915849605209e-14,"Prcr","Malacosoma disstria"
85,2.22044604925031e-16,5.22969999083286e-14,"Prcr","Malacosoma disstria"
86,2.22044604925031e-16,5.24018909431408e-14,"Prcr","Malacosoma disstria"
87,2.22044604925031e-16,5.25061882399384e-14,"Prcr","Malacosoma disstria"
88,2.22044604925031e-16,5.26098214767153e-14,"Prcr","Malacosoma disstria"
89,2.22044604925031e-16,5.27127198597388e-14,"Prcr","Malacosoma disstria"
90,2.22044604925031e-16,5.2814812149121e-14,"Prcr","Malacosoma disstria"
91,2.22044604925031e-16,5.29160266846793e-14,"Prcr","Malacosoma disstria"
92,2.22044604925031e-16,5.30162914120723e-14,"Prcr","Malacosoma disstria"
93,2.22044604925031e-16,5.31155339091951e-14,"Prcr","Malacosoma disstria"
94,2.22044604925031e-16,5.32136814128229e-14,"Prcr","Malacosoma disstria"
95,2.22044604925031e-16,5.33106608454929e-14,"Prcr","Malacosoma disstria"
96,2.22044604925031e-16,5.34063988426167e-14,"Prcr","Malacosoma disstria"
97,2.22044604925031e-16,5.35008217798187e-14,"Prcr","Malacosoma disstria"
98,2.22044604925031e-16,5.3593855800496e-14,"Prcr","Malacosoma disstria"
99,2.22044604925031e-16,5.3685426843601e-14,"Prcr","Malacosoma disstria"
100,2.22044604925031e-16,5.37754606716465e-14,"Prcr","Malacosoma disstria"
101,2.22044604925031e-16,5.38638828989376e-14,"Prcr","Malacosoma disstria"
102,2.22044604925031e-16,5.39506190200365e-14,"Prcr","Malacosoma disstria"
103,2.22044604925031e-16,5.40355944384683e-14,"Prcr","Malacosoma disstria"
104,2.22044604925031e-16,5.41187344956784e-14,"Prcr","Malacosoma disstria"
105,2.22044604925031e-16,5.41999645002543e-14,"Prcr","Malacosoma disstria"
106,2.22044604925031e-16,5.42792097574269e-14,"Prcr","Malacosoma disstria"
107,2.22044604925031e-16,5.4356395598869e-14,"Prcr","Malacosoma disstria"
108,2.22044604925031e-16,5.44314474128104e-14,"Prcr","Malacosoma disstria"
109,2.22044604925031e-16,5.45042906744924e-14,"Prcr","Malacosoma disstria"
110,2.22044604925031e-16,5.45748509769859e-14,"Prcr","Malacosoma disstria"
111,2.22044604925031e-16,5.46430540624007e-14,"Prcr","Malacosoma disstria"
112,2.22044604925031e-16,5.47088258535146e-14,"Prcr","Malacosoma disstria"
113,2.22044604925031e-16,5.4772092485856e-14,"Prcr","Malacosoma disstria"
114,2.22044604925031e-16,5.48327803402736e-14,"Prcr","Malacosoma disstria"
115,2.22044604925031e-16,5.48908160760307e-14,"Prcr","Malacosoma disstria"
116,2.22044604925031e-16,5.49461266644655e-14,"Prcr","Malacosoma disstria"
117,2.22044604925031e-16,5.49986394232582e-14,"Prcr","Malacosoma disstria"
118,2.22044604925031e-16,5.50482820513539e-14,"Prcr","Malacosoma disstria"
119,2.22044604925031e-16,5.50949826645869e-14,"Prcr","Malacosoma disstria"
120,2.22044604925031e-16,5.51386698320615e-14,"Prcr","Malacosoma disstria"
121,2.22044604925031e-16,5.51792726133425e-14,"Prcr","Malacosoma disstria"
122,2.22044604925031e-16,5.5216720596515e-14,"Prcr","Malacosoma disstria"
123,2.22044604925031e-16,5.52509439371761e-14,"Prcr","Malacosoma disstria"
124,2.22044604925031e-16,5.52818733984227e-14,"Prcr","Malacosoma disstria"
125,2.22044604925031e-16,5.53094403919077e-14,"Prcr","Malacosoma disstria"
126,2.22044604925031e-16,5.53335770200353e-14,"Prcr","Malacosoma disstria"
127,2.22044604925031e-16,5.53542161193759e-14,"Prcr","Malacosoma disstria"
128,2.22044604925031e-16,5.53712913053809e-14,"Prcr","Malacosoma disstria"
129,2.22044604925031e-16,5.53847370184855e-14,"Prcr","Malacosoma disstria"
130,2.22044604925031e-16,5.53944885716909e-14,"Prcr","Malacosoma disstria"
131,2.22044604925031e-16,5.54004821997218e-14,"Prcr","Malacosoma disstria"
132,2.22044604925031e-16,5.54026551098637e-14,"Prcr","Malacosoma disstria"
133,2.22044604925031e-16,5.54009455345849e-14,"Prcr","Malacosoma disstria"
134,2.22044604925031e-16,5.53952927860599e-14,"Prcr","Malacosoma disstria"
135,2.22044604925031e-16,5.53856373127123e-14,"Prcr","Malacosoma disstria"
136,2.22044604925031e-16,5.53719207579051e-14,"Prcr","Malacosoma disstria"
137,2.22044604925031e-16,5.53540860209121e-14,"Prcr","Malacosoma disstria"
138,2.22044604925031e-16,5.53320773203116e-14,"Prcr","Malacosoma disstria"
139,2.22044604925031e-16,5.53058402599516e-14,"Prcr","Malacosoma disstria"
140,2.22044604925031e-16,5.52753232779298e-14,"Prcr","Malacosoma disstria"
141,2.22044604925031e-16,5.52405299339781e-14,"Prcr","Malacosoma disstria"
142,2.22044604925031e-16,5.52015346819098e-14,"Prcr","Malacosoma disstria"
143,2.22044604925031e-16,5.51584176314561e-14,"Prcr","Malacosoma disstria"
144,2.22044604925031e-16,5.51112598338048e-14,"Prcr","Malacosoma disstria"
145,2.22044604925031e-16,5.50601432333267e-14,"Prcr","Malacosoma disstria"
146,2.22044604925031e-16,5.50051506224767e-14,"Prcr","Malacosoma disstria"
147,2.22044604925031e-16,5.49463655997727e-14,"Prcr","Malacosoma disstria"
148,2.22044604925031e-16,5.48838725307671e-14,"Prcr","Malacosoma disstria"
149,2.22044604925031e-16,5.48177565119325e-14,"Prcr","Malacosoma disstria"
150,2.22044604925031e-16,5.47481033373894e-14,"Prcr","Malacosoma disstria"
151,2.22044604925031e-16,5.46749994684155e-14,"Prcr","Malacosoma disstria"
152,2.22044604925031e-16,5.45985320056779e-14,"Prcr","Malacosoma disstria"
153,2.22044604925031e-16,5.4518788664141e-14,"Prcr","Malacosoma disstria"
154,2.22044604925031e-16,5.44358577506064e-14,"Prcr","Malacosoma disstria"
155,2.22044604925031e-16,5.43498281438464e-14,"Prcr","Malacosoma disstria"
156,2.22044604925031e-16,5.42607892773028e-14,"Prcr","Malacosoma disstria"
157,2.22044604925031e-16,5.41688311243217e-14,"Prcr","Malacosoma disstria"
158,2.22044604925031e-16,5.40740441859058e-14,"Prcr","Malacosoma disstria"
159,2.22044604925031e-16,5.39765194809661e-14,"Prcr","Malacosoma disstria"
160,2.22044604925031e-16,5.38763485390629e-14,"Prcr","Malacosoma disstria"
161,2.22044604925031e-16,5.3773623395627e-14,"Prcr","Malacosoma disstria"
162,2.22044604925031e-16,5.36684365896574e-14,"Prcr","Malacosoma disstria"
163,2.22044604925031e-16,5.35608811638962e-14,"Prcr","Malacosoma disstria"
164,2.22044604925031e-16,5.34510506674827e-14,"Prcr","Malacosoma disstria"
165,2.22044604925031e-16,5.33390391610922e-14,"Prcr","Malacosoma disstria"
166,2.22044604925031e-16,5.32249412245691e-14,"Prcr","Malacosoma disstria"
167,2.22044604925031e-16,5.31088519670646e-14,"Prcr","Malacosoma disstria"
168,2.22044604925031e-16,5.29908670396915e-14,"Prcr","Malacosoma disstria"
169,2.22044604925031e-16,5.28710826507108e-14,"Prcr","Malacosoma disstria"
170,2.22044604925031e-16,5.27495955832659e-14,"Prcr","Malacosoma disstria"
171,2.22044604925031e-16,5.26265032156822e-14,"Prcr","Malacosoma disstria"
172,2.22044604925031e-16,5.25019035443467e-14,"Prcr","Malacosoma disstria"
173,2.22044604925031e-16,5.23758952091889e-14,"Prcr","Malacosoma disstria"
174,2.22044604925031e-16,5.22485775217767e-14,"Prcr","Malacosoma disstria"
175,2.22044604925031e-16,5.21200504960465e-14,"Prcr","Malacosoma disstria"
176,2.22044604925031e-16,5.19904148816823e-14,"Prcr","Malacosoma disstria"
177,2.22044604925031e-16,5.18597722001566e-14,"Prcr","Malacosoma disstria"
178,2.22044604925031e-16,5.17282247834468e-14,"Prcr","Malacosoma disstria"
179,2.22044604925031e-16,5.15958758154353e-14,"Prcr","Malacosoma disstria"
180,2.22044604925031e-16,5.14628293759979e-14,"Prcr","Malacosoma disstria"
181,2.22044604925031e-16,5.13291904877857e-14,"Prcr","Malacosoma disstria"
182,2.22044604925031e-16,5.11950651656951e-14,"Prcr","Malacosoma disstria"
183,2.22044604925031e-16,5.1060560469019e-14,"Prcr","Malacosoma disstria"
184,2.22044604925031e-16,5.09257845562679e-14,"Prcr","Malacosoma disstria"
185,2.22044604925031e-16,5.07908467426371e-14,"Prcr","Malacosoma disstria"
186,2.22044604925031e-16,5.06558575600961e-14,"Prcr","Malacosoma disstria"
187,2.22044604925031e-16,5.05209288200624e-14,"Prcr","Malacosoma disstria"
188,2.22044604925031e-16,5.0386173678616e-14,"Prcr","Malacosoma disstria"
189,2.22044604925031e-16,5.0251706704199e-14,"Prcr","Malacosoma disstria"
