"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.23981994028316e-13,"Prcr","Panopoda rufimargo"
70,2.22044604925031e-16,1.22988632669141e-13,"Prcr","Panopoda rufimargo"
71,2.22044604925031e-16,1.22000239522503e-13,"Prcr","Panopoda rufimargo"
72,2.22044604925031e-16,1.21017077969727e-13,"Prcr","Panopoda rufimargo"
73,2.22044604925031e-16,1.20039410775289e-13,"Prcr","Panopoda rufimargo"
74,2.22044604925031e-16,1.19067499953977e-13,"Prcr","Panopoda rufimargo"
75,2.22044604925031e-16,1.18101606630563e-13,"Prcr","Panopoda rufimargo"
76,2.22044604925031e-16,1.17141990891751e-13,"Prcr","Panopoda rufimargo"
77,2.22044604925031e-16,1.16188911630179e-13,"Prcr","Panopoda rufimargo"
78,2.22044604925031e-16,1.15242626380279e-13,"Prcr","Panopoda rufimargo"
79,2.22044604925031e-16,1.14303391145796e-13,"Prcr","Panopoda rufimargo"
80,2.22044604925031e-16,1.13371460218829e-13,"Prcr","Panopoda rufimargo"
81,2.22044604925031e-16,1.12447085990226e-13,"Prcr","Panopoda rufimargo"
82,2.22044604925031e-16,1.11530518751253e-13,"Prcr","Panopoda rufimargo"
83,2.22044604925031e-16,1.10622006486442e-13,"Prcr","Panopoda rufimargo"
84,2.22044604925031e-16,1.09721794657589e-13,"Prcr","Panopoda rufimargo"
85,2.22044604925031e-16,1.08830125978902e-13,"Prcr","Panopoda rufimargo"
86,2.22044604925031e-16,1.07947240183334e-13,"Prcr","Panopoda rufimargo"
87,2.22044604925031e-16,1.07073373780223e-13,"Prcr","Panopoda rufimargo"
88,2.22044604925031e-16,1.06208759804349e-13,"Prcr","Panopoda rufimargo"
89,2.22044604925031e-16,1.05353627556652e-13,"Prcr","Panopoda rufimargo"
90,2.22044604925031e-16,1.04508202336856e-13,"Prcr","Panopoda rufimargo"
91,2.22044604925031e-16,1.03672705168335e-13,"Prcr","Panopoda rufimargo"
92,2.22044604925031e-16,1.02847352515639e-13,"Prcr","Panopoda rufimargo"
93,2.22044604925031e-16,1.02032355995147e-13,"Prcr","Panopoda rufimargo"
94,2.22044604925031e-16,1.01227922079408e-13,"Prcr","Panopoda rufimargo"
95,2.22044604925031e-16,1.00434251795813e-13,"Prcr","Panopoda rufimargo"
96,2.22044604925031e-16,9.96515404203128e-14,"Prcr","Panopoda rufimargo"
97,2.22044604925031e-16,9.88799771669993e-14,"Prcr","Panopoda rufimargo"
98,2.22044604925031e-16,9.81197448744447e-14,"Prcr","Panopoda rufimargo"
99,2.22044604925031e-16,9.73710196897865e-14,"Prcr","Panopoda rufimargo"
100,2.22044604925031e-16,9.66339707516372e-14,"Prcr","Panopoda rufimargo"
101,2.22044604925031e-16,9.59087598729848e-14,"Prcr","Panopoda rufimargo"
102,2.22044604925031e-16,9.51955412253406e-14,"Prcr","Panopoda rufimargo"
103,2.22044604925031e-16,9.44944610254749e-14,"Prcr","Panopoda rufimargo"
104,2.22044604925031e-16,9.3805657226164e-14,"Prcr","Panopoda rufimargo"
105,2.22044604925031e-16,9.31292592124498e-14,"Prcr","Panopoda rufimargo"
106,2.22044604925031e-16,9.24653875049854e-14,"Prcr","Panopoda rufimargo"
107,2.22044604925031e-16,9.18141534721048e-14,"Prcr","Panopoda rufimargo"
108,2.22044604925031e-16,9.1175659052313e-14,"Prcr","Panopoda rufimargo"
109,2.22044604925031e-16,9.05499964889383e-14,"Prcr","Panopoda rufimargo"
110,2.22044604925031e-16,8.99372480787307e-14,"Prcr","Panopoda rufimargo"
111,2.22044604925031e-16,8.93374859362105e-14,"Prcr","Panopoda rufimargo"
112,2.22044604925031e-16,8.87507717755901e-14,"Prcr","Panopoda rufimargo"
113,2.22044604925031e-16,8.81771567120885e-14,"Prcr","Panopoda rufimargo"
114,2.22044604925031e-16,8.7616681084447e-14,"Prcr","Panopoda rufimargo"
115,2.22044604925031e-16,8.70693743004235e-14,"Prcr","Panopoda rufimargo"
116,2.22044604925031e-16,8.65352547070006e-14,"Prcr","Panopoda rufimargo"
117,2.22044604925031e-16,8.60143294869819e-14,"Prcr","Panopoda rufimargo"
118,2.22044604925031e-16,8.55065945835777e-14,"Prcr","Panopoda rufimargo"
119,2.22044604925031e-16,8.50120346544882e-14,"Prcr","Panopoda rufimargo"
120,2.22044604925031e-16,8.45306230568887e-14,"Prcr","Panopoda rufimargo"
121,2.22044604925031e-16,8.40623218646011e-14,"Prcr","Panopoda rufimargo"
122,2.22044604925031e-16,8.36070819186016e-14,"Prcr","Panopoda rufimargo"
123,2.22044604925031e-16,8.31648429118679e-14,"Prcr","Panopoda rufimargo"
124,2.22044604925031e-16,8.27355335094138e-14,"Prcr","Panopoda rufimargo"
125,2.22044604925031e-16,8.23190715041903e-14,"Prcr","Panopoda rufimargo"
126,2.22044604925031e-16,8.19153640093576e-14,"Prcr","Panopoda rufimargo"
127,2.22044604925031e-16,8.15243076872512e-14,"Prcr","Panopoda rufimargo"
128,2.22044604925031e-16,8.11457890151801e-14,"Prcr","Panopoda rufimargo"
129,2.22044604925031e-16,8.07796845880082e-14,"Prcr","Panopoda rufimargo"
130,2.22044604925031e-16,8.04258614572807e-14,"Prcr","Panopoda rufimargo"
131,2.22044604925031e-16,8.00841775064736e-14,"Prcr","Panopoda rufimargo"
132,2.22044604925031e-16,7.97544818617641e-14,"Prcr","Panopoda rufimargo"
133,2.22044604925031e-16,7.94366153375436e-14,"Prcr","Panopoda rufimargo"
134,2.22044604925031e-16,7.91304109157294e-14,"Prcr","Panopoda rufimargo"
135,2.22044604925031e-16,7.88356942577775e-14,"Prcr","Panopoda rufimargo"
136,2.22044604925031e-16,7.85522842481519e-14,"Prcr","Panopoda rufimargo"
137,2.22044604925031e-16,7.82799935678782e-14,"Prcr","Panopoda rufimargo"
138,2.22044604925031e-16,7.80186292966917e-14,"Prcr","Panopoda rufimargo"
139,2.22044604925031e-16,7.77679935421916e-14,"Prcr","Panopoda rufimargo"
140,2.22044604925031e-16,7.75278831041317e-14,"Prcr","Panopoda rufimargo"
141,2.22044604925031e-16,7.72980536193796e-14,"Prcr","Panopoda rufimargo"
142,2.22044604925031e-16,7.70782135159591e-14,"Prcr","Panopoda rufimargo"
143,2.22044604925031e-16,7.68680733319744e-14,"Prcr","Panopoda rufimargo"
144,2.22044604925031e-16,7.66673491370196e-14,"Prcr","Panopoda rufimargo"
145,2.22044604925031e-16,7.64757625198917e-14,"Prcr","Panopoda rufimargo"
146,2.22044604925031e-16,7.6293040563877e-14,"Prcr","Panopoda rufimargo"
147,2.22044604925031e-16,7.61189158101512e-14,"Prcr","Panopoda rufimargo"
148,2.22044604925031e-16,7.59531262098622e-14,"Prcr","Panopoda rufimargo"
149,2.22044604925031e-16,7.57954150654894e-14,"Prcr","Panopoda rufimargo"
150,2.22044604925031e-16,7.56455309620996e-14,"Prcr","Panopoda rufimargo"
151,2.22044604925031e-16,7.55032276891308e-14,"Prcr","Panopoda rufimargo"
152,2.22044604925031e-16,7.53682641533518e-14,"Prcr","Panopoda rufimargo"
153,2.22044604925031e-16,7.52404042836516e-14,"Prcr","Panopoda rufimargo"
154,2.22044604925031e-16,7.51194169283195e-14,"Prcr","Panopoda rufimargo"
155,2.22044604925031e-16,7.50050757454748e-14,"Prcr","Panopoda rufimargo"
156,2.22044604925031e-16,7.48971590873055e-14,"Prcr","Panopoda rufimargo"
157,2.22044604925031e-16,7.47954498787683e-14,"Prcr","Panopoda rufimargo"
158,2.22044604925031e-16,7.46997354913949e-14,"Prcr","Panopoda rufimargo"
159,2.22044604925031e-16,7.46098076128383e-14,"Prcr","Panopoda rufimargo"
160,2.22044604925031e-16,7.452546211278e-14,"Prcr","Panopoda rufimargo"
161,2.22044604925031e-16,7.44464989058056e-14,"Prcr","Panopoda rufimargo"
162,2.22044604925031e-16,7.43727218118372e-14,"Prcr","Panopoda rufimargo"
163,2.22044604925031e-16,7.43039384146939e-14,"Prcr","Panopoda rufimargo"
164,2.22044604925031e-16,7.42399599193349e-14,"Prcr","Panopoda rufimargo"
165,2.22044604925031e-16,7.41806010083146e-14,"Prcr","Panopoda rufimargo"
166,2.22044604925031e-16,7.41256796979612e-14,"Prcr","Panopoda rufimargo"
167,2.22044604925031e-16,7.40750171947689e-14,"Prcr","Panopoda rufimargo"
168,2.22044604925031e-16,7.40284377524681e-14,"Prcr","Panopoda rufimargo"
169,2.22044604925031e-16,7.39857685302192e-14,"Prcr","Panopoda rufimargo"
170,2.22044604925031e-16,7.394683945235e-14,"Prcr","Panopoda rufimargo"
171,2.22044604925031e-16,7.39114830700366e-14,"Prcr","Panopoda rufimargo"
172,2.22044604925031e-16,7.38795344253008e-14,"Prcr","Panopoda rufimargo"
173,2.22044604925031e-16,7.38508309176804e-14,"Prcr","Panopoda rufimargo"
174,2.22044604925031e-16,7.3825212173901e-14,"Prcr","Panopoda rufimargo"
175,2.22044604925031e-16,7.38025199208603e-14,"Prcr","Panopoda rufimargo"
176,2.22044604925031e-16,7.37825978622118e-14,"Prcr","Panopoda rufimargo"
