"doy","fit","se","Site","validName"
69,0.278272323894361,0.358836462055561,"Prcr","Prochoerodes lineola"
70,0.268271799410805,0.339911347933397,"Prcr","Prochoerodes lineola"
71,0.258630672751165,0.322068249438077,"Prcr","Prochoerodes lineola"
72,0.249336027838961,0.305256702248013,"Prcr","Prochoerodes lineola"
73,0.24037541278246,0.289428337538282,"Prcr","Prochoerodes lineola"
74,0.231736823192272,0.274536758064973,"Prcr","Prochoerodes lineola"
75,0.223408686098493,0.26053741709314,"Prcr","Prochoerodes lineola"
76,0.215379844445891,0.247387500486152,"Prcr","Prochoerodes lineola"
77,0.207639542146307,0.235045812440466,"Prcr","Prochoerodes lineola"
78,0.200177409668296,0.223472665526366,"Prcr","Prochoerodes lineola"
79,0.192983450144655,0.212629775872544,"Prcr","Prochoerodes lineola"
80,0.186048025979256,0.202480164497987,"Prcr","Prochoerodes lineola"
81,0.179361845935219,0.192988065932501,"Prcr","Prochoerodes lineola"
82,0.172915952687137,0.184118845358876,"Prcr","Prochoerodes lineola"
83,0.166701710820671,0.175838925535519,"Prcr","Prochoerodes lineola"
84,0.160710795263432,0.168115724700175,"Prcr","Prochoerodes lineola"
85,0.154935180131652,0.160917606498155,"Prcr","Prochoerodes lineola"
86,0.149367127977708,0.154213842714714,"Prcr","Prochoerodes lineola"
87,0.14399917942408,0.147974589222662,"Prcr","Prochoerodes lineola"
88,0.138824143169859,0.142170875096536,"Prcr","Prochoerodes lineola"
89,0.133835086356417,0.1367746043199,"Prcr","Prochoerodes lineola"
90,0.129025325279331,0.131758568959643,"Prcr","Prochoerodes lineola"
91,0.124388416434114,0.127096472145838,"Prcr","Prochoerodes lineola"
92,0.119918147883756,0.122762958725808,"Prcr","Prochoerodes lineola"
93,0.115608530936512,0.118733651101388,"Prcr","Prochoerodes lineola"
94,0.11145379212278,0.114985187544401,"Prcr","Prochoerodes lineola"
95,0.107448365460333,0.111495260238083,"Prcr","Prochoerodes lineola"
96,0.103586884997522,0.108242650415248,"Prcr","Prochoerodes lineola"
97,0.0998641776244748,0.10520725824335,"Prcr","Prochoerodes lineola"
98,0.0962752561426619,0.102370125513121,"Prcr","Prochoerodes lineola"
99,0.092815312583522,0.0997134496811706,"Prcr","Prochoerodes lineola"
100,0.0894797117672215,0.0972205883530499,"Prcr","Prochoerodes lineola"
101,0.0862639850929013,0.0948760538276108,"Prcr","Prochoerodes lineola"
102,0.083163824552097,0.0926654978177452,"Prcr","Prochoerodes lineola"
103,0.0801750769573115,0.0905756868874134,"Prcr","Prochoerodes lineola"
104,0.0772937383780066,0.0885944694817276,"Prcr","Prochoerodes lineola"
105,0.0745159487765574,0.086710735667783,"Prcr","Prochoerodes lineola"
106,0.0718379868369893,0.0849143708503639,"Prcr","Prochoerodes lineola"
107,0.0692562649795588,0.0831962047870268,"Prcr","Prochoerodes lineola"
