"doy","fit","se","Site","validName"
69,0.600596002627291,0.548204548521843,"Prcr","Scolecocampa liburna"
70,0.571408216058764,0.51064594778223,"Prcr","Scolecocampa liburna"
71,0.543653699566593,0.475793593552563,"Prcr","Scolecocampa liburna"
72,0.51727544440141,0.443490071489205,"Prcr","Scolecocampa liburna"
73,0.492217271499278,0.413583778057253,"Prcr","Scolecocampa liburna"
74,0.468423991135616,0.385928980514383,"Prcr","Scolecocampa liburna"
75,0.445841540453737,0.360385826167955,"Prcr","Scolecocampa liburna"
76,0.424417100436467,0.336820308753068,"Prcr","Scolecocampa liburna"
77,0.404099193869056,0.315104199851282,"Prcr","Scolecocampa liburna"
78,0.384837765809418,0.29511495327019,"Prcr","Scolecocampa liburna"
79,0.366584248039068,0.276735590184718,"Prcr","Scolecocampa liburna"
80,0.349291608917203,0.259854572546088,"Prcr","Scolecocampa liburna"
81,0.332914390002703,0.244365671736636,"Prcr","Scolecocampa liburna"
82,0.317408730746072,0.230167838641373,"Prcr","Scolecocampa liburna"
83,0.302732382486708,0.217165080195649,"Prcr","Scolecocampa liburna"
84,0.288844712921923,0.205266346063137,"Prcr","Scolecocampa liburna"
85,0.275706702143469,0.194385427453631,"Prcr","Scolecocampa liburna"
86,0.263280931266432,0.184440868309882,"Prcr","Scolecocampa liburna"
87,0.251531564604549,0.175355887319234,"Prcr","Scolecocampa liburna"
88,0.240424326276394,0.167058307609038,"Prcr","Scolecocampa liburna"
89,0.229926472058757,0.159480489733024,"Prcr","Scolecocampa liburna"
90,0.220006757237542,0.152559262788772,"Prcr","Scolecocampa liburna"
91,0.210635401142988,0.146235848308097,"Prcr","Scolecocampa liburna"
92,0.201784048995267,0.14045577194466,"Prcr","Scolecocampa liburna"
93,0.193425731628759,0.135168758881559,"Prcr","Scolecocampa liburna"
94,0.185534823608735,0.130328610167839,"Prcr","Scolecocampa liburna"
95,0.178087000202899,0.125893058696433,"Prcr","Scolecocampa liburna"
96,0.171059193622266,0.121823605075441,"Prcr","Scolecocampa liburna"
97,0.164429548901314,0.118085335054878,"Prcr","Scolecocampa liburna"
98,0.158177379746043,0.114646721324949,"Prcr","Scolecocampa liburna"
99,0.152283124640667,0.111479413323229,"Prcr","Scolecocampa liburna"
100,0.146728303468902,0.108558019151111,"Prcr","Scolecocampa liburna"
101,0.141495474874257,0.105859883823634,"Prcr","Scolecocampa liburna"
102,0.136568194555129,0.10336486791177,"Prcr","Scolecocampa liburna"
103,0.131930974664927,0.101055130251423,"Prcr","Scolecocampa liburna"
104,0.127569244464554,0.0989149178626914,"Prcr","Scolecocampa liburna"
105,0.123469312354509,0.0969303656160237,"Prcr","Scolecocampa liburna"
106,0.119618329396236,0.095089307557406,"Prcr","Scolecocampa liburna"
107,0.116004254417302,0.0933811012075834,"Prcr","Scolecocampa liburna"
108,0.112615820782161,0.0917964656112153,"Prcr","Scolecocampa liburna"
109,0.109442504899824,0.0903273334485678,"Prcr","Scolecocampa liburna"
110,0.106474496531349,0.0889667171423173,"Prcr","Scolecocampa liburna"
111,0.103702670953854,0.0877085885947259,"Prcr","Scolecocampa liburna"
112,0.101118563033504,0.0865477719700784,"Prcr","Scolecocampa liburna"
113,0.0987143432576838,0.0854798487849716,"Prcr","Scolecocampa liburna"
114,0.0964827957762658,0.0845010744744639,"Prcr","Scolecocampa liburna"
115,0.0944172985035588,0.0836083055544851,"Prcr","Scolecocampa liburna"
116,0.0925118053361221,0.0827989364905002,"Prcr","Scolecocampa liburna"
117,0.0907608305472712,0.0820708453999651,"Prcr","Scolecocampa liburna"
118,0.0891594354268127,0.0814223477541557,"Prcr","Scolecocampa liburna"
