"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.29663233173224e-14,"Prcr","Tecmessa scitiscripta"
70,2.22044604925031e-16,3.28484117816491e-14,"Prcr","Tecmessa scitiscripta"
71,2.22044604925031e-16,3.27305144704006e-14,"Prcr","Tecmessa scitiscripta"
72,2.22044604925031e-16,3.26126315380857e-14,"Prcr","Tecmessa scitiscripta"
73,2.22044604925031e-16,3.24947631414175e-14,"Prcr","Tecmessa scitiscripta"
74,2.22044604925031e-16,3.23769094393526e-14,"Prcr","Tecmessa scitiscripta"
75,2.22044604925031e-16,3.22590705931316e-14,"Prcr","Tecmessa scitiscripta"
76,2.22044604925031e-16,3.21412467663203e-14,"Prcr","Tecmessa scitiscripta"
77,2.22044604925031e-16,3.20234381248517e-14,"Prcr","Tecmessa scitiscripta"
78,2.22044604925031e-16,3.1905644837069e-14,"Prcr","Tecmessa scitiscripta"
79,2.22044604925031e-16,3.17878670737695e-14,"Prcr","Tecmessa scitiscripta"
80,2.22044604925031e-16,3.16701050082497e-14,"Prcr","Tecmessa scitiscripta"
81,2.22044604925031e-16,3.15523588163508e-14,"Prcr","Tecmessa scitiscripta"
82,2.22044604925031e-16,3.14346286765061e-14,"Prcr","Tecmessa scitiscripta"
83,2.22044604925031e-16,3.13169147697886e-14,"Prcr","Tecmessa scitiscripta"
84,2.22044604925031e-16,3.11992172799602e-14,"Prcr","Tecmessa scitiscripta"
85,2.22044604925031e-16,3.10815363935217e-14,"Prcr","Tecmessa scitiscripta"
86,2.22044604925031e-16,3.09638722997641e-14,"Prcr","Tecmessa scitiscripta"
87,2.22044604925031e-16,3.08462251908209e-14,"Prcr","Tecmessa scitiscripta"
88,2.22044604925031e-16,3.07285952617217e-14,"Prcr","Tecmessa scitiscripta"
89,2.22044604925031e-16,3.06109827104472e-14,"Prcr","Tecmessa scitiscripta"
90,2.22044604925031e-16,3.04933877379847e-14,"Prcr","Tecmessa scitiscripta"
91,2.22044604925031e-16,3.0375810548386e-14,"Prcr","Tecmessa scitiscripta"
92,2.22044604925031e-16,3.02582513488255e-14,"Prcr","Tecmessa scitiscripta"
93,2.22044604925031e-16,3.01407103496605e-14,"Prcr","Tecmessa scitiscripta"
94,2.22044604925031e-16,3.00231877644922e-14,"Prcr","Tecmessa scitiscripta"
95,2.22044604925031e-16,2.99056838102287e-14,"Prcr","Tecmessa scitiscripta"
96,2.22044604925031e-16,2.97881987071492e-14,"Prcr","Tecmessa scitiscripta"
97,2.22044604925031e-16,2.96707326789694e-14,"Prcr","Tecmessa scitiscripta"
98,2.22044604925031e-16,2.95532859529088e-14,"Prcr","Tecmessa scitiscripta"
99,2.22044604925031e-16,2.94358587597598e-14,"Prcr","Tecmessa scitiscripta"
100,2.22044604925031e-16,2.93184513339575e-14,"Prcr","Tecmessa scitiscripta"
101,2.22044604925031e-16,2.92010639136524e-14,"Prcr","Tecmessa scitiscripta"
102,2.22044604925031e-16,2.90836967407834e-14,"Prcr","Tecmessa scitiscripta"
103,2.22044604925031e-16,2.89663500611542e-14,"Prcr","Tecmessa scitiscripta"
104,2.22044604925031e-16,2.88490241245098e-14,"Prcr","Tecmessa scitiscripta"
105,2.22044604925031e-16,2.87317191846157e-14,"Prcr","Tecmessa scitiscripta"
106,2.22044604925031e-16,2.86144354993397e-14,"Prcr","Tecmessa scitiscripta"
107,2.22044604925031e-16,2.84971733307337e-14,"Prcr","Tecmessa scitiscripta"
108,2.22044604925031e-16,2.83799329451197e-14,"Prcr","Tecmessa scitiscripta"
109,2.22044604925031e-16,2.82627146131762e-14,"Prcr","Tecmessa scitiscripta"
110,2.22044604925031e-16,2.81455186100275e-14,"Prcr","Tecmessa scitiscripta"
111,2.22044604925031e-16,2.80283452153351e-14,"Prcr","Tecmessa scitiscripta"
112,2.22044604925031e-16,2.79111947133913e-14,"Prcr","Tecmessa scitiscripta"
113,2.22044604925031e-16,2.77940673932145e-14,"Prcr","Tecmessa scitiscripta"
114,2.22044604925031e-16,2.76769635486482e-14,"Prcr","Tecmessa scitiscripta"
115,2.22044604925031e-16,2.7559883478461e-14,"Prcr","Tecmessa scitiscripta"
116,2.22044604925031e-16,2.74428274864499e-14,"Prcr","Tecmessa scitiscripta"
117,2.22044604925031e-16,2.7325795881546e-14,"Prcr","Tecmessa scitiscripta"
118,2.22044604925031e-16,2.72087889779229e-14,"Prcr","Tecmessa scitiscripta"
119,2.22044604925031e-16,2.70918070951074e-14,"Prcr","Tecmessa scitiscripta"
120,2.22044604925031e-16,2.69748505580939e-14,"Prcr","Tecmessa scitiscripta"
121,2.22044604925031e-16,2.68579196974603e-14,"Prcr","Tecmessa scitiscripta"
122,2.22044604925031e-16,2.67410148494886e-14,"Prcr","Tecmessa scitiscripta"
123,2.22044604925031e-16,2.66241363562866e-14,"Prcr","Tecmessa scitiscripta"
124,2.22044604925031e-16,2.65072845659145e-14,"Prcr","Tecmessa scitiscripta"
125,2.22044604925031e-16,2.63904598325137e-14,"Prcr","Tecmessa scitiscripta"
