"doy","fit","se","Site","validName"
69,0.00424941318740176,0.00926104946918899,"Rist","Acrolophus arcanella"
70,0.00471072460115986,0.0100804822909884,"Rist","Acrolophus arcanella"
71,0.00522200364996293,0.0109687754986338,"Rist","Acrolophus arcanella"
72,0.00578852656541424,0.0119310701987384,"Rist","Acrolophus arcanella"
73,0.00641609811085788,0.0129728002164924,"Rist","Acrolophus arcanella"
74,0.00711109973170383,0.0140996966783006,"Rist","Acrolophus arcanella"
75,0.00788054135736637,0.0153177909005938,"Rist","Acrolophus arcanella"
76,0.00873211702225309,0.0166334153282301,"Rist","Acrolophus arcanella"
77,0.0096742644635431,0.0180532022556531,"Rist","Acrolophus arcanella"
78,0.0107162288401629,0.0195840800572614,"Rist","Acrolophus arcanella"
79,0.0118681306998959,0.0212332666512187,"Rist","Acrolophus arcanella"
80,0.0131410382994174,0.0230082599243204,"Rist","Acrolophus arcanella"
81,0.0145470443546607,0.0249168248557688,"Rist","Acrolophus arcanella"
82,0.016099347265701,0.0269669770961531,"Rist","Acrolophus arcanella"
83,0.017812336820673,0.0291669627861012,"Rist","Acrolophus arcanella"
84,0.0197016843364899,0.0315252344385806,"Rist","Acrolophus arcanella"
85,0.0217844371396588,0.0340504227614122,"Rist","Acrolophus arcanella"
86,0.0240791172276707,0.0367513043640354,"Rist","Acrolophus arcanella"
87,0.0266058238796433,0.039636765376803,"Rist","Acrolophus arcanella"
88,0.0293863399035393,0.0427157611139597,"Rist","Acrolophus arcanella"
89,0.0324442411158173,0.0459972720348056,"Rist","Acrolophus arcanella"
90,0.035805008547326,0.0494902564030611,"Rist","Acrolophus arcanella"
91,0.0394961427562214,0.0532036002136083,"Rist","Acrolophus arcanella"
92,0.0435472795044115,0.0571460651497059,"Rist","Acrolophus arcanella"
93,0.0479903059183457,0.061326235553081,"Rist","Acrolophus arcanella"
94,0.0528594761079139,0.0657524656338776,"Rist","Acrolophus arcanella"
95,0.0581915250590042,0.0704328284162785,"Rist","Acrolophus arcanella"
96,0.0640257794463614,0.075375068206406,"Rist","Acrolophus arcanella"
97,0.070404263834484,0.0805865586780183,"Rist","Acrolophus arcanella"
98,0.0773718005464456,0.0860742689926551,"Rist","Acrolophus arcanella"
99,0.0849761012850519,0.0918447406958973,"Rist","Acrolophus arcanella"
100,0.093267848389406,0.0979040784488514,"Rist","Acrolophus arcanella"
101,0.10230076340487,0.104257957948731,"Rist","Acrolophus arcanella"
102,0.112131660438177,0.11091165464492,"Rist","Acrolophus arcanella"
103,0.122820481565106,0.117870097042543,"Rist","Acrolophus arcanella"
104,0.134430311359206,0.125137948473704,"Rist","Acrolophus arcanella"
105,0.147027367420657,0.132719721170404,"Rist","Acrolophus arcanella"
106,0.160680963608984,0.140619926248606,"Rist","Acrolophus arcanella"
107,0.175463442527132,0.148843262759586,"Rist","Acrolophus arcanella"
108,0.19145007367298,0.157394848225681,"Rist","Acrolophus arcanella"
109,0.208718913573769,0.166280491991736,"Rist","Acrolophus arcanella"
110,0.227350624155661,0.175507011228555,"Rist","Acrolophus arcanella"
111,0.247428245581708,0.185082587461944,"Rist","Acrolophus arcanella"
112,0.269036919824008,0.1950171590233,"Rist","Acrolophus arcanella"
113,0.29226356132723,0.205322841799458,"Rist","Acrolophus arcanella"
114,0.317196471278516,0.216014367110117,"Rist","Acrolophus arcanella"
115,0.343924892230391,0.227109521520432,"Rist","Acrolophus arcanella"
116,0.372538500136057,0.238629569032879,"Rist","Acrolophus arcanella"
117,0.403126831256968,0.250599631609047,"Rist","Acrolophus arcanella"
118,0.435778641897308,0.263048999659293,"Rist","Acrolophus arcanella"
119,0.470581199513921,0.276011340416927,"Rist","Acrolophus arcanella"
120,0.507619504447971,0.289524769483619,"Rist","Acrolophus arcanella"
121,0.546975442328676,0.303631749850154,"Rist","Acrolophus arcanella"
122,0.588726868111335,0.318378783917298,"Rist","Acrolophus arcanella"
123,0.632946623730646,0.333815867940698,"Rist","Acrolophus arcanella"
124,0.679701492473297,0.349995685199327,"Rist","Acrolophus arcanella"
125,0.729051094395481,0.366972524060959,"Rist","Acrolophus arcanella"
126,0.781046728423377,0.384800919661192,"Rist","Acrolophus arcanella"
127,0.835730168166672,0.403534032411204,"Rist","Acrolophus arcanella"
128,0.893132419932875,0.423221791945803,"Rist","Acrolophus arcanella"
129,0.953272452935971,0.443908850126288,"Rist","Acrolophus arcanella"
130,1.01615591322631,0.465632399977666,"Rist","Acrolophus arcanella"
131,1.08177383440555,0.488419927779637,"Rist","Acrolophus arcanella"
132,1.15010135970344,0.512286972115236,"Rist","Acrolophus arcanella"
133,1.22109649145235,0.537234966170539,"Rist","Acrolophus arcanella"
134,1.29469888536735,0.563249238169116,"Rist","Acrolophus arcanella"
135,1.37082870828827,0.590297240173635,"Rist","Acrolophus arcanella"
136,1.44938557912956,0.618327068571933,"Rist","Acrolophus arcanella"
137,1.53024761367307,0.647266331474331,"Rist","Acrolophus arcanella"
138,1.61327059449046,0.677021410002565,"Rist","Acrolophus arcanella"
139,1.69828728765603,0.707477152838593,"Rist","Acrolophus arcanella"
140,1.78510728961365,0.738497443006086,"Rist","Acrolophus arcanella"
141,1.87353116761104,0.769942506718232,"Rist","Acrolophus arcanella"
142,1.96335850803998,0.801681241052834,"Rist","Acrolophus arcanella"
143,2.05437316346021,0.833576837256799,"Rist","Acrolophus arcanella"
144,2.14634260308561,0.865487098297128,"Rist","Acrolophus arcanella"
145,2.23901858112607,0.897266105177027,"Rist","Acrolophus arcanella"
146,2.33213796342785,0.928765938884722,"Rist","Acrolophus arcanella"
147,2.42542371235975,0.959838434515456,"Rist","Acrolophus arcanella"
148,2.51858602812398,0.99033694302432,"Rist","Acrolophus arcanella"
149,2.61132364283714,1.02011807494857,"Rist","Acrolophus arcanella"
150,2.70332526185214,1.04904339941574,"Rist","Acrolophus arcanella"
151,2.79427114490105,1.07698107095621,"Rist","Acrolophus arcanella"
152,2.88383481775749,1.10380735618701,"Rist","Acrolophus arcanella"
153,2.97168490327381,1.12940803243891,"Rist","Acrolophus arcanella"
154,3.05748705887033,1.15367963096049,"Rist","Acrolophus arcanella"
155,3.14090600586918,1.17653049853972,"Rist","Acrolophus arcanella"
156,3.22160763450354,1.19788165331009,"Rist","Acrolophus arcanella"
157,3.29926116701863,1.21766741321655,"Rist","Acrolophus arcanella"
158,3.37354136004257,1.23583577915086,"Rist","Acrolophus arcanella"
159,3.44413072636419,1.25234855915098,"Rist","Acrolophus arcanella"
160,3.5107217554351,1.26718122529249,"Rist","Acrolophus arcanella"
161,3.57301911133197,1.2803225009488,"Rist","Acrolophus arcanella"
162,3.63074178658826,1.2917736828846,"Rist","Acrolophus arcanella"
163,3.68362519024482,1.30154771005085,"Rist","Acrolophus arcanella"
164,3.73142314868343,1.30966799878707,"Rist","Acrolophus arcanella"
165,3.77390979830075,1.31616707216405,"Rist","Acrolophus arcanella"
166,3.81088134985175,1.32108501910671,"Rist","Acrolophus arcanella"
167,3.84215770533662,1.32446782635121,"Rist","Acrolophus arcanella"
168,3.86758390961418,1.32636563279089,"Rist","Acrolophus arcanella"
169,3.88703142048424,1.32683096090213,"Rist","Acrolophus arcanella"
170,3.90039918277256,1.32591698326322,"Rist","Acrolophus arcanella"
171,3.9076144939541,1.32367588328313,"Rist","Acrolophus arcanella"
172,3.90863365103659,1.3201573678175,"Rist","Acrolophus arcanella"
173,3.903442370768,1.3154073851825,"Rist","Acrolophus arcanella"
174,3.89205597769694,1.30946709516547,"Rist","Acrolophus arcanella"
175,3.87451935716976,1.30237212815962,"Rist","Acrolophus arcanella"
176,3.85090667295615,1.29415215891169,"Rist","Acrolophus arcanella"
177,3.82132085181924,1.28483080715303,"Rist","Acrolophus arcanella"
178,3.78589283994964,1.27442586332124,"Rist","Acrolophus arcanella"
179,3.74478063872663,1.26294982350849,"Rist","Acrolophus arcanella"
180,3.69816812971923,1.2504107045351,"Rist","Acrolophus arcanella"
181,3.64626370115779,1.23681309843808,"Rist","Acrolophus arcanella"
182,3.58929869026215,1.22215941633226,"Rist","Acrolophus arcanella"
183,3.52752565777321,1.20645126501565,"Rist","Acrolophus arcanella"
184,3.46121651277465,1.18969089609341,"Rist","Acrolophus arcanella"
185,3.39066050738697,1.17188266680705,"Rist","Acrolophus arcanella"
186,3.31616212214717,1.15303445398456,"Rist","Acrolophus arcanella"
187,3.23803886383926,1.13315896721987,"Rist","Acrolophus arcanella"
188,3.1566189982036,1.11227491406282,"Rist","Acrolophus arcanella"
189,3.07223924031923,1.09040797811971,"Rist","Acrolophus arcanella"
190,2.98524242552471,1.0675915799702,"Rist","Acrolophus arcanella"
191,2.89597518352004,1.04386740017922,"Rist","Acrolophus arcanella"
192,2.80478563778649,1.01928565296262,"Rist","Acrolophus arcanella"
193,2.71202115168293,0.993905107873278,"Rist","Acrolophus arcanella"
194,2.61802614154459,0.967792864925144,"Rist","Acrolophus arcanella"
195,2.52313997584399,0.941023895666405,"Rist","Acrolophus arcanella"
196,2.42769497799614,0.913680368736114,"Rist","Acrolophus arcanella"
197,2.33201454873005,0.885850783343584,"Rist","Acrolophus arcanella"
198,2.23641142213246,0.857628937908701,"Rist","Acrolophus arcanella"
199,2.14118606753014,0.829112763847947,"Rist","Acrolophus arcanella"
200,2.04662524734415,0.80040305626735,"Rist","Acrolophus arcanella"
201,1.9530007389561,0.771602134234078,"Rist","Acrolophus arcanella"
202,1.86056822650444,0.742812463450921,"Rist","Acrolophus arcanella"
203,1.76956636640972,0.714135273664654,"Rist","Acrolophus arcanella"
204,1.68021602834137,0.685669202101638,"Rist","Acrolophus arcanella"
205,1.59271971131448,0.65750899273196,"Rist","Acrolophus arcanella"
206,1.50726113266855,0.629744279286688,"Rist","Acrolophus arcanella"
207,1.42400498585637,0.602458477738077,"Rist","Acrolophus arcanella"
208,1.34309686128084,0.575727811419972,"Rist","Acrolophus arcanella"
209,1.26466332287893,0.549620489110226,"Rist","Acrolophus arcanella"
210,1.18881213177985,0.524196053187504,"Rist","Acrolophus arcanella"
211,1.11563260717151,0.499504911366836,"Rist","Acrolophus arcanella"
212,1.04519611350182,0.475588061460401,"Rist","Acrolophus arcanella"
213,0.977556662326483,0.452477014064685,"Rist","Acrolophus arcanella"
214,0.912751616492001,0.430193913039448,"Rist","Acrolophus arcanella"
215,0.850802483911998,0.408751848169792,"Rist","Acrolophus arcanella"
216,0.791715787950387,0.388155348618952,"Rist","Acrolophus arcanella"
217,0.735484001360515,0.368401039902642,"Rist","Acrolophus arcanella"
218,0.682086530834464,0.34947844144801,"Rist","Acrolophus arcanella"
219,0.631490739480124,0.331370876712475,"Rist","Acrolophus arcanella"
220,0.583652994951044,0.314056463732262,"Rist","Acrolophus arcanella"
221,0.538519731491234,0.297509151231495,"Rist","Acrolophus arcanella"
222,0.496028514807042,0.281699764358625,"Rist","Acrolophus arcanella"
