"doy","fit","se","Site","validName"
69,0.487276203367715,0.296626454613567,"Rist","Apantesis vittata"
70,0.49106939171968,0.295169366138293,"Rist","Apantesis vittata"
71,0.494890197840909,0.293721499146665,"Rist","Apantesis vittata"
72,0.498736881953718,0.29228501037876,"Rist","Apantesis vittata"
73,0.502607645591178,0.290862168564059,"Rist","Apantesis vittata"
74,0.506500630630279,0.289455350068542,"Rist","Apantesis vittata"
75,0.510413918391898,0.288067033558337,"Rist","Apantesis vittata"
76,0.514345528811651,0.286699793613721,"Rist","Apantesis vittata"
77,0.51829341968582,0.285356293231031,"Rist","Apantesis vittata"
78,0.52225548599662,0.284039275155432,"Rist","Apantesis vittata"
79,0.526229559321131,0.28275155199475,"Rist","Apantesis vittata"
80,0.530213407328332,0.281495995073821,"Rist","Apantesis vittata"
81,0.534204733368683,0.280275522000218,"Rist","Apantesis vittata"
82,0.538201176160802,0.279093082925821,"Rist","Apantesis vittata"
83,0.542200309579762,0.277951645504673,"Rist","Apantesis vittata"
84,0.546199642551621,0.276854178565719,"Rist","Apantesis vittata"
85,0.550196619058755,0.275803634539401,"Rist","Apantesis vittata"
86,0.554188618260606,0.274802930699439,"Rist","Apantesis vittata"
87,0.558172954734418,0.273854929305115,"Rist","Apantesis vittata"
88,0.562146878840496,0.272962416754723,"Rist","Apantesis vittata"
89,0.566107577216525,0.272128081886885,"Rist","Apantesis vittata"
90,0.57005217340535,0.271354493592701,"Rist","Apantesis vittata"
91,0.573977728620612,0.270644077927324,"Rist","Apantesis vittata"
92,0.577881242654491,0.269999094933904,"Rist","Apantesis vittata"
93,0.5817596549317,0.269421615414908,"Rist","Apantesis vittata"
94,0.585609845713769,0.268913497904863,"Rist","Apantesis vittata"
95,0.589428637457449,0.268476366113665,"Rist","Apantesis vittata"
96,0.593212796330956,0.268111587119919,"Rist","Apantesis vittata"
97,0.59695903389152,0.267820250598752,"Rist","Apantesis vittata"
98,0.600664008927541,0.267603149367459,"Rist","Apantesis vittata"
99,0.604324329468357,0.267460761525002,"Rist","Apantesis vittata"
100,0.607936554964446,0.26739323444756,"Rist","Apantesis vittata"
101,0.611497198640518,0.267400370882161,"Rist","Apantesis vittata"
102,0.615002730023709,0.267481617354285,"Rist","Apantesis vittata"
103,0.61844957764874,0.267636055073841,"Rist","Apantesis vittata"
104,0.621834131941551,0.267862393487901,"Rist","Apantesis vittata"
105,0.625152748282543,0.268158966589102,"Rist","Apantesis vittata"
106,0.628401750250193,0.26852373204689,"Rist","Apantesis vittata"
107,0.631577433045343,0.268954273185993,"Rist","Apantesis vittata"
108,0.634676067096072,0.269447803794112,"Rist","Apantesis vittata"
