"doy","fit","se","Site","validName"
69,8.25238290089418e-06,0.000115622295330729,"Rist","Dasychira tephra"
70,8.77324625505853e-06,0.000121761527424069,"Rist","Dasychira tephra"
71,9.32699578296198e-06,0.000128217600353957,"Rist","Dasychira tephra"
72,9.91572021885806e-06,0.000135006553072702,"Rist","Dasychira tephra"
73,1.05416424742624e-05,0.00014214523231603,"Rist","Dasychira tephra"
74,1.12071283974751e-05,0.000149651333849449,"Rist","Dasychira tephra"
75,1.19146961165153e-05,0.000157543445887747,"Rist","Dasychira tephra"
76,1.26670260052249e-05,0.000165841094805952,"Rist","Dasychira tephra"
77,1.34669713150759e-05,0.000174564793266465,"Rist","Dasychira tephra"
78,1.4317569518192e-05,0.000183736090893772,"Rist","Dasychira tephra"
79,1.52220544102853e-05,0.000193377627635202,"Rist","Dasychira tephra"
80,1.6183869025629e-05,0.000203513189953456,"Rist","Dasychira tephra"
81,1.72066794198536e-05,0.000214167770004358,"Rist","Dasychira tephra"
82,1.8294389380284e-05,0.000225367627961153,"Rist","Dasychira tephra"
83,1.94511561277516e-05,0.000237140357655064,"Rist","Dasychira tephra"
84,2.06814070783361e-05,0.000249514955710297,"Rist","Dasychira tephra"
85,2.19898577383415e-05,0.000262521894360721,"Rist","Dasychira tephra"
86,2.33815308110115e-05,0.000276193198144543,"Rist","Dasychira tephra"
87,2.48617765990712e-05,0.000290562524682861,"Rist","Dasychira tephra"
88,2.64362947931741e-05,0.000305665249757749,"Rist","Dasychira tephra"
89,2.81111577427529e-05,0.000321538556915489,"Rist","Dasychira tephra"
90,2.98928353126793e-05,0.000338221531830866,"Rist","Dasychira tephra"
91,3.17882214365347e-05,0.000355755261678799,"Rist","Dasychira tephra"
92,3.3804662485249e-05,0.000374182939770222,"Rist","Dasychira tephra"
93,3.59499875783932e-05,0.000393549975719671,"Rist","Dasychira tephra"
94,3.82325409745861e-05,0.000413904111422864,"Rist","Dasychira tephra"
95,4.06612166873057e-05,0.000435295543133049,"Rist","Dasychira tephra"
96,4.32454954829837e-05,0.000457777049935581,"Rist","Dasychira tephra"
97,4.59954844296089e-05,0.000481404128930369,"Rist","Dasychira tephra"
98,4.89219591762712e-05,0.000506235137441874,"Rist","Dasychira tephra"
99,5.20364091571962e-05,0.000532331442585901,"Rist","Dasychira tephra"
100,5.53510859279071e-05,0.000559757578531261,"Rist","Dasychira tephra"
101,5.88790548563022e-05,0.000588581411802654,"Rist","Dasychira tephra"
102,6.26342504077175e-05,0.000618874314978244,"Rist","Dasychira tephra"
103,6.66315352805537e-05,0.000650711349141525,"Rist","Dasychira tephra"
104,7.08867636678699e-05,0.000684171455451687,"Rist","Dasychira tephra"
105,7.54168489405924e-05,0.000719337656199693,"Rist","Dasychira tephra"
106,8.0239836069764e-05,0.00075629726571833,"Rist","Dasychira tephra"
107,8.53749791286775e-05,0.000795142111513166,"Rist","Dasychira tephra"
108,9.08428242409496e-05,0.000835968765977502,"Rist","Dasychira tephra"
109,9.66652983676982e-05,0.000878878789047316,"Rist","Dasychira tephra"
110,0.00010286580435618,0.000923978982141734,"Rist","Dasychira tephra"
111,0.000109469322703645,0.000971381653719901,"Rist","Dasychira tephra"
112,0.000116502520523994,0.00102120489676612,"Rist","Dasychira tephra"
113,0.000123993868241222,0.00107357287849065,"Rist","Dasychira tephra"
114,0.000131973764572823,0.00112861614250348,"Rist","Dasychira tephra"
115,0.000140474670408575,0.00118647192368164,"Rist","Dasychira tephra"
116,0.000149531252235575,0.00124728447590656,"Rist","Dasychira tephra"
117,0.000159180535809393,0.0013112054127956,"Rist","Dasychira tephra"
118,0.000169462070823983,0.00137839406149065,"Rist","Dasychira tephra"
119,0.000180418107389879,0.00144901782949521,"Rist","Dasychira tephra"
120,0.000192093785191493,0.00152325258446867,"Rist","Dasychira tephra"
121,0.000204537336260392,0.00160128304679178,"Rist","Dasychira tephra"
122,0.000217800302372675,0.00168330319460902,"Rist","Dasychira tephra"
123,0.000231937768155372,0.0017695166809307,"Rist","Dasychira tephra"
124,0.000247008611069587,0.0018601372622386,"Rist","Dasychira tephra"
125,0.000263075769527454,0.00195538923788326,"Rist","Dasychira tephra"
126,0.000280206530496321,0.00205550789938587,"Rist","Dasychira tephra"
127,0.000298472838047521,0.00216073998856347,"Rist","Dasychira tephra"
128,0.00031795162441929,0.00227134416318022,"Rist","Dasychira tephra"
129,0.000338725165284424,0.00238759146858936,"Rist","Dasychira tephra"
130,0.000360881461043919,0.00250976581356845,"Rist","Dasychira tephra"
131,0.000384514646108965,0.00263816444826479,"Rist","Dasychira tephra"
132,0.00040972542828584,0.00277309844185603,"Rist","Dasychira tephra"
133,0.000436621560542877,0.00291489315719508,"Rist","Dasychira tephra"
134,0.000465318347616134,0.00306388871934626,"Rist","Dasychira tephra"
135,0.000495939190102444,0.00322044047453451,"Rist","Dasychira tephra"
136,0.000528616168895677,0.00338491943562091,"Rist","Dasychira tephra"
137,0.000563490673046147,0.00355771270979124,"Rist","Dasychira tephra"
138,0.000600714074365163,0.00373922390370147,"Rist","Dasychira tephra"
139,0.000640448452358339,0.00392987350087381,"Rist","Dasychira tephra"
140,0.000682867321310815,0.00413009897172178,"Rist","Dasychira tephra"
141,0.000728154348652408,0.00434034587267414,"Rist","Dasychira tephra"
142,0.000776502848710708,0.0045610636077615,"Rist","Dasychira tephra"
143,0.000828118631880612,0.00479271566395364,"Rist","Dasychira tephra"
144,0.000883220954015993,0.00503578040688006,"Rist","Dasychira tephra"
145,0.00094204334489073,0.00529075106846969,"Rist","Dasychira tephra"
146,0.00100483448243294,0.00555813568596757,"Rist","Dasychira tephra"
147,0.00107185911474212,0.00583845698871275,"Rist","Dasychira tephra"
148,0.00114339903193615,0.00613225222909391,"Rist","Dasychira tephra"
149,0.00121975408990697,0.00644007295417463,"Rist","Dasychira tephra"
150,0.00130124328809049,0.0067624847146051,"Rist","Dasychira tephra"
151,0.00138820590337558,0.00710006670761792,"Rist","Dasychira tephra"
152,0.00148100268228937,0.00745341135115039,"Rist","Dasychira tephra"
153,0.00158001709359958,0.00782312378645102,"Rist","Dasychira tephra"
154,0.00168565664346857,0.00820982130692369,"Rist","Dasychira tephra"
155,0.00179835425527718,0.00861413271144616,"Rist","Dasychira tephra"
156,0.00191856971620792,0.00903669758098075,"Rist","Dasychira tephra"
157,0.00204679119263531,0.00947816547798295,"Rist","Dasychira tephra"
158,0.0021835368163149,0.00993919506891751,"Rist","Dasychira tephra"
159,0.00232935634329069,0.0104204531711231,"Rist","Dasychira tephra"
160,0.00248483288735103,0.0109226137263325,"Rist","Dasychira tephra"
161,0.0026505847297545,0.0114463567043693,"Rist","Dasychira tephra"
162,0.00282726720681897,0.0119923669419086,"Rist","Dasychira tephra"
163,0.00301557467681468,0.012561332922721,"Rist","Dasychira tephra"
164,0.00321624256742794,0.0131539455075222,"Rist","Dasychira tephra"
165,0.00343004950486001,0.0137708966234306,"Rist","Dasychira tephra"
166,0.00365781952539683,0.0144128779250947,"Rist","Dasychira tephra"
167,0.00390042437002655,0.0150805794418008,"Rist","Dasychira tephra"
168,0.00415878586239097,0.0157746882272951,"Rist","Dasychira tephra"
169,0.00443387837003262,0.0164958870316621,"Rist","Dasychira tephra"
170,0.00472673134853874,0.0172448530173732,"Rist","Dasychira tephra"
171,0.00503843196778522,0.0180222565445428,"Rist","Dasychira tephra"
172,0.00537012781904523,0.0188287600534881,"Rist","Dasychira tephra"
173,0.00572302970124639,0.0196650170758401,"Rist","Dasychira tephra"
174,0.00609841448413624,0.0205316714086744,"Rist","Dasychira tephra"
175,0.00649762804554443,0.0214293564893482,"Rist","Dasychira tephra"
