"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.87312322257064e-13,"Rist","Epimecis hortaria"
70,2.22044604925031e-16,3.83006605135354e-13,"Rist","Epimecis hortaria"
71,2.22044604925031e-16,3.78706101534003e-13,"Rist","Epimecis hortaria"
72,2.22044604925031e-16,3.74411528653e-13,"Rist","Epimecis hortaria"
73,2.22044604925031e-16,3.70123601951736e-13,"Rist","Epimecis hortaria"
74,2.22044604925031e-16,3.65843034969167e-13,"Rist","Epimecis hortaria"
75,2.22044604925031e-16,3.61570539135895e-13,"Rist","Epimecis hortaria"
76,2.22044604925031e-16,3.57306823577728e-13,"Rist","Epimecis hortaria"
77,2.22044604925031e-16,3.53052594910233e-13,"Rist","Epimecis hortaria"
78,2.22044604925031e-16,3.4880855702379e-13,"Rist","Epimecis hortaria"
79,2.22044604925031e-16,3.44575410858629e-13,"Rist","Epimecis hortaria"
80,2.22044604925031e-16,3.40353854169311e-13,"Rist","Epimecis hortaria"
81,2.22044604925031e-16,3.36144581278113e-13,"Rist","Epimecis hortaria"
82,2.22044604925031e-16,3.31948282816731e-13,"Rist","Epimecis hortaria"
83,2.22044604925031e-16,3.27765645455717e-13,"Rist","Epimecis hortaria"
84,2.22044604925031e-16,3.23597351621041e-13,"Rist","Epimecis hortaria"
85,2.22044604925031e-16,3.19444079197152e-13,"Rist","Epimecis hortaria"
86,2.22044604925031e-16,3.15306501215882e-13,"Rist","Epimecis hortaria"
87,2.22044604925031e-16,3.11185285530559e-13,"Rist","Epimecis hortaria"
88,2.22044604925031e-16,3.07081094474624e-13,"Rist","Epimecis hortaria"
89,2.22044604925031e-16,3.0299458450409e-13,"Rist","Epimecis hortaria"
90,2.22044604925031e-16,2.98926405823123e-13,"Rist","Epimecis hortaria"
91,2.22044604925031e-16,2.94877201992054e-13,"Rist","Epimecis hortaria"
92,2.22044604925031e-16,2.90847609517105e-13,"Rist","Epimecis hortaria"
93,2.22044604925031e-16,2.86838257421092e-13,"Rist","Epimecis hortaria"
94,2.22044604925031e-16,2.82849766794425e-13,"Rist","Epimecis hortaria"
95,2.22044604925031e-16,2.78882750325651e-13,"Rist","Epimecis hortaria"
96,2.22044604925031e-16,2.74937811810874e-13,"Rist","Epimecis hortaria"
97,2.22044604925031e-16,2.71015545641332e-13,"Rist","Epimecis hortaria"
98,2.22044604925031e-16,2.67116536268484e-13,"Rist","Epimecis hortaria"
99,2.22044604925031e-16,2.63241357645964e-13,"Rist","Epimecis hortaria"
100,2.22044604925031e-16,2.59390572647781e-13,"Rist","Epimecis hortaria"
101,2.22044604925031e-16,2.55564732462222e-13,"Rist","Epimecis hortaria"
102,2.22044604925031e-16,2.5176437596094e-13,"Rist","Epimecis hortaria"
103,2.22044604925031e-16,2.47990029042778e-13,"Rist","Epimecis hortaria"
104,2.22044604925031e-16,2.44242203951967e-13,"Rist","Epimecis hortaria"
105,2.22044604925031e-16,2.40521398570409e-13,"Rist","Epimecis hortaria"
106,2.22044604925031e-16,2.36828095683859e-13,"Rist","Epimecis hortaria"
107,2.22044604925031e-16,2.33162762221949e-13,"Rist","Epimecis hortaria"
108,2.22044604925031e-16,2.29525848472109e-13,"Rist","Epimecis hortaria"
109,2.22044604925031e-16,2.25917787267609e-13,"Rist","Epimecis hortaria"
110,2.22044604925031e-16,2.22338993150094e-13,"Rist","Epimecis hortaria"
111,2.22044604925031e-16,2.18789861507198e-13,"Rist","Epimecis hortaria"
112,2.22044604925031e-16,2.15270767685995e-13,"Rist","Epimecis hortaria"
113,2.22044604925031e-16,2.11782066083329e-13,"Rist","Epimecis hortaria"
114,2.22044604925031e-16,2.08324089214258e-13,"Rist","Epimecis hortaria"
115,2.22044604925031e-16,2.04897146760195e-13,"Rist","Epimecis hortaria"
116,2.22044604925031e-16,2.01501524598578e-13,"Rist","Epimecis hortaria"
117,2.22044604925031e-16,1.9813748381627e-13,"Rist","Epimecis hortaria"
118,2.22044604925031e-16,1.94805259709259e-13,"Rist","Epimecis hortaria"
