"doy","fit","se","Site","validName"
69,4.44561151887643e-07,7.48004138377559e-06,"Rist","Euchlaena obtusaria"
70,4.21022106773599e-07,7.09626632999442e-06,"Rist","Euchlaena obtusaria"
71,3.98729429258442e-07,6.73245082159792e-06,"Rist","Euchlaena obtusaria"
72,3.77617125433837e-07,6.38754034585612e-06,"Rist","Euchlaena obtusaria"
73,3.57622695708838e-07,6.06053704504058e-06,"Rist","Euchlaena obtusaria"
74,3.38686949788465e-07,5.75049662242319e-06,"Rist","Euchlaena obtusaria"
75,3.20753831449022e-07,5.45652541967637e-06,"Rist","Euchlaena obtusaria"
76,3.0377025259149e-07,5.17777765607458e-06,"Rist","Euchlaena obtusaria"
77,2.8768593608168e-07,4.91345282043876e-06,"Rist","Euchlaena obtusaria"
78,2.72453266911897e-07,4.66279320727579e-06,"Rist","Euchlaena obtusaria"
79,2.58027151243538e-07,4.42508158904777e-06,"Rist","Euchlaena obtusaria"
80,2.44364882913245e-07,4.19963901695892e-06,"Rist","Euchlaena obtusaria"
81,2.3142601700752e-07,3.9858227430792e-06,"Rist","Euchlaena obtusaria"
82,2.19172250131442e-07,3.78302425702563e-06,"Rist","Euchlaena obtusaria"
83,2.07567307017093e-07,3.5906674308067e-06,"Rist","Euchlaena obtusaria"
84,1.96576833135994e-07,3.40820676579367e-06,"Rist","Euchlaena obtusaria"
85,1.86168292997635e-07,3.23512573612302e-06,"Rist","Euchlaena obtusaria"
86,1.76310873833018e-07,3.07093522315452e-06,"Rist","Euchlaena obtusaria"
87,1.66975394378099e-07,2.91517203591263e-06,"Rist","Euchlaena obtusaria"
88,1.58134218487055e-07,2.7673975127229e-06,"Rist","Euchlaena obtusaria"
89,1.4976117331971e-07,2.62719619952647e-06,"Rist","Euchlaena obtusaria"
90,1.41831471860831e-07,2.49417460060658e-06,"Rist","Euchlaena obtusaria"
91,1.34321639541982e-07,2.36795999770384e-06,"Rist","Euchlaena obtusaria"
92,1.27209444748717e-07,2.24819933372127e-06,"Rist","Euchlaena obtusaria"
93,1.2047383300731e-07,2.13455815743302e-06,"Rist","Euchlaena obtusaria"
94,1.14094864656305e-07,2.02671962581424e-06,"Rist","Euchlaena obtusaria"
95,1.08053655818265e-07,1.92438356079641e-06,"Rist","Euchlaena obtusaria"
96,1.02332322497032e-07,1.827265557434e-06,"Rist","Euchlaena obtusaria"
97,9.69139276349979e-08,1.73509614063618e-06,"Rist","Euchlaena obtusaria"
98,9.17824309736309e-08,1.64761996777685e-06,"Rist","Euchlaena obtusaria"
99,8.69226415688579e-08,1.56459507464716e-06,"Rist","Euchlaena obtusaria"
100,8.2320172820717e-08,1.48579216235662e-06,"Rist","Euchlaena obtusaria"
101,7.79613998841399e-08,1.4109939229219e-06,"Rist","Euchlaena obtusaria"
102,7.38334193348072e-08,1.33999440141052e-06,"Rist","Euchlaena obtusaria"
103,6.99240109706455e-08,1.27259839262411e-06,"Rist","Euchlaena obtusaria"
104,6.62216016359246e-08,1.20862087042025e-06,"Rist","Euchlaena obtusaria"
105,6.27152309608121e-08,1.14788644787607e-06,"Rist","Euchlaena obtusaria"
106,5.93945189150009e-08,1.09022886659911e-06,"Rist","Euchlaena obtusaria"
107,5.62496350793313e-08,1.03549051358354e-06,"Rist","Euchlaena obtusaria"
108,5.32712695444714e-08,9.83521964101101e-07,"Rist","Euchlaena obtusaria"
109,5.04506053504571e-08,9.34181549197906e-07,"Rist","Euchlaena obtusaria"
110,4.77792923855553e-08,8.87334946450297e-07,"Rist","Euchlaena obtusaria"
111,4.52494226671444e-08,8.42854792705816e-07,"Rist","Euchlaena obtusaria"
112,4.28535069314577e-08,8.00620317607549e-07,"Rist","Euchlaena obtusaria"
113,4.05844524628647e-08,7.60516996765809e-07,"Rist","Euchlaena obtusaria"
114,3.84355420970807e-08,7.22436223505216e-07,"Rist","Euchlaena obtusaria"
115,3.64004143361299e-08,6.86274998173793e-07,"Rist","Euchlaena obtusaria"
116,3.44730445162042e-08,6.51935634057505e-07,"Rist","Euchlaena obtusaria"
117,3.26477269726638e-08,6.19325478996272e-07,"Rist","Euchlaena obtusaria"
118,3.09190581493801e-08,5.88356651847648e-07,"Rist","Euchlaena obtusaria"
119,2.92819206024253e-08,5.58945792991711e-07,"Rist","Euchlaena obtusaria"
120,2.77314678507508e-08,5.31013828115074e-07,"Rist","Euchlaena obtusaria"
121,2.62631100289994e-08,5.04485744553971e-07,"Rist","Euchlaena obtusaria"
122,2.48725002999984e-08,4.79290379516515e-07,"Rist","Euchlaena obtusaria"
123,2.35555219866818e-08,4.55360219540932e-07,"Rist","Euchlaena obtusaria"
124,2.23082763853769e-08,4.32631210582961e-07,"Rist","Euchlaena obtusaria"
125,2.11270712243555e-08,4.11042578158091e-07,"Rist","Euchlaena obtusaria"
126,2.00084097334985e-08,3.90536656996571e-07,"Rist","Euchlaena obtusaria"
127,1.89489802927048e-08,3.71058729698411e-07,"Rist","Euchlaena obtusaria"
128,1.79456466284095e-08,3.52556873904113e-07,"Rist","Euchlaena obtusaria"
129,1.69954385291841e-08,3.34981817523119e-07,"Rist","Euchlaena obtusaria"
130,1.60955430529355e-08,3.18286801587276e-07,"Rist","Euchlaena obtusaria"
131,1.52432961996753e-08,3.02427450320156e-07,"Rist","Euchlaena obtusaria"
132,1.44361750252053e-08,2.87361648035453e-07,"Rist","Euchlaena obtusaria"
133,1.36717901723763e-08,2.7304942249893e-07,"Rist","Euchlaena obtusaria"
134,1.29478787978046e-08,2.59452834408063e-07,"Rist","Euchlaena obtusaria"
135,1.22622978731177e-08,2.46535872662811e-07,"Rist","Euchlaena obtusaria"
136,1.16130178408837e-08,2.34264355118141e-07,"Rist","Euchlaena obtusaria"
137,1.0998116606459e-08,2.22605834526403e-07,"Rist","Euchlaena obtusaria"
138,1.04157738479556e-08,2.11529509392931e-07,"Rist","Euchlaena obtusaria"
139,9.86426562749228e-09,2.01006139483709e-07,"Rist","Euchlaena obtusaria"
140,9.34195928780511e-09,1.91007965738646e-07,"Rist","Euchlaena obtusaria"
141,8.84730862017081e-09,1.81508634384166e-07,"Rist","Euchlaena obtusaria"
142,8.37884928714336e-09,1.72483124967499e-07,"Rist","Euchlaena obtusaria"
143,7.93519448601137e-09,1.63907682089089e-07,"Rist","Euchlaena obtusaria"
144,7.51503084336366e-09,1.55759750718328e-07,"Rist","Euchlaena obtusaria"
145,7.11711452713088e-09,1.48017914867498e-07,"Rist","Euchlaena obtusaria"
146,6.7402675644903e-09,1.40661839444084e-07,"Rist","Euchlaena obtusaria"
147,6.38337435472751e-09,1.33672215113725e-07,"Rist","Euchlaena obtusaria"
148,6.0453783667357e-09,1.27030706015296e-07,"Rist","Euchlaena obtusaria"
149,5.72527901137621e-09,1.20719900178059e-07,"Rist","Euchlaena obtusaria"
150,5.42212867944024e-09,1.147232624988e-07,"Rist","Euchlaena obtusaria"
151,5.13502993644617e-09,1.09025090144634e-07,"Rist","Euchlaena obtusaria"
152,4.86313286596562e-09,1.03610470254181e-07,"Rist","Euchlaena obtusaria"
153,4.60563255361557e-09,9.84652398167257e-08,"Rist","Euchlaena obtusaria"
154,4.36176670426865e-09,9.35759476153897e-08,"Rist","Euchlaena obtusaria"
155,4.13081338542784e-09,8.89298181263904e-08,"Rist","Euchlaena obtusaria"
156,3.91208889008468e-09,8.45147172722155e-08,"Rist","Euchlaena obtusaria"
157,3.70494571273526e-09,8.03191199319999e-08,"Rist","Euchlaena obtusaria"
158,3.50877063256344e-09,7.63320791175413e-08,"Rist","Euchlaena obtusaria"
159,3.32298289811454e-09,7.25431967281827e-08,"Rist","Euchlaena obtusaria"
160,3.1470325080892e-09,6.89425958025063e-08,"Rist","Euchlaena obtusaria"
161,2.9803985831644e-09,6.55208941889921e-08,"Rist","Euchlaena obtusaria"
162,2.82258782402502e-09,6.22691795620497e-08,"Rist","Euchlaena obtusaria"
163,2.67313305103952e-09,5.91789857136174e-08,"Rist","Euchlaena obtusaria"
164,2.53159182125725e-09,5.62422700542593e-08,"Rist","Euchlaena obtusaria"
165,2.39754511863377e-09,5.34513922611688e-08,"Rist","Euchlaena obtusaria"
166,2.27059611360629e-09,5.07990940137675e-08,"Rist","Euchlaena obtusaria"
167,2.15036898834771e-09,4.82784797607277e-08,"Rist","Euchlaena obtusaria"
168,2.03650782422191e-09,4.58829984651961e-08,"Rist","Euchlaena obtusaria"
169,1.92867554814571e-09,4.36064262777576e-08,"Rist","Euchlaena obtusaria"
170,1.82655293474021e-09,4.14428500893956e-08,"Rist","Euchlaena obtusaria"
171,1.7298376613162e-09,3.93866519191251e-08,"Rist","Euchlaena obtusaria"
172,1.63824341289673e-09,3.7432494093402e-08,"Rist","Euchlaena obtusaria"
173,1.55149903462742e-09,3.55753051766303e-08,"Rist","Euchlaena obtusaria"
174,1.46934772906557e-09,3.38102666142267e-08,"Rist","Euchlaena obtusaria"
175,1.39154629597116e-09,3.21328000516864e-08,"Rist","Euchlaena obtusaria"
176,1.31786441235059e-09,3.05385552950454e-08,"Rist","Euchlaena obtusaria"
177,1.24808395062029e-09,2.90233988798718e-08,"Rist","Euchlaena obtusaria"
178,1.18199833287311e-09,2.75834032176912e-08,"Rist","Euchlaena obtusaria"
179,1.11941191933522e-09,2.62148362903222e-08,"Rist","Euchlaena obtusaria"
180,1.06013942920353e-09,2.4914151864152e-08,"Rist","Euchlaena obtusaria"
181,1.00400539214883e-09,2.36779801978204e-08,"Rist","Euchlaena obtusaria"
182,9.50843628861242e-10,2.25031192181624e-08,"Rist","Euchlaena obtusaria"
183,9.00496759099967e-10,2.1386526140553e-08,"Rist","Euchlaena obtusaria"
184,8.5281573579134e-10,2.0325309511042e-08,"Rist","Euchlaena obtusaria"
185,8.07659403795754e-10,1.93167216488207e-08,"Rist","Euchlaena obtusaria"
186,7.6489408203723e-10,1.8358151468675e-08,"Rist","Euchlaena obtusaria"
187,7.24393167758707e-10,1.74471176641294e-08,"Rist","Euchlaena obtusaria"
188,6.8603676173181e-10,1.65812622329857e-08,"Rist","Euchlaena obtusaria"
189,6.49711313310926e-10,1.57583443278764e-08,"Rist","Euchlaena obtusaria"
190,6.15309284281498e-10,1.49762344153802e-08,"Rist","Euchlaena obtusaria"
191,5.8272883050712e-10,1.42329087280662e-08,"Rist","Euchlaena obtusaria"
192,5.51873500432988e-10,1.35264439946434e-08,"Rist","Euchlaena obtusaria"
193,5.22651949553313e-10,1.28550124341543e-08,"Rist","Euchlaena obtusaria"
194,4.94977669997357e-10,1.22168770008678e-08,"Rist","Euchlaena obtusaria"
195,4.68768734433584e-10,1.161038686721e-08,"Rist","Euchlaena obtusaria"
196,4.43947553533829e-10,1.10339731327186e-08,"Rist","Euchlaena obtusaria"
197,4.2044064627944e-10,1.04861447476204e-08,"Rist","Euchlaena obtusaria"
198,3.98178422429551e-10,9.96548464021393e-09,"Rist","Euchlaena obtusaria"
199,3.77094976507347e-10,9.47064603778788e-09,"Rist","Euchlaena obtusaria"
200,3.57127892694576e-10,9.00034897133165e-09,"Rist","Euchlaena obtusaria"
201,3.3821806005676e-10,8.55337695479176e-09,"Rist","Euchlaena obtusaria"
202,3.20309497552006e-10,8.1285738300932e-09,"Rist","Euchlaena obtusaria"
203,3.03349188305372e-10,7.72484076959277e-09,"Rist","Euchlaena obtusaria"
204,2.87286922658375e-10,7.34113342806098e-09,"Rist","Euchlaena obtusaria"
205,2.72075149528778e-10,6.97645923667838e-09,"Rist","Euchlaena obtusaria"
206,2.57668835640805e-10,6.6298748319243e-09,"Rist","Euchlaena obtusaria"
207,2.44025332208941e-10,6.30048361258883e-09,"Rist","Euchlaena obtusaria"
208,2.31104248680745e-10,5.98743341848697e-09,"Rist","Euchlaena obtusaria"
209,2.18867333164832e-10,5.68991432477499e-09,"Rist","Euchlaena obtusaria"
210,2.07278359190144e-10,5.40715654608127e-09,"Rist","Euchlaena obtusaria"
211,1.96303018461173e-10,5.13842844495115e-09,"Rist","Euchlaena obtusaria"
212,1.85908819291719e-10,4.88303463938829e-09,"Rist","Euchlaena obtusaria"
213,1.76064990416538e-10,4.64031420453628e-09,"Rist","Euchlaena obtusaria"
214,1.66742389896022e-10,4.40963896379113e-09,"Rist","Euchlaena obtusaria"
215,1.5791341884434e-10,4.19041186487865e-09,"Rist","Euchlaena obtusaria"
216,1.49551939725627e-10,3.98206543665114e-09,"Rist","Euchlaena obtusaria"
217,1.41633198976277e-10,3.78406032257167e-09,"Rist","Euchlaena obtusaria"
218,1.34133753724365e-10,3.59588388706013e-09,"Rist","Euchlaena obtusaria"
219,1.27031402389227e-10,3.41704889106454e-09,"Rist","Euchlaena obtusaria"
220,1.20305118955714e-10,3.24709223340474e-09,"Rist","Euchlaena obtusaria"
221,1.1393499072859e-10,3.08557375460931e-09,"Rist","Euchlaena obtusaria"
222,1.07902159382808e-10,2.93207510013173e-09,"Rist","Euchlaena obtusaria"
223,1.02188765135113e-10,2.78619863998608e-09,"Rist","Euchlaena obtusaria"
224,9.67778938717325e-11,2.6475664419928e-09,"Rist","Euchlaena obtusaria"
225,9.16535270755871e-11,2.51581929596439e-09,"Rist","Euchlaena obtusaria"
226,8.68004944005081e-11,2.39061578616888e-09,"Rist","Euchlaena obtusaria"
227,8.2204428756775e-11,2.27163140979761e-09,"Rist","Euchlaena obtusaria"
228,7.78517237885178e-11,2.15855773954946e-09,"Rist","Euchlaena obtusaria"
229,7.37294935943326e-11,2.0511016274936e-09,"Rist","Euchlaena obtusaria"
230,6.98255345792906e-11,1.94898444835979e-09,"Rist","Euchlaena obtusaria"
231,6.61282893268964e-11,1.85194138033759e-09,"Rist","Euchlaena obtusaria"
232,6.26268123840107e-11,1.75972072151989e-09,"Rist","Euchlaena obtusaria"
233,5.93107378574546e-11,1.67208324022004e-09,"Rist","Euchlaena obtusaria"
234,5.61702487263918e-11,1.58880155748084e-09,"Rist","Euchlaena obtusaria"
235,5.31960477795974e-11,1.5096595601757e-09,"Rist","Euchlaena obtusaria"
236,5.03793300916043e-11,1.43445184318396e-09,"Rist","Euchlaena obtusaria"
237,4.77117569562402e-11,1.36298317919725e-09,"Rist","Euchlaena obtusaria"
238,4.5185431200372e-11,1.29506801478526e-09,"Rist","Euchlaena obtusaria"
239,4.27928738047966e-11,1.23052999141856e-09,"Rist","Euchlaena obtusaria"
240,4.05270017630398e-11,1.16920149021003e-09,"Rist","Euchlaena obtusaria"
241,3.83811071125443e-11,1.11092319919908e-09,"Rist","Euchlaena obtusaria"
242,3.63488370761431e-11,1.05554370206031e-09,"Rist","Euchlaena obtusaria"
243,3.44241752550485e-11,1.00291908717491e-09,"Rist","Euchlaena obtusaria"
244,3.26014238176596e-11,9.52912576054887e-10,"Rist","Euchlaena obtusaria"
245,3.08751866314871e-11,9.05394170161761e-10,"Rist","Euchlaena obtusaria"
246,2.92403532882235e-11,8.60240315207182e-10,"Rist","Euchlaena obtusaria"
247,2.76920839746938e-11,8.17333582070155e-10,"Rist","Euchlaena obtusaria"
248,2.62257951448881e-11,7.76562363507366e-10,"Rist","Euchlaena obtusaria"
249,2.48371459506528e-11,7.37820585874146e-10,"Rist","Euchlaena obtusaria"
250,2.35220253908827e-11,7.01007435113034e-10,"Rist","Euchlaena obtusaria"
251,2.22765401411524e-11,6.66027096302921e-10,"Rist","Euchlaena obtusaria"
252,2.10970030277767e-11,6.32788506097811e-10,"Rist","Euchlaena obtusaria"
253,1.99799221121624e-11,6.01205117416654e-10,"Rist","Euchlaena obtusaria"
254,1.8921990353143e-11,5.71194675777885e-10,"Rist","Euchlaena obtusaria"
255,1.7920075816692e-11,5.42679006702291e-10,"Rist","Euchlaena obtusaria"
256,1.69712124040333e-11,5.15583813636437e-10,"Rist","Euchlaena obtusaria"
257,1.60725910706901e-11,4.89838485875624e-10,"Rist","Euchlaena obtusaria"
258,1.52215515104926e-11,4.6537591599209e-10,"Rist","Euchlaena obtusaria"
259,1.44155742799083e-11,4.42132326297486e-10,"Rist","Euchlaena obtusaria"
260,1.36522733393934e-11,4.20047103893104e-10,"Rist","Euchlaena obtusaria"
261,1.29293889896755e-11,3.99062643882643e-10,"Rist","Euchlaena obtusaria"
262,1.22447811820611e-11,3.79124200343826e-10,"Rist","Euchlaena obtusaria"
263,1.15964231829598e-11,3.60179744674967e-10,"Rist","Euchlaena obtusaria"
264,1.09823955738712e-11,3.42179830951649e-10,"Rist","Euchlaena obtusaria"
265,1.04008805690734e-11,3.25077467946811e-10,"Rist","Euchlaena obtusaria"
266,9.85015663418533e-12,3.08827997484468e-10,"Rist","Euchlaena obtusaria"
267,9.32859338967861e-12,2.93388978814014e-10,"Rist","Euchlaena obtusaria"
268,8.83464678424704e-12,2.7872007870714e-10,"Rist","Euchlaena obtusaria"
269,8.36685452374363e-12,2.64782966994344e-10,"Rist","Euchlaena obtusaria"
270,7.92383174215647e-12,2.51541217272074e-10,"Rist","Euchlaena obtusaria"
271,7.50426690180502e-12,2.3896021252469e-10,"Rist","Euchlaena obtusaria"
272,7.10691791062002e-12,2.27007055418188e-10,"Rist","Euchlaena obtusaria"
273,6.73060844501379e-12,2.1565048303467e-10,"Rist","Euchlaena obtusaria"
274,6.37422446745141e-12,2.04860785827814e-10,"Rist","Euchlaena obtusaria"
275,6.03671092841988e-12,1.94609730590796e-10,"Rist","Euchlaena obtusaria"
276,5.71706864302353e-12,1.8487048723796e-10,"Rist","Euchlaena obtusaria"
277,5.41435133296513e-12,1.75617559211808e-10,"Rist","Euchlaena obtusaria"
