"doy","fit","se","Site","validName"
69,3.16003233869378e-09,4.13652038363869e-08,"Rist","Euclea delphinii"
70,4.10904790291818e-09,5.29228092140543e-08,"Rist","Euclea delphinii"
71,5.34278286430686e-09,6.76888172174989e-08,"Rist","Euclea delphinii"
72,6.9461975495341e-09,8.65430661170071e-08,"Rist","Euclea delphinii"
73,9.02935369462325e-09,1.10602235630268e-07,"Rist","Euclea delphinii"
74,1.17347210992877e-08,1.41281965499268e-07,"Rist","Euclea delphinii"
75,1.52465679495105e-08,1.80374700848899e-07,"Rist","Euclea delphinii"
76,1.98030130131463e-08,2.30147059492829e-07,"Rist","Euclea delphinii"
77,2.57114726954748e-08,2.93461373114626e-07,"Rist","Euclea delphinii"
78,3.33684302252262e-08,3.73927086332289e-07,"Rist","Euclea delphinii"
79,4.32846974693929e-08,4.76088935530116e-07,"Rist","Euclea delphinii"
80,5.61176435422369e-08,6.05660307194658e-07,"Rist","Euclea delphinii"
81,7.27122424093782e-08,7.69811931161704e-07,"Rist","Euclea delphinii"
82,9.41532608871561e-08,9.77528138927139e-07,"Rist","Euclea delphinii"
83,1.21831488945483e-07,1.24004535516274e-06,"Rist","Euclea delphinii"
84,1.57527630064639e-07,1.57139033802913e-06,"Rist","Euclea delphinii"
85,2.03518349050994e-07,1.98903898776816e-06,"Rist","Euclea delphinii"
86,2.62710051715396e-07,2.51472034927477e-06,"Rist","Euclea delphinii"
87,3.38807284356785e-07,3.17539478519167e-06,"Rist","Euclea delphinii"
88,4.36524236523646e-07,4.00444022695727e-06,"Rist","Euclea delphinii"
89,5.61849760285554e-07,5.04308594653277e-06,"Rist","Euclea delphinii"
90,7.22378642679669e-07,6.34213943935253e-06,"Rist","Euclea delphinii"
91,9.27724651984841e-07,7.96405875498842e-06,"Rist","Euclea delphinii"
92,1.19003419729581e-06,9.98542991178832e-06,"Rist","Euclea delphinii"
93,1.52462337575895e-06,1.24999168026322e-05,"Rist","Euclea delphinii"
94,1.95076582002056e-06,1.56217591103638e-05,"Rist","Euclea delphinii"
95,2.49266419148688e-06,1.94899020146964e-05,"Rist","Euclea delphinii"
96,3.18064448622081e-06,2.42728496300483e-05,"Rist","Euclea delphinii"
97,4.05261962109719e-06,3.01743418293376e-05,"Rist","Euclea delphinii"
98,5.15587713259786e-06,3.74399609572801e-05,"Rist","Euclea delphinii"
99,6.54925532003087e-06,4.63647803974547e-05,"Rist","Euclea delphinii"
100,8.30578284730493e-06,5.73021704099115e-05,"Rist","Euclea delphinii"
101,1.05158686977374e-05,7.06738773813994e-05,"Rist","Euclea delphinii"
102,1.32911424231793e-05,8.69814898188009e-05,"Rist","Euclea delphinii"
103,1.67690587478279e-05,0.000106819397184739,"Rist","Euclea delphinii"
104,2.11183956028445e-05,0.000130889335093538,"Rist","Euclea delphinii"
105,2.65457903015958e-05,0.000160016591522104,"Rist","Euclea delphinii"
106,3.33034744110195e-05,0.000195167922661584,"Rist","Euclea delphinii"
107,4.16983833726851e-05,0.000237471193083131,"Rist","Euclea delphinii"
108,5.21028313366108e-05,0.000288236712467638,"Rist","Euclea delphinii"
109,6.49669540414977e-05,0.000348980190022154,"Rist","Euclea delphinii"
110,8.08331317204096e-05,0.000421447168070199,"Rist","Euclea delphinii"
111,0.000100352608485539,0.000507638728901066,"Rist","Euclea delphinii"
112,0.000124304522727766,0.00060983819519518,"Rist","Euclea delphinii"
113,0.000153617552750562,0.000730638466362672,"Rist","Euclea delphinii"
114,0.00018939436085966,0.000872969553903778,"Rist","Euclea delphinii"
115,0.000232938984911221,0.00104012580219204,"Rist","Euclea delphinii"
116,0.000285787276134961,0.00123579221138036,"Rist","Euclea delphinii"
117,0.000349740413012649,0.00146406922143268,"Rist","Euclea delphinii"
118,0.000426901430196045,0.00172949527574901,"Rist","Euclea delphinii"
119,0.000519714586095962,0.00203706646427814,"Rist","Euclea delphinii"
120,0.000631007250369519,0.00239225255313574,"Rist","Euclea delphinii"
121,0.00076403382110584,0.00280100874234042,"Rist","Euclea delphinii"
122,0.000922520979887847,0.00326978255411471,"Rist","Euclea delphinii"
123,0.0011107133610207,0.00380551533587647,"Rist","Euclea delphinii"
124,0.00133341845044347,0.00441563795389501,"Rist","Euclea delphinii"
125,0.00159604924336497,0.00510806033870567,"Rist","Euclea delphinii"
126,0.00190466288284511,0.00589115459816513,"Rist","Euclea delphinii"
127,0.00226599318225714,0.00677373140842386,"Rist","Euclea delphinii"
128,0.00268747461350629,0.00776500929195272,"Rist","Euclea delphinii"
129,0.00317725503377542,0.00887457615771453,"Rist","Euclea delphinii"
130,0.00374419414327569,0.0101123420766821,"Rist","Euclea delphinii"
131,0.00439784443492452,0.0114884816702929,"Rist","Euclea delphinii"
132,0.00514841123677125,0.0130133636917362,"Rist","Euclea delphinii"
133,0.00600668838434453,0.0146974643991109,"Rist","Euclea delphinii"
