"doy","fit","se","Site","validName"
69,0.00496718154006919,0.0141873259431479,"Rist","Glenoides texanaria"
70,0.0050923900406791,0.0143993673540326,"Rist","Glenoides texanaria"
71,0.00522074689689583,0.0146137393433475,"Rist","Glenoides texanaria"
72,0.00535232308635465,0.0148304586208051,"Rist","Glenoides texanaria"
73,0.00548719075698069,0.0150495432728687,"Rist","Glenoides texanaria"
74,0.00562542322586548,0.0152710128786589,"Rist","Glenoides texanaria"
75,0.00576709497698948,0.0154948886283647,"Rist","Glenoides texanaria"
76,0.00591228165773473,0.0157211934437355,"Rist","Glenoides texanaria"
77,0.00606106007413117,0.0159499521001763,"Rist","Glenoides texanaria"
78,0.00621350818477847,0.0161811913499093,"Rist","Glenoides texanaria"
79,0.00636970509338434,0.0164149400455995,"Rist","Glenoides texanaria"
80,0.00652973103985876,0.0166512292637811,"Rist","Glenoides texanaria"
81,0.00669366738990301,0.0168900924273511,"Rist","Glenoides texanaria"
82,0.00686159662303036,0.017131565426327,"Rist","Glenoides texanaria"
83,0.00703360231895544,0.0173756867359965,"Rist","Glenoides texanaria"
84,0.00720976914228706,0.0176224975315107,"Rist","Glenoides texanaria"
85,0.00739018282545935,0.0178720417979028,"Rist","Glenoides texanaria"
86,0.00757493014983439,0.0181243664344364,"Rist","Glenoides texanaria"
87,0.00776409892490938,0.0183795213521187,"Rist","Glenoides texanaria"
88,0.00795777796556004,0.018637559563138,"Rist","Glenoides texanaria"
89,0.00815605706725151,0.018898537260917,"Rist","Glenoides texanaria"
90,0.00835902697914773,0.0191625138894069,"Rist","Glenoides texanaria"
91,0.00856677937504906,0.0194295522001832,"Rist","Glenoides texanaria"
92,0.0087794068220882,0.0196997182958468,"Rist","Glenoides texanaria"
93,0.00899700274711368,0.0199730816581849,"Rist","Glenoides texanaria"
94,0.00921966140069023,0.0202497151594995,"Rist","Glenoides texanaria"
95,0.00944747781864511,0.0205296950554797,"Rist","Glenoides texanaria"
96,0.00968054778108949,0.0208131009579679,"Rist","Glenoides texanaria"
97,0.0099189677688444,0.0211000157859611,"Rist","Glenoides texanaria"
98,0.0101628349172005,0.0213905256931848,"Rist","Glenoides texanaria"
99,0.010412246966942,0.0216847199705997,"Rist","Glenoides texanaria"
100,0.0106673022125649,0.0219826909222267,"Rist","Glenoides texanaria"
101,0.0109280994476213,0.0222845337127333,"Rist","Glenoides texanaria"
102,0.0111947379071213,0.0225903461852868,"Rist","Glenoides texanaria"
103,0.011467317206927,0.0229002286482753,"Rist","Glenoides texanaria"
104,0.0117459372800709,0.0232142836296044,"Rist","Glenoides texanaria"
105,0.0120306983099367,0.0235326155974143,"Rist","Glenoides texanaria"
106,0.0123217006602389,0.0238553306462169,"Rist","Glenoides texanaria"
107,0.0126190448017403,0.024182536147635,"Rist","Glenoides texanaria"
108,0.0129228312356495,0.0245143403651307,"Rist","Glenoides texanaria"
109,0.0132331604136408,0.0248508520323416,"Rist","Glenoides texanaria"
110,0.0135501326544436,0.0251921798948943,"Rist","Glenoides texanaria"
111,0.0138738480569487,0.0255384322158497,"Rist","Glenoides texanaria"
112,0.0142044064097842,0.0258897162452307,"Rist","Glenoides texanaria"
113,0.0145419070973145,0.0262461376544127,"Rist","Glenoides texanaria"
114,0.0148864490020213,0.0266077999365004,"Rist","Glenoides texanaria"
115,0.0152381304032276,0.0269748037741846,"Rist","Glenoides texanaria"
116,0.0155970488721312,0.027347246376953,"Rist","Glenoides texanaria"
117,0.015963301163116,0.0277252207899362,"Rist","Glenoides texanaria"
118,0.0163369831013172,0.0281088151770814,"Rist","Glenoides texanaria"
119,0.0167181894664172,0.0284981120817789,"Rist","Glenoides texanaria"
120,0.0171070138726579,0.0288931876685047,"Rist","Glenoides texanaria"
121,0.0175035486450579,0.0292941109494912,"Rist","Glenoides texanaria"
122,0.0179078846918285,0.0297009430008936,"Rist","Glenoides texanaria"
123,0.0183201113729915,0.0301137361733784,"Rist","Glenoides texanaria"
124,0.0187403163652026,0.0305325333025264,"Rist","Glenoides texanaria"
125,0.0191685855227963,0.0309573669249073,"Rist","Glenoides texanaria"
126,0.0196050027350709,0.0313882585061509,"Rist","Glenoides texanaria"
127,0.0200496497798411,0.0318252176878101,"Rist","Glenoides texanaria"
128,0.0205026061732929,0.0322682415602803,"Rist","Glenoides texanaria"
129,0.0209639490161826,0.0327173139695153,"Rist","Glenoides texanaria"
130,0.0214337528364308,0.0331724048657531,"Rist","Glenoides texanaria"
131,0.0219120894281684,0.0336334697029483,"Rist","Glenoides texanaria"
132,0.0223990276873033,0.0341004488980993,"Rist","Glenoides texanaria"
133,0.022894633443683,0.034573267360154,"Rist","Glenoides texanaria"
134,0.0233989692899373,0.0350518340986967,"Rist","Glenoides texanaria"
135,0.023912094407097,0.0355360419231473,"Rist","Glenoides texanaria"
136,0.0244340643870919,0.0360257672437609,"Rist","Glenoides texanaria"
137,0.0249649310522424,0.0365208699862964,"Rist","Glenoides texanaria"
138,0.0255047422718694,0.037021193632835,"Rist","Glenoides texanaria"
139,0.0260535417761569,0.0375265654018802,"Rist","Glenoides texanaria"
140,0.026611368760583,0.0380367973466844,"Rist","Glenoides texanaria"
141,0.0271782496721127,0.0385517175922337,"Rist","Glenoides texanaria"
142,0.0277541946372355,0.0390711887522305,"Rist","Glenoides texanaria"
143,0.0283392064698346,0.0395950769564839,"Rist","Glenoides texanaria"
144,0.0289332810908103,0.0401232498924469,"Rist","Glenoides texanaria"
145,0.0295364072625785,0.0406555772809389,"Rist","Glenoides texanaria"
146,0.0301485663222461,0.0411919313395508,"Rist","Glenoides texanaria"
147,0.030769731913866,0.0417321872301237,"Rist","Glenoides texanaria"
148,0.0313998697201951,0.0422762234865004,"Rist","Glenoides texanaria"
149,0.0320389371944017,0.0428239224185652,"Rist","Glenoides texanaria"
150,0.0326868832921892,0.0433751704884151,"Rist","Glenoides texanaria"
151,0.0333436482048273,0.04392985865435,"Rist","Glenoides texanaria"
152,0.0340091630936002,0.0444878826782334,"Rist","Glenoides texanaria"
153,0.0346833498262063,0.0450491433916572,"Rist","Glenoides texanaria"
154,0.0353661207156634,0.0456135469162624,"Rist","Glenoides texanaria"
155,0.0360573782622944,0.046181004833508,"Rist","Glenoides texanaria"
156,0.0367570148993914,0.0467514342991651,"Rist","Glenoides texanaria"
157,0.0374649127431737,0.0473247580978339,"Rist","Glenoides texanaria"
158,0.0381809433476763,0.0479009046328491,"Rist","Glenoides texanaria"
159,0.0389049674652255,0.0484798078470565,"Rist","Glenoides texanaria"
160,0.0396368348131748,0.0490614070701164,"Rist","Glenoides texanaria"
