"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.59696211111703e-11,"Rist","Lacosoma chiridota"
70,2.22044604925031e-16,4.90120480977335e-11,"Rist","Lacosoma chiridota"
71,2.22044604925031e-16,5.21800754647124e-11,"Rist","Lacosoma chiridota"
72,2.22044604925031e-16,5.54521804387286e-11,"Rist","Lacosoma chiridota"
73,2.22044604925031e-16,5.88109936870113e-11,"Rist","Lacosoma chiridota"
74,2.22044604925031e-16,6.22424795829718e-11,"Rist","Lacosoma chiridota"
75,2.22044604925031e-16,6.57352582253803e-11,"Rist","Lacosoma chiridota"
76,2.22044604925031e-16,6.92800599481297e-11,"Rist","Lacosoma chiridota"
77,2.22044604925031e-16,7.28692929978969e-11,"Rist","Lacosoma chiridota"
78,2.22044604925031e-16,7.64967034632785e-11,"Rist","Lacosoma chiridota"
79,2.22044604925031e-16,8.01571084971385e-11,"Rist","Lacosoma chiridota"
80,2.22044604925031e-16,8.3846186959416e-11,"Rist","Lacosoma chiridota"
81,2.22044604925031e-16,8.756031473095e-11,"Rist","Lacosoma chiridota"
82,2.22044604925031e-16,9.12964346898113e-11,"Rist","Lacosoma chiridota"
83,2.22044604925031e-16,9.50519535911628e-11,"Rist","Lacosoma chiridota"
84,2.22044604925031e-16,9.88246598732351e-11,"Rist","Lacosoma chiridota"
85,2.22044604925031e-16,1.02612657795043e-10,"Rist","Lacosoma chiridota"
86,2.22044604925031e-16,1.06414314373599e-10,"Rist","Lacosoma chiridota"
87,2.22044604925031e-16,1.10228216399348e-10,"Rist","Lacosoma chiridota"
88,2.22044604925031e-16,1.14053135426861e-10,"Rist","Lacosoma chiridota"
89,2.22044604925031e-16,1.17887999109123e-10,"Rist","Lacosoma chiridota"
90,2.22044604925031e-16,1.21731867603949e-10,"Rist","Lacosoma chiridota"
91,2.22044604925031e-16,1.25583914057e-10,"Rist","Lacosoma chiridota"
92,2.22044604925031e-16,1.29443408378121e-10,"Rist","Lacosoma chiridota"
93,2.22044604925031e-16,1.33309703691637e-10,"Rist","Lacosoma chiridota"
94,2.22044604925031e-16,1.37182224968462e-10,"Rist","Lacosoma chiridota"
95,2.22044604925031e-16,1.41060459446936e-10,"Rist","Lacosoma chiridota"
96,2.22044604925031e-16,1.44943948527016e-10,"Rist","Lacosoma chiridota"
97,2.22044604925031e-16,1.48832280883422e-10,"Rist","Lacosoma chiridota"
98,2.22044604925031e-16,1.52725086591757e-10,"Rist","Lacosoma chiridota"
99,2.22044604925031e-16,1.56622032099879e-10,"Rist","Lacosoma chiridota"
100,2.22044604925031e-16,1.60522815907488e-10,"Rist","Lacosoma chiridota"
101,2.22044604925031e-16,1.64427164841401e-10,"Rist","Lacosoma chiridota"
102,2.22044604925031e-16,1.68334830833762e-10,"Rist","Lacosoma chiridota"
103,2.22044604925031e-16,1.7224558812643e-10,"Rist","Lacosoma chiridota"
104,2.22044604925031e-16,1.76159230837745e-10,"Rist","Lacosoma chiridota"
105,2.22044604925031e-16,1.80075570838497e-10,"Rist","Lacosoma chiridota"
106,2.22044604925031e-16,1.83994435892538e-10,"Rist","Lacosoma chiridota"
107,2.22044604925031e-16,1.87915668024659e-10,"Rist","Lacosoma chiridota"
108,2.22044604925031e-16,1.9183912208419e-10,"Rist","Lacosoma chiridota"
109,2.22044604925031e-16,1.95764664477657e-10,"Rist","Lacosoma chiridota"
110,2.22044604925031e-16,1.99692172047892e-10,"Rist","Lacosoma chiridota"
111,2.22044604925031e-16,2.03621531080331e-10,"Rist","Lacosoma chiridota"
112,2.22044604925031e-16,2.07552636420087e-10,"Rist","Lacosoma chiridota"
113,2.22044604925031e-16,2.11485390685736e-10,"Rist","Lacosoma chiridota"
114,2.22044604925031e-16,2.15419703567723e-10,"Rist","Lacosoma chiridota"
115,2.22044604925031e-16,2.19355491201045e-10,"Rist","Lacosoma chiridota"
116,2.22044604925031e-16,2.23292675603198e-10,"Rist","Lacosoma chiridota"
117,2.22044604925031e-16,2.27231184169684e-10,"Rist","Lacosoma chiridota"
118,2.22044604925031e-16,2.31170949220304e-10,"Rist","Lacosoma chiridota"
119,2.22044604925031e-16,2.35111907590438e-10,"Rist","Lacosoma chiridota"
120,2.22044604925031e-16,2.3905400026218e-10,"Rist","Lacosoma chiridota"
121,2.22044604925031e-16,2.4299717203092e-10,"Rist","Lacosoma chiridota"
122,2.22044604925031e-16,2.46941371203443e-10,"Rist","Lacosoma chiridota"
123,2.22044604925031e-16,2.50886549324166e-10,"Rist","Lacosoma chiridota"
124,2.22044604925031e-16,2.5483266092649e-10,"Rist","Lacosoma chiridota"
125,2.22044604925031e-16,2.58779663306647e-10,"Rist","Lacosoma chiridota"
126,2.22044604925031e-16,2.62727516317698e-10,"Rist","Lacosoma chiridota"
127,2.22044604925031e-16,2.66676182181628e-10,"Rist","Lacosoma chiridota"
128,2.22044604925031e-16,2.70625625317725e-10,"Rist","Lacosoma chiridota"
129,2.22044604925031e-16,2.74575812185612e-10,"Rist","Lacosoma chiridota"
130,2.22044604925031e-16,2.78526711141509e-10,"Rist","Lacosoma chiridota"
131,2.22044604925031e-16,2.82478292306436e-10,"Rist","Lacosoma chiridota"
132,2.22044604925031e-16,2.86430527445231e-10,"Rist","Lacosoma chiridota"
133,2.22044604925031e-16,2.90383389855351e-10,"Rist","Lacosoma chiridota"
134,2.22044604925031e-16,2.94336854264555e-10,"Rist","Lacosoma chiridota"
135,2.22044604925031e-16,2.9829089673666e-10,"Rist","Lacosoma chiridota"
136,2.22044604925031e-16,3.02245494584628e-10,"Rist","Lacosoma chiridota"
137,2.22044604925031e-16,3.06200626290329e-10,"Rist","Lacosoma chiridota"
138,2.22044604925031e-16,3.10156271430405e-10,"Rist","Lacosoma chiridota"
139,2.22044604925031e-16,3.14112410607685e-10,"Rist","Lacosoma chiridota"
140,2.22044604925031e-16,3.1806902538768e-10,"Rist","Lacosoma chiridota"
141,2.22044604925031e-16,3.2202609823973e-10,"Rist","Lacosoma chiridota"
142,2.22044604925031e-16,3.25983612482404e-10,"Rist","Lacosoma chiridota"
143,2.22044604925031e-16,3.29941552232801e-10,"Rist","Lacosoma chiridota"
144,2.22044604925031e-16,3.33899902359435e-10,"Rist","Lacosoma chiridota"
145,2.22044604925031e-16,3.37858648438408e-10,"Rist","Lacosoma chiridota"
146,2.22044604925031e-16,3.41817776712614e-10,"Rist","Lacosoma chiridota"
147,2.22044604925031e-16,3.45777274053715e-10,"Rist","Lacosoma chiridota"
148,2.22044604925031e-16,3.49737127926705e-10,"Rist","Lacosoma chiridota"
149,2.22044604925031e-16,3.53697326356817e-10,"Rist","Lacosoma chiridota"
150,2.22044604925031e-16,3.57657857898634e-10,"Rist","Lacosoma chiridota"
151,2.22044604925031e-16,3.61618711607206e-10,"Rist","Lacosoma chiridota"
152,2.22044604925031e-16,3.65579877011044e-10,"Rist","Lacosoma chiridota"
153,2.22044604925031e-16,3.69541344086833e-10,"Rist","Lacosoma chiridota"
154,2.22044604925031e-16,3.73503103235748e-10,"Rist","Lacosoma chiridota"
155,2.22044604925031e-16,3.77465145261258e-10,"Rist","Lacosoma chiridota"
156,2.22044604925031e-16,3.81427461348302e-10,"Rist","Lacosoma chiridota"
157,2.22044604925031e-16,3.85390043043739e-10,"Rist","Lacosoma chiridota"
158,2.22044604925031e-16,3.89352882238e-10,"Rist","Lacosoma chiridota"
159,2.22044604925031e-16,3.93315971147828e-10,"Rist","Lacosoma chiridota"
160,2.22044604925031e-16,3.97279302300055e-10,"Rist","Lacosoma chiridota"
161,2.22044604925031e-16,4.01242868516333e-10,"Rist","Lacosoma chiridota"
162,2.22044604925031e-16,4.05206662898763e-10,"Rist","Lacosoma chiridota"
163,2.22044604925031e-16,4.0917067881634e-10,"Rist","Lacosoma chiridota"
164,2.22044604925031e-16,4.131349098922e-10,"Rist","Lacosoma chiridota"
165,2.22044604925031e-16,4.17099349991565e-10,"Rist","Lacosoma chiridota"
166,2.22044604925031e-16,4.21063993210383e-10,"Rist","Lacosoma chiridota"
167,2.22044604925031e-16,4.25028833864598e-10,"Rist","Lacosoma chiridota"
168,2.22044604925031e-16,4.28993866480004e-10,"Rist","Lacosoma chiridota"
169,2.22044604925031e-16,4.3295908578267e-10,"Rist","Lacosoma chiridota"
170,2.22044604925031e-16,4.3692448668987e-10,"Rist","Lacosoma chiridota"
171,2.22044604925031e-16,4.40890064301504e-10,"Rist","Lacosoma chiridota"
172,2.22044604925031e-16,4.44855813891985e-10,"Rist","Lacosoma chiridota"
173,2.22044604925031e-16,4.48821730902544e-10,"Rist","Lacosoma chiridota"
174,2.22044604925031e-16,4.52787810933938e-10,"Rist","Lacosoma chiridota"
175,2.22044604925031e-16,4.56754049739549e-10,"Rist","Lacosoma chiridota"
176,2.22044604925031e-16,4.60720443218821e-10,"Rist","Lacosoma chiridota"
177,2.22044604925031e-16,4.64686987411046e-10,"Rist","Lacosoma chiridota"
178,2.22044604925031e-16,4.68653678489456e-10,"Rist","Lacosoma chiridota"
179,2.22044604925031e-16,4.72620512755617e-10,"Rist","Lacosoma chiridota"
180,2.22044604925031e-16,4.76587486634095e-10,"Rist","Lacosoma chiridota"
181,2.22044604925031e-16,4.80554596667395e-10,"Rist","Lacosoma chiridota"
182,2.22044604925031e-16,4.84521839511141e-10,"Rist","Lacosoma chiridota"
183,2.22044604925031e-16,4.88489211929491e-10,"Rist","Lacosoma chiridota"
184,2.22044604925031e-16,4.92456710790775e-10,"Rist","Lacosoma chiridota"
185,2.22044604925031e-16,4.96424333063339e-10,"Rist","Lacosoma chiridota"
186,2.22044604925031e-16,5.00392075811589e-10,"Rist","Lacosoma chiridota"
187,2.22044604925031e-16,5.04359936192218e-10,"Rist","Lacosoma chiridota"
188,2.22044604925031e-16,5.08327911450615e-10,"Rist","Lacosoma chiridota"
189,2.22044604925031e-16,5.12295998917432e-10,"Rist","Lacosoma chiridota"
190,2.22044604925031e-16,5.16264196005312e-10,"Rist","Lacosoma chiridota"
191,2.22044604925031e-16,5.20232500205775e-10,"Rist","Lacosoma chiridota"
192,2.22044604925031e-16,5.2420090908623e-10,"Rist","Lacosoma chiridota"
193,2.22044604925031e-16,5.28169420287133e-10,"Rist","Lacosoma chiridota"
194,2.22044604925031e-16,5.32138031519268e-10,"Rist","Lacosoma chiridota"
195,2.22044604925031e-16,5.36106740561144e-10,"Rist","Lacosoma chiridota"
196,2.22044604925031e-16,5.40075545256518e-10,"Rist","Lacosoma chiridota"
197,2.22044604925031e-16,5.44044443512011e-10,"Rist","Lacosoma chiridota"
198,2.22044604925031e-16,5.48013433294843e-10,"Rist","Lacosoma chiridota"
199,2.22044604925031e-16,5.51982512630651e-10,"Rist","Lacosoma chiridota"
200,2.22044604925031e-16,5.55951679601411e-10,"Rist","Lacosoma chiridota"
201,2.22044604925031e-16,5.59920932343444e-10,"Rist","Lacosoma chiridota"
202,2.22044604925031e-16,5.63890269045504e-10,"Rist","Lacosoma chiridota"
203,2.22044604925031e-16,5.67859687946951e-10,"Rist","Lacosoma chiridota"
204,2.22044604925031e-16,5.71829187335995e-10,"Rist","Lacosoma chiridota"
205,2.22044604925031e-16,5.75798765548016e-10,"Rist","Lacosoma chiridota"
206,2.22044604925031e-16,5.79768420963949e-10,"Rist","Lacosoma chiridota"
207,2.22044604925031e-16,5.83738152008742e-10,"Rist","Lacosoma chiridota"
208,2.22044604925031e-16,5.87707957149867e-10,"Rist","Lacosoma chiridota"
209,2.22044604925031e-16,5.91677834895897e-10,"Rist","Lacosoma chiridota"
210,2.22044604925031e-16,5.95647783795139e-10,"Rist","Lacosoma chiridota"
211,2.22044604925031e-16,5.9961780243432e-10,"Rist","Lacosoma chiridota"
212,2.22044604925031e-16,6.03587889437325e-10,"Rist","Lacosoma chiridota"
213,2.22044604925031e-16,6.07558043463984e-10,"Rist","Lacosoma chiridota"
214,2.22044604925031e-16,6.11528263208906e-10,"Rist","Lacosoma chiridota"
215,2.22044604925031e-16,6.15498547400362e-10,"Rist","Lacosoma chiridota"
216,2.22044604925031e-16,6.19468894799206e-10,"Rist","Lacosoma chiridota"
217,2.22044604925031e-16,6.23439304197835e-10,"Rist","Lacosoma chiridota"
218,2.22044604925031e-16,6.27409774419199e-10,"Rist","Lacosoma chiridota"
219,2.22044604925031e-16,6.31380304315837e-10,"Rist","Lacosoma chiridota"
220,2.22044604925031e-16,6.35350892768952e-10,"Rist","Lacosoma chiridota"
221,2.22044604925031e-16,6.39321538687528e-10,"Rist","Lacosoma chiridota"
222,2.22044604925031e-16,6.43292241007468e-10,"Rist","Lacosoma chiridota"
223,2.22044604925031e-16,6.47262998690773e-10,"Rist","Lacosoma chiridota"
224,2.22044604925031e-16,6.51233810724742e-10,"Rist","Lacosoma chiridota"
225,2.22044604925031e-16,6.55204676121215e-10,"Rist","Lacosoma chiridota"
226,2.22044604925031e-16,6.59175593915825e-10,"Rist","Lacosoma chiridota"
227,2.22044604925031e-16,6.63146563167294e-10,"Rist","Lacosoma chiridota"
228,2.22044604925031e-16,6.67117582956742e-10,"Rist","Lacosoma chiridota"
229,2.22044604925031e-16,6.71088652387026e-10,"Rist","Lacosoma chiridota"
230,2.22044604925031e-16,6.75059770582103e-10,"Rist","Lacosoma chiridota"
231,2.22044604925031e-16,6.79030936686413e-10,"Rist","Lacosoma chiridota"
232,2.22044604925031e-16,6.83002149864282e-10,"Rist","Lacosoma chiridota"
233,2.22044604925031e-16,6.8697340929935e-10,"Rist","Lacosoma chiridota"
234,2.22044604925031e-16,6.90944714194018e-10,"Rist","Lacosoma chiridota"
235,2.22044604925031e-16,6.94916063768907e-10,"Rist","Lacosoma chiridota"
236,2.22044604925031e-16,6.98887457262346e-10,"Rist","Lacosoma chiridota"
237,2.22044604925031e-16,7.02858893929871e-10,"Rist","Lacosoma chiridota"
238,2.22044604925031e-16,7.06830373043741e-10,"Rist","Lacosoma chiridota"
239,2.22044604925031e-16,7.10801893892472e-10,"Rist","Lacosoma chiridota"
240,2.22044604925031e-16,7.14773455780385e-10,"Rist","Lacosoma chiridota"
