"doy","fit","se","Site","validName"
69,5.14503941044306e-09,7.42010047388176e-08,"Rist","Megalopyge opercularis"
70,7.07982951395449e-09,1.00385403258357e-07,"Rist","Megalopyge opercularis"
71,9.74136295311234e-09,1.35759419996349e-07,"Rist","Megalopyge opercularis"
72,1.34011575409784e-08,1.83513711826752e-07,"Rist","Megalopyge opercularis"
73,1.84311907603005e-08,2.47928605398938e-07,"Rist","Megalopyge opercularis"
74,2.53405362024924e-08,3.34737735640889e-07,"Rist","Megalopyge opercularis"
75,3.48250992321205e-08,4.51609308861824e-07,"Rist","Megalopyge opercularis"
76,4.7835014754827e-08,6.08781482944212e-07,"Rist","Megalopyge opercularis"
77,6.56658061797924e-08,8.19899055392807e-07,"Rist","Megalopyge opercularis"
78,9.00814355323292e-08,1.10311224332683e-06,"Rist","Megalopyge opercularis"
79,1.23480050216644e-07,1.48251552056692e-06,"Rist","Megalopyge opercularis"
80,1.6911674401266e-07,1.99002607075396e-06,"Rist","Megalopyge opercularis"
81,2.31402242442395e-07,2.66782839185873e-06,"Rist","Megalopyge opercularis"
82,3.16302403863992e-07,3.5715450700201e-06,"Rist","Megalopyge opercularis"
83,4.31871184351033e-07,4.77433500811054e-06,"Rist","Megalopyge opercularis"
84,5.88959728542119e-07,6.37217087152739e-06,"Rist","Megalopyge opercularis"
85,8.02157115986262e-07,8.49060874607722e-06,"Rist","Megalopyge opercularis"
86,1.09103474326818e-06,1.12934366096988e-05,"Rist","Megalopyge opercularis"
87,1.48178724289482e-06,1.49936758166768e-05,"Rist","Megalopyge opercularis"
88,2.00938929563874e-06,1.98675128755593e-05,"Rist","Megalopyge opercularis"
89,2.7204209483912e-06,2.62718585800706e-05,"Rist","Megalopyge opercularis"
90,3.67675558624852e-06,3.46663687238303e-05,"Rist","Megalopyge opercularis"
91,4.9603562349581e-06,4.5640915081978e-05,"Rist","Megalopyge opercularis"
92,6.67948932476624e-06,5.99496657715711e-05,"Rist","Megalopyge opercularis"
93,8.97674257600004e-06,7.85531175398035e-05,"Rist","Megalopyge opercularis"
94,1.20393275858952e-05,0.000102669613776147,"Rist","Megalopyge opercularis"
95,1.61122604149719e-05,0.000133838073015895,"Rist","Megalopyge opercularis"
96,2.15151473750746e-05,0.000173993831691395,"Rist","Megalopyge opercularis"
97,2.86634604969492e-05,0.00022555965578867,"Rist","Megalopyge opercularis"
98,3.80953695467324e-05,0.000291554077600351,"Rist","Megalopyge opercularis"
99,5.05054059408384e-05,0.000375719238781285,"Rist","Megalopyge opercularis"
100,6.67864682530886e-05,0.000482670335874952,"Rist","Megalopyge opercularis"
101,8.80819372595245e-05,0.000618068529272776,"Rist","Megalopyge opercularis"
102,0.00011584994628275,0.000788818744796031,"Rist","Megalopyge opercularis"
103,0.000151942142480841,0.00100329311705965,"Rist","Megalopyge opercularis"
104,0.000198699565143874,0.00127157984041871,"Rist","Megalopyge opercularis"
105,0.0002590685414884,0.00160575585124722,"Rist","Megalopyge opercularis"
106,0.000336739736358746,0.0020201800133827,"Rist","Megalopyge opercularis"
107,0.00043631366017555,0.00253180127589049,"Rist","Megalopyge opercularis"
108,0.000563496002143157,0.00316047359605374,"Rist","Megalopyge opercularis"
109,0.000725326067488007,0.00392926627543706,"Rist","Megalopyge opercularis"
110,0.000930441304180455,0.00486475478637511,"Rist","Megalopyge opercularis"
