"doy","fit","se","Site","validName"
69,0.406938437828638,0.311451343169929,"Rist","Mocis marcida"
70,0.402987864340767,0.306783543705987,"Rist","Mocis marcida"
71,0.399075643148099,0.30218711534132,"Rist","Mocis marcida"
72,0.395201401906553,0.297661175697082,"Rist","Mocis marcida"
73,0.39136477188732,0.293204853029583,"Rist","Mocis marcida"
74,0.387565387941763,0.288817286081801,"Rist","Mocis marcida"
75,0.383802888466647,0.284497623935417,"Rist","Mocis marcida"
76,0.380076915369708,0.280245025863348,"Rist","Mocis marcida"
77,0.37638711403556,0.276058661182733,"Rist","Mocis marcida"
78,0.372733133291931,0.271937709108357,"Rist","Mocis marcida"
79,0.369114625376231,0.26788135860646,"Rist","Mocis marcida"
80,0.365531245902432,0.263888808248911,"Rist","Mocis marcida"
81,0.361982653828288,0.259959266067725,"Rist","Mocis marcida"
82,0.35846851142286,0.256091949409883,"Rist","Mocis marcida"
83,0.354988484234359,0.252286084792435,"Rist","Mocis marcida"
84,0.351542241058309,0.248540907757871,"Rist","Mocis marcida"
85,0.348129453906003,0.244855662729722,"Rist","Mocis marcida"
86,0.344749797973287,0.241229602868399,"Rist","Mocis marcida"
87,0.341402951609625,0.237661989927226,"Rist","Mocis marcida"
88,0.338088596287485,0.234152094108684,"Rist","Mocis marcida"
89,0.334806416572005,0.230699193920831,"Rist","Mocis marcida"
90,0.331556100090962,0.227302576033916,"Rist","Mocis marcida"
91,0.328337337505036,0.223961535137173,"Rist","Mocis marcida"
92,0.325149822478357,0.220675373795799,"Rist","Mocis marcida"
93,0.321993251649334,0.21744340230813,"Rist","Mocis marcida"
94,0.318867324601781,0.214264938563023,"Rist","Mocis marcida"
95,0.315771743836313,0.211139307897459,"Rist","Mocis marcida"
96,0.312706214742018,0.208065842954394,"Rist","Mocis marcida"
97,0.309670445568414,0.205043883540881,"Rist","Mocis marcida"
98,0.306664147397668,0.202072776486507,"Rist","Mocis marcida"
99,0.303687034117093,0.199151875502164,"Rist","Mocis marcida"
100,0.300738822391908,0.196280541039221,"Rist","Mocis marcida"
101,0.297819231638262,0.193458140149143,"Rist","Mocis marcida"
102,0.294927983996521,0.1906840463436,"Rist","Mocis marcida"
103,0.292064804304816,0.187957639455158,"Rist","Mocis marcida"
104,0.289229420072847,0.185278305498609,"Rist","Mocis marcida"
105,0.286421561455938,0.182645436533016,"Rist","Mocis marcida"
106,0.283640961229351,0.180058430524573,"Rist","Mocis marcida"
107,0.280887354762842,0.177516691210372,"Rist","Mocis marcida"
108,0.278160479995469,0.175019627963167,"Rist","Mocis marcida"
109,0.275460077410645,0.172566655657266,"Rist","Mocis marcida"
110,0.272785890011426,0.17015719453565,"Rist","Mocis marcida"
