"doy","fit","se","Site","validName"
69,6.22605320524668e-14,3.62226218931052e-12,"Rist","Omphalocera munroei"
70,8.78699901605627e-14,5.03496732597252e-12,"Rist","Omphalocera munroei"
71,1.24008835280845e-13,6.99678219983756e-12,"Rist","Omphalocera munroei"
72,1.74998078687944e-13,9.72003366035209e-12,"Rist","Omphalocera munroei"
73,2.46926007568513e-13,1.34985663183253e-11,"Rist","Omphalocera munroei"
74,3.48367467297362e-13,1.87387528724511e-11,"Rist","Omphalocera munroei"
75,4.91394001770796e-13,2.60021669020259e-11,"Rist","Omphalocera munroei"
76,6.9299151098251e-13,3.6064243412591e-11,"Rist","Omphalocera munroei"
77,9.77048411129214e-13,4.99948298004792e-11,"Rist","Omphalocera munroei"
78,1.37714178633754e-12,6.92686710456961e-11,"Rist","Omphalocera munroei"
79,1.94043873489028e-12,9.59167745225118e-11,"Rist","Omphalocera munroei"
80,2.73315474435288e-12,1.327335251377e-10,"Rist","Omphalocera munroei"
81,3.84818386060396e-12,1.83559722284442e-10,"Rist","Omphalocera munroei"
82,5.41575506233549e-12,2.53668855053443e-10,"Rist","Omphalocera munroei"
83,7.61830092234395e-12,3.50293544395587e-10,"Rist","Omphalocera munroei"
84,1.07111830484833e-11,4.83341986788175e-10,"Rist","Omphalocera munroei"
85,1.50515514998654e-11,6.66371526291248e-10,"Rist","Omphalocera munroei"
86,2.11384873758994e-11,9.17909602192611e-10,"Rist","Omphalocera munroei"
87,2.96687777939808e-11,1.26324316370738e-09,"Rist","Omphalocera munroei"
88,4.16143213529344e-11,1.73683869784151e-09,"Rist","Omphalocera munroei"
89,5.83294242203157e-11,2.38560953234524e-09,"Rist","Omphalocera munroei"
90,8.16993451079504e-11,3.27331928934874e-09,"Rist","Omphalocera munroei"
91,1.14345683468861e-10,4.48650578010656e-09,"Rist","Omphalocera munroei"
92,1.5990998713427e-10,6.14243537137337e-09,"Rist","Omphalocera munroei"
93,2.23444833239013e-10,8.39976310846952e-09,"Rist","Omphalocera munroei"
94,3.1195234944882e-10,1.14727904576905e-08,"Rist","Omphalocera munroei"
95,4.35124684110176e-10,1.56504955470274e-08,"Rist","Omphalocera munroei"
96,6.06360633440368e-10,2.13218795092232e-08,"Rist","Omphalocera munroei"
