"doy","fit","se","Site","validName"
69,0.463130478207325,0.401107086575593,"Rist","Pangrapta decoralis"
70,0.45134436148239,0.387311915740048,"Rist","Pangrapta decoralis"
71,0.439858187289966,0.374045013919779,"Rist","Pangrapta decoralis"
72,0.428664322413594,0.361288552005331,"Rist","Pangrapta decoralis"
73,0.417755327896002,0.349025226322743,"Rist","Pangrapta decoralis"
74,0.407123954095299,0.337238240364152,"Rist","Pangrapta decoralis"
75,0.396763135866967,0.325911287088541,"Rist","Pangrapta decoralis"
76,0.386665987868498,0.315028531797929,"Rist","Pangrapta decoralis"
77,0.376825799983503,0.304574595596114,"Rist","Pangrapta decoralis"
78,0.367236032862295,0.294534539438897,"Rist","Pangrapta decoralis"
79,0.357890313575957,0.284893848786153,"Rist","Pangrapta decoralis"
80,0.348782431381019,0.275638418867335,"Rist","Pangrapta decoralis"
81,0.33990633359191,0.266754540572805,"Rist","Pangrapta decoralis"
82,0.331256121558482,0.258228886983835,"Rist","Pangrapta decoralis"
83,0.322826046745879,0.250048500553949,"Rist","Pangrapta decoralis"
84,0.31461050691419,0.242200780953718,"Rist","Pangrapta decoralis"
85,0.306604042395324,0.234673473589812,"Rist","Pangrapta decoralis"
86,0.298801332464636,0.227454658807255,"Rist","Pangrapta decoralis"
87,0.291197191804901,0.220532741781276,"Rist","Pangrapta decoralis"
88,0.283786567060276,0.21389644310192,"Rist","Pangrapta decoralis"
89,0.276564533477961,0.207534790050729,"Rist","Pangrapta decoralis"
90,0.269526291635332,0.201437108564304,"Rist","Pangrapta decoralis"
91,0.26266716425037,0.195593015874544,"Rist","Pangrapta decoralis"
92,0.255982593073258,0.18999241380986,"Rist","Pangrapta decoralis"
93,0.249468135857095,0.184625482735837,"Rist","Pangrapta decoralis"
94,0.243119463405693,0.179482676107821,"Rist","Pangrapta decoralis"
95,0.236932356696521,0.174554715601766,"Rist","Pangrapta decoralis"
96,0.230902704076855,0.169832586783833,"Rist","Pangrapta decoralis"
97,0.225026498531297,0.16530753527349,"Rist","Pangrapta decoralis"
98,0.219299835018828,0.160971063349824,"Rist","Pangrapta decoralis"
99,0.213718907877638,0.156814926946184,"Rist","Pangrapta decoralis"
100,0.208280008295992,0.152831132974716,"Rist","Pangrapta decoralis"
101,0.202979521847478,0.149011936919563,"Rist","Pangrapta decoralis"
102,0.197813926088962,0.145349840635931,"Rist","Pangrapta decoralis"
103,0.192779788219695,0.141837590291694,"Rist","Pangrapta decoralis"
104,0.187873762799976,0.138468174388898,"Rist","Pangrapta decoralis"
105,0.183092589527892,0.135234821804417,"Rist","Pangrapta decoralis"
106,0.178433091072621,0.132130999791948,"Rist","Pangrapta decoralis"
107,0.173892170962894,0.129150411891608,"Rist","Pangrapta decoralis"
108,0.16946681152918,0.126286995698341,"Rist","Pangrapta decoralis"
109,0.165154071898253,0.123534920446086,"Rist","Pangrapta decoralis"
110,0.160951086038788,0.120888584371022,"Rist","Pangrapta decoralis"
111,0.156855060856701,0.118342611824005,"Rist","Pangrapta decoralis"
112,0.152863274338959,0.115891850109356,"Rist","Pangrapta decoralis"
113,0.148973073744631,0.113531366034243,"Rist","Pangrapta decoralis"
114,0.145181873841975,0.111256442159925,"Rist","Pangrapta decoralis"
115,0.141487155190389,0.109062572752782,"Rist","Pangrapta decoralis"
116,0.137886462466086,0.106945459439404,"Rist","Pangrapta decoralis"
117,0.134377402830382,0.104901006575681,"Rist","Pangrapta decoralis"
