"doy","fit","se","Site","validName"
69,0.170306070417988,0.185773231225025,"Rist","Phyprosopus callitrichoides"
70,0.168328813923354,0.182599342146895,"Rist","Phyprosopus callitrichoides"
71,0.166374513412995,0.179481908519842,"Rist","Phyprosopus callitrichoides"
72,0.164442902368822,0.17642008594621,"Rist","Phyprosopus callitrichoides"
73,0.162533717366983,0.173413041896892,"Rist","Phyprosopus callitrichoides"
74,0.160646698041936,0.170459955518633,"Rist","Phyprosopus callitrichoides"
75,0.158781587050941,0.167560017442929,"Rist","Phyprosopus callitrichoides"
76,0.156938130038975,0.164712429596479,"Rist","Phyprosopus callitrichoides"
77,0.155116075604034,0.161916405013178,"Rist","Phyprosopus callitrichoides"
78,0.153315175262859,0.15917116764761,"Rist","Phyprosopus callitrichoides"
79,0.151535183417045,0.156475952190031,"Rist","Phyprosopus callitrichoides"
80,0.149775857319548,0.153830003882818,"Rist","Phyprosopus callitrichoides"
81,0.148036957041589,0.151232578338374,"Rist","Phyprosopus callitrichoides"
82,0.146318245439924,0.148682941358469,"Rist","Phyprosopus callitrichoides"
83,0.144619488124515,0.146180368755013,"Rist","Phyprosopus callitrichoides"
84,0.142940453426557,0.143724146172269,"Rist","Phyprosopus callitrichoides"
85,0.141280912366893,0.141313568910486,"Rist","Phyprosopus callitrichoides"
86,0.139640638624784,0.138947941750969,"Rist","Phyprosopus callitrichoides"
87,0.138019408507046,0.136626578782604,"Rist","Phyprosopus callitrichoides"
88,0.136417000917544,0.134348803229834,"Rist","Phyprosopus callitrichoides"
89,0.134833197327043,0.132113947282118,"Rist","Phyprosopus callitrichoides"
90,0.133267781743407,0.129921351924903,"Rist","Phyprosopus callitrichoides"
91,0.131720540682142,0.127770366772124,"Rist","Phyprosopus callitrichoides"
92,0.130191263137285,0.125660349900286,"Rist","Phyprosopus callitrichoides"
93,0.128679740552627,0.123590667684161,"Rist","Phyprosopus callitrichoides"
94,0.127185766793272,0.121560694634144,"Rist","Phyprosopus callitrichoides"
95,0.125709138117531,0.119569813235342,"Rist","Phyprosopus callitrichoides"
96,0.124249653149131,0.117617413788432,"Rist","Phyprosopus callitrichoides"
97,0.122807112849756,0.115702894252376,"Rist","Phyprosopus callitrichoides"
98,0.121381320491904,0.113825660089053,"Rist","Phyprosopus callitrichoides"
99,0.11997208163206,0.111985124109893,"Rist","Phyprosopus callitrichoides"
100,0.118579204084177,0.110180706324606,"Rist","Phyprosopus callitrichoides"
101,0.11720249789347,0.108411833792083,"Rist","Phyprosopus callitrichoides"
102,0.11584177531051,0.10667794047358,"Rist","Phyprosopus callitrichoides"
103,0.114496850765621,0.104978467088287,"Rist","Phyprosopus callitrichoides"
104,0.113167540843571,0.103312860971384,"Rist","Phyprosopus callitrichoides"
105,0.111853664258567,0.101680575934714,"Rist","Phyprosopus callitrichoides"
106,0.110555041829522,0.100081072130173,"Rist","Phyprosopus callitrichoides"
107,0.109271496455629,0.0985138159159657,"Rist","Phyprosopus callitrichoides"
108,0.108002853092205,0.0969782797258324,"Rist","Phyprosopus callitrichoides"
109,0.106748938726819,0.0954739419413956,"Rist","Phyprosopus callitrichoides"
110,0.105509582355703,0.0940002867677541,"Rist","Phyprosopus callitrichoides"
111,0.104284614960427,0.0925568041124628,"Rist","Phyprosopus callitrichoides"
112,0.10307386948485,0.0911429894680392,"Rist","Phyprosopus callitrichoides"
113,0.101877180812342,0.0897583437981337,"Rist","Phyprosopus callitrichoides"
114,0.100694385743263,0.0884023734275031,"Rist","Phyprosopus callitrichoides"
115,0.0995253229727096,0.0870745899359281,"Rist","Phyprosopus callitrichoides"
116,0.098369833068515,0.0857745100562067,"Rist","Phyprosopus callitrichoides"
117,0.0972277584495094,0.0845016555763587,"Rist","Phyprosopus callitrichoides"
118,0.0960989433640288,0.0832555532461697,"Rist","Phyprosopus callitrichoides"
119,0.0949832338686756,0.0820357346881967,"Rist","Phyprosopus callitrichoides"
120,0.093880477807325,0.0808417363133524,"Rist","Phyprosopus callitrichoides"
121,0.0927905247903742,0.0796730992411753,"Rist","Phyprosopus callitrichoides"
122,0.0917132261742345,0.0785293692248893,"Rist","Phyprosopus callitrichoides"
123,0.0906484350410601,0.0774100965813374,"Rist","Phyprosopus callitrichoides"
124,0.0895960061787124,0.0763148361258715,"Rist","Phyprosopus callitrichoides"
125,0.0885557960609571,0.0752431471122629,"Rist","Phyprosopus callitrichoides"
126,0.0875276628278914,0.0741945931776859,"Rist","Phyprosopus callitrichoides"
127,0.0865114662665983,0.0731687422928126,"Rist","Phyprosopus callitrichoides"
128,0.0855070677920246,0.0721651667170398,"Rist","Phyprosopus callitrichoides"
129,0.0845143304280831,0.0711834429588563,"Rist","Phyprosopus callitrichoides"
130,0.0835331187889713,0.0702231517413349,"Rist","Phyprosopus callitrichoides"
131,0.0825632990607096,0.0692838779727231,"Rist","Phyprosopus callitrichoides"
132,0.0816047389828923,0.0683652107220806,"Rist","Phyprosopus callitrichoides"
133,0.0806573078306507,0.0674667431998979,"Rist","Phyprosopus callitrichoides"
134,0.0797208763968262,0.0665880727436071,"Rist","Phyprosopus callitrichoides"
135,0.0787953169743499,0.0657288008078791,"Rist","Phyprosopus callitrichoides"
136,0.0778805033388263,0.0648885329595777,"Rist","Phyprosopus callitrichoides"
137,0.0769763107313204,0.0640668788772269,"Rist","Phyprosopus callitrichoides"
138,0.0760826158413433,0.0632634523548222,"Rist","Phyprosopus callitrichoides"
139,0.0751992967900368,0.0624778713098031,"Rist","Phyprosopus callitrichoides"
140,0.0743262331135302,0.0617097577949879,"Rist","Phyprosopus callitrichoides"
141,0.0734633057457115,0.060958738014524,"Rist","Phyprosopus callitrichoides"
142,0.0726103970017946,0.0602244423431169,"Rist","Phyprosopus callitrichoides"
143,0.0717673905633059,0.0595065053480446,"Rist","Phyprosopus callitrichoides"
144,0.0709341714622923,0.0588045658144835,"Rist","Phyprosopus callitrichoides"
145,0.0701106260656403,0.0581182667735565,"Rist","Phyprosopus callitrichoides"
146,0.069296642059577,0.0574472555327855,"Rist","Phyprosopus callitrichoides"
147,0.0684921084343519,0.056791183708645,"Rist","Phyprosopus callitrichoides"
148,0.0676969154690953,0.0561497072609082,"Rist","Phyprosopus callitrichoides"
149,0.0669109547168532,0.055522486528466,"Rist","Phyprosopus callitrichoides"
150,0.0661341189897963,0.054909186266301,"Rist","Phyprosopus callitrichoides"
151,0.0653663023446,0.0543094756832899,"Rist","Phyprosopus callitrichoides"
152,0.0646074000679949,0.0537230284805122,"Rist","Phyprosopus callitrichoides"
153,0.063857308662484,0.0531495228897391,"Rist","Phyprosopus callitrichoides"
154,0.0631159258322275,0.0525886417117866,"Rist","Phyprosopus callitrichoides"
155,0.0623831504690892,0.0520400723544136,"Rist","Phyprosopus callitrichoides"
156,0.0616588826388474,0.0515035068694612,"Rist","Phyprosopus callitrichoides"
157,0.0609430235675637,0.0509786419889303,"Rist","Phyprosopus callitrichoides"
158,0.0602354756281118,0.0504651791597113,"Rist","Phyprosopus callitrichoides"
159,0.0595361423268612,0.049962824576687,"Rist","Phyprosopus callitrichoides"
160,0.0588449282905172,0.0494712892139466,"Rist","Phyprosopus callitrichoides"
161,0.0581617392531122,0.0489902888538604,"Rist","Phyprosopus callitrichoides"
162,0.0574864820431485,0.0485195441137829,"Rist","Phyprosopus callitrichoides"
163,0.0568190645708912,0.0480587804701686,"Rist","Phyprosopus callitrichoides"
164,0.0561593958158078,0.0476077282799008,"Rist","Phyprosopus callitrichoides"
165,0.0555073858141531,0.047166122798654,"Rist","Phyprosopus callitrichoides"
166,0.0548629456467002,0.0467337041961302,"Rist","Phyprosopus callitrichoides"
167,0.0542259874266117,0.0463102175680261,"Rist","Phyprosopus callitrichoides"
168,0.0535964242874536,0.0458954129446102,"Rist","Phyprosopus callitrichoides"
169,0.0529741703713471,0.0454890452958092,"Rist","Phyprosopus callitrichoides"
170,0.0523591408172581,0.045090874532719,"Rist","Phyprosopus callitrichoides"
171,0.0517512517494242,0.0447006655054809,"Rist","Phyprosopus callitrichoides"
172,0.0511504202659137,0.0443181879974775,"Rist","Phyprosopus callitrichoides"
173,0.0505565644273191,0.0439432167158251,"Rist","Phyprosopus callitrichoides"
