"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.01277848051483e-11,"Rist","Prionoxystus robiniae"
70,2.22044604925031e-16,4.29428550510733e-11,"Rist","Prionoxystus robiniae"
71,2.22044604925031e-16,4.58614971924471e-11,"Rist","Prionoxystus robiniae"
72,2.22044604925031e-16,4.886515617241e-11,"Rist","Prionoxystus robiniae"
73,2.22044604925031e-16,5.19390844066476e-11,"Rist","Prionoxystus robiniae"
74,2.22044604925031e-16,5.50715164896859e-11,"Rist","Prionoxystus robiniae"
75,2.22044604925031e-16,5.82530154255754e-11,"Rist","Prionoxystus robiniae"
76,2.22044604925031e-16,6.14759637752556e-11,"Rist","Prionoxystus robiniae"
77,2.22044604925031e-16,6.47341708547114e-11,"Rist","Prionoxystus robiniae"
78,2.22044604925031e-16,6.8022570288274e-11,"Rist","Prionoxystus robiniae"
79,2.22044604925031e-16,7.13369868947748e-11,"Rist","Prionoxystus robiniae"
80,2.22044604925031e-16,7.46739564242647e-11,"Rist","Prionoxystus robiniae"
81,2.22044604925031e-16,7.80305855104679e-11,"Rist","Prionoxystus robiniae"
82,2.22044604925031e-16,8.14044422644482e-11,"Rist","Prionoxystus robiniae"
83,2.22044604925031e-16,8.4793470290414e-11,"Rist","Prionoxystus robiniae"
84,2.22044604925031e-16,8.81959206858366e-11,"Rist","Prionoxystus robiniae"
85,2.22044604925031e-16,9.16102979232096e-11,"Rist","Prionoxystus robiniae"
86,2.22044604925031e-16,9.50353165079288e-11,"Rist","Prionoxystus robiniae"
87,2.22044604925031e-16,9.84698660513511e-11,"Rist","Prionoxystus robiniae"
88,2.22044604925031e-16,1.01912982955094e-10,"Rist","Prionoxystus robiniae"
89,2.22044604925031e-16,1.05363827320697e-10,"Rist","Prionoxystus robiniae"
90,2.22044604925031e-16,1.0882166401389e-10,"Rist","Prionoxystus robiniae"
91,2.22044604925031e-16,1.1228584705146e-10,"Rist","Prionoxystus robiniae"
92,2.22044604925031e-16,1.15755806660408e-10,"Rist","Prionoxystus robiniae"
93,2.22044604925031e-16,1.19231038498225e-10,"Rist","Prionoxystus robiniae"
94,2.22044604925031e-16,1.22711094630253e-10,"Rist","Prionoxystus robiniae"
95,2.22044604925031e-16,1.26195575942939e-10,"Rist","Prionoxystus robiniae"
96,2.22044604925031e-16,1.29684125736388e-10,"Rist","Prionoxystus robiniae"
97,2.22044604925031e-16,1.3317642429003e-10,"Rist","Prionoxystus robiniae"
98,2.22044604925031e-16,1.36672184235019e-10,"Rist","Prionoxystus robiniae"
99,2.22044604925031e-16,1.40171146598326e-10,"Rist","Prionoxystus robiniae"
100,2.22044604925031e-16,1.43673077408518e-10,"Rist","Prionoxystus robiniae"
101,2.22044604925031e-16,1.47177764773094e-10,"Rist","Prionoxystus robiniae"
102,2.22044604925031e-16,1.5068501635332e-10,"Rist","Prionoxystus robiniae"
103,2.22044604925031e-16,1.54194657175345e-10,"Rist","Prionoxystus robiniae"
104,2.22044604925031e-16,1.57706527726882e-10,"Rist","Prionoxystus robiniae"
105,2.22044604925031e-16,1.61220482297205e-10,"Rist","Prionoxystus robiniae"
106,2.22044604925031e-16,1.64736387525169e-10,"Rist","Prionoxystus robiniae"
107,2.22044604925031e-16,1.68254121125658e-10,"Rist","Prionoxystus robiniae"
108,2.22044604925031e-16,1.71773570769542e-10,"Rist","Prionoxystus robiniae"
109,2.22044604925031e-16,1.75294633096098e-10,"Rist","Prionoxystus robiniae"
110,2.22044604925031e-16,1.78817212840091e-10,"Rist","Prionoxystus robiniae"
111,2.22044604925031e-16,1.82341222058334e-10,"Rist","Prionoxystus robiniae"
112,2.22044604925031e-16,1.85866579442838e-10,"Rist","Prionoxystus robiniae"
113,2.22044604925031e-16,1.89393209709485e-10,"Rist","Prionoxystus robiniae"
114,2.22044604925031e-16,1.92921043052765e-10,"Rist","Prionoxystus robiniae"
115,2.22044604925031e-16,1.96450014658433e-10,"Rist","Prionoxystus robiniae"
116,2.22044604925031e-16,1.99980064267056e-10,"Rist","Prionoxystus robiniae"
117,2.22044604925031e-16,2.03511135782392e-10,"Rist","Prionoxystus robiniae"
118,2.22044604925031e-16,2.07043176919328e-10,"Rist","Prionoxystus robiniae"
119,2.22044604925031e-16,2.10576138886824e-10,"Rist","Prionoxystus robiniae"
120,2.22044604925031e-16,2.14109976101871e-10,"Rist","Prionoxystus robiniae"
121,2.22044604925031e-16,2.17644645931e-10,"Rist","Prionoxystus robiniae"
122,2.22044604925031e-16,2.21180108456304e-10,"Rist","Prionoxystus robiniae"
123,2.22044604925031e-16,2.24716326263315e-10,"Rist","Prionoxystus robiniae"
124,2.22044604925031e-16,2.28253264248388e-10,"Rist","Prionoxystus robiniae"
125,2.22044604925031e-16,2.31790889443555e-10,"Rist","Prionoxystus robiniae"
126,2.22044604925031e-16,2.35329170857014e-10,"Rist","Prionoxystus robiniae"
127,2.22044604925031e-16,2.38868079327671e-10,"Rist","Prionoxystus robiniae"
128,2.22044604925031e-16,2.42407587392304e-10,"Rist","Prionoxystus robiniae"
129,2.22044604925031e-16,2.45947669164094e-10,"Rist","Prionoxystus robiniae"
130,2.22044604925031e-16,2.49488300221412e-10,"Rist","Prionoxystus robiniae"
131,2.22044604925031e-16,2.53029457505868e-10,"Rist","Prionoxystus robiniae"
132,2.22044604925031e-16,2.56571119228731e-10,"Rist","Prionoxystus robiniae"
133,2.22044604925031e-16,2.60113264784939e-10,"Rist","Prionoxystus robiniae"
134,2.22044604925031e-16,2.6365587467398e-10,"Rist","Prionoxystus robiniae"
135,2.22044604925031e-16,2.67198930427031e-10,"Rist","Prionoxystus robiniae"
136,2.22044604925031e-16,2.70742414539766e-10,"Rist","Prionoxystus robiniae"
137,2.22044604925031e-16,2.74286310410348e-10,"Rist","Prionoxystus robiniae"
138,2.22044604925031e-16,2.77830602282122e-10,"Rist","Prionoxystus robiniae"
139,2.22044604925031e-16,2.81375275190621e-10,"Rist","Prionoxystus robiniae"
140,2.22044604925031e-16,2.84920314914493e-10,"Rist","Prionoxystus robiniae"
141,2.22044604925031e-16,2.88465707930035e-10,"Rist","Prionoxystus robiniae"
142,2.22044604925031e-16,2.92011441369005e-10,"Rist","Prionoxystus robiniae"
143,2.22044604925031e-16,2.95557502979468e-10,"Rist","Prionoxystus robiniae"
144,2.22044604925031e-16,2.99103881089393e-10,"Rist","Prionoxystus robiniae"
145,2.22044604925031e-16,3.02650564572814e-10,"Rist","Prionoxystus robiniae"
146,2.22044604925031e-16,3.06197542818316e-10,"Rist","Prionoxystus robiniae"
147,2.22044604925031e-16,3.09744805699678e-10,"Rist","Prionoxystus robiniae"
148,2.22044604925031e-16,3.13292343548504e-10,"Rist","Prionoxystus robiniae"
149,2.22044604925031e-16,3.16840147128679e-10,"Rist","Prionoxystus robiniae"
150,2.22044604925031e-16,3.2038820761251e-10,"Rist","Prionoxystus robiniae"
151,2.22044604925031e-16,3.23936516558441e-10,"Rist","Prionoxystus robiniae"
152,2.22044604925031e-16,3.27485065890192e-10,"Rist","Prionoxystus robiniae"
153,2.22044604925031e-16,3.31033847877245e-10,"Rist","Prionoxystus robiniae"
154,2.22044604925031e-16,3.34582855116565e-10,"Rist","Prionoxystus robiniae"
155,2.22044604925031e-16,3.38132080515463e-10,"Rist","Prionoxystus robiniae"
156,2.22044604925031e-16,3.41681517275525e-10,"Rist","Prionoxystus robiniae"
157,2.22044604925031e-16,3.45231158877526e-10,"Rist","Prionoxystus robiniae"
158,2.22044604925031e-16,3.48780999067266e-10,"Rist","Prionoxystus robiniae"
159,2.22044604925031e-16,3.52331031842253e-10,"Rist","Prionoxystus robiniae"
160,2.22044604925031e-16,3.55881251439183e-10,"Rist","Prionoxystus robiniae"
161,2.22044604925031e-16,3.59431652322158e-10,"Rist","Prionoxystus robiniae"
162,2.22044604925031e-16,3.62982229171596e-10,"Rist","Prionoxystus robiniae"
163,2.22044604925031e-16,3.66532976873774e-10,"Rist","Prionoxystus robiniae"
164,2.22044604925031e-16,3.70083890510984e-10,"Rist","Prionoxystus robiniae"
