"doy","fit","se","Site","validName"
69,0.00111694831937433,0.00603826113586849,"Rist","Ptichodis vinculum"
70,0.00119827736297168,0.00638387462987808,"Rist","Ptichodis vinculum"
71,0.00128551542926665,0.00674792879401213,"Rist","Ptichodis vinculum"
72,0.00137907713297033,0.00713124724088349,"Rist","Ptichodis vinculum"
73,0.00147940406871693,0.00753467554068195,"Rist","Ptichodis vinculum"
74,0.00158696632247513,0.00795908050472899,"Rist","Ptichodis vinculum"
75,0.00170226404133764,0.00840534933677785,"Rist","Ptichodis vinculum"
76,0.00182582906105152,0.00887438864731623,"Rist","Ptichodis vinculum"
77,0.001958226590241,0.00936712332699553,"Rist","Ptichodis vinculum"
78,0.00210005694981866,0.00988449527634543,"Rist","Ptichodis vinculum"
79,0.00225195736557552,0.0104274619901484,"Rist","Ptichodis vinculum"
80,0.0024146038113849,0.0109969949962585,"Rist","Ptichodis vinculum"
81,0.00258871289984452,0.0115940781502582,"Rist","Ptichodis vinculum"
82,0.00277504381651583,0.0122197057891656,"Rist","Ptichodis vinculum"
83,0.00297440029319474,0.0128748807494402,"Rist","Ptichodis vinculum"
84,0.00318763261486405,0.0135606122567865,"Rist","Ptichodis vinculum"
85,0.0034156396541305,0.0142779136977171,"Rist","Ptichodis vinculum"
86,0.00365937092604059,0.015027800285519,"Rist","Ptichodis vinculum"
87,0.00391982865519405,0.0158112866361366,"Rist","Ptichodis vinculum"
88,0.00419806984603588,0.016629384272538,"Rist","Ptichodis vinculum"
89,0.00449520834610341,0.0174830990793441,"Rist","Ptichodis vinculum"
90,0.00481241689083744,0.0183734287328265,"Rist","Ptichodis vinculum"
91,0.00515092911733499,0.019301360134787,"Rist","Ptichodis vinculum"
92,0.00551204153313033,0.0202678668822641,"Rist","Ptichodis vinculum"
93,0.00589711542474071,0.0212739068083914,"Rist","Ptichodis vinculum"
94,0.00630757868930985,0.0223204196329951,"Rist","Ptichodis vinculum"
95,0.00674492757122905,0.0234083247645498,"Rist","Ptichodis vinculum"
96,0.00721072828412022,0.0245385192978163,"Rist","Ptichodis vinculum"
97,0.00770661849703238,0.025711876253718,"Rist","Ptichodis vinculum"
98,0.00823430866214351,0.0269292431096374,"Rist","Ptichodis vinculum"
99,0.00879558315968292,0.0281914406691598,"Rist","Ptichodis vinculum"
100,0.00939230123420446,0.0294992623201692,"Rist","Ptichodis vinculum"
101,0.0100263976947644,0.0308534737289147,"Rist","Ptichodis vinculum"
102,0.0106998833500008,0.0322548130149934,"Rist","Ptichodis vinculum"
103,0.0114148451475932,0.0337039914478982,"Rist","Ptichodis vinculum"
104,0.0121734459861135,0.035201694699622,"Rist","Ptichodis vinculum"
105,0.0129779241658934,0.0367485846795417,"Rist","Ptichodis vinculum"
106,0.0138305924442357,0.0383453019671707,"Rist","Ptichodis vinculum"
107,0.0147338366591211,0.0399924688451536,"Rist","Ptichodis vinculum"
108,0.0156901138845309,0.0416906929188471,"Rist","Ptichodis vinculum"
109,0.0167019500796413,0.0434405712898269,"Rist","Ptichodis vinculum"
110,0.0177719371934801,0.0452426952285556,"Rist","Ptichodis vinculum"
111,0.0189027296861975,0.0470976552661964,"Rist","Ptichodis vinculum"
112,0.0200970404279208,0.0490060465972008,"Rist","Ptichodis vinculum"
