"doy","fit","se","Site","validName"
69,0.523612521414265,0.502404222852159,"Rist","Renia flavipunctalis"
70,0.526943543874038,0.491796924431175,"Rist","Renia flavipunctalis"
71,0.530282301892667,0.481317691947193,"Rist","Renia flavipunctalis"
72,0.533615134821864,0.47098907419379,"Rist","Renia flavipunctalis"
73,0.536928042352367,0.460836420253387,"Rist","Renia flavipunctalis"
74,0.540206687930291,0.450887781796408,"Rist","Renia flavipunctalis"
75,0.54343640592865,0.441173751893953,"Rist","Renia flavipunctalis"
76,0.546602212720263,0.431727227468405,"Rist","Renia flavipunctalis"
77,0.549688821791322,0.42258308208808,"Rist","Renia flavipunctalis"
78,0.552680663025224,0.413777736266302,"Rist","Renia flavipunctalis"
79,0.555561906273322,0.405348614124513,"Rist","Renia flavipunctalis"
80,0.55831648931311,0.397333478635694,"Rist","Renia flavipunctalis"
81,0.560928150274981,0.389769643031396,"Rist","Renia flavipunctalis"
82,0.563380464595691,0.382693063571596,"Rist","Renia flavipunctalis"
83,0.565656886530512,0.376137328681516,"Rist","Renia flavipunctalis"
84,0.567740795226229,0.370132571040591,"Rist","Renia flavipunctalis"
85,0.569615545324111,0.364704341605157,"Rist","Renia flavipunctalis"
86,0.571264522025544,0.359872496316973,"Rist","Renia flavipunctalis"
87,0.57267120051345,0.355650155513855,"Rist","Renia flavipunctalis"
88,0.573819209580142,0.352042800826353,"Rist","Renia flavipunctalis"
89,0.574692399266996,0.349047572903597,"Rist","Renia flavipunctalis"
90,0.575274912273742,0.346652824732517,"Rist","Renia flavipunctalis"
91,0.575551258845532,0.344837969830751,"Rist","Renia flavipunctalis"
92,0.575506394794688,0.343573643760059,"Rist","Renia flavipunctalis"
93,0.5751258022619,0.342822173898803,"Rist","Renia flavipunctalis"
94,0.574395572768752,0.342538329509413,"Rist","Renia flavipunctalis"
95,0.573302492060943,0.342670305002986,"Rist","Renia flavipunctalis"
96,0.571834126189809,0.3431608762998,"Rist","Renia flavipunctalis"
97,0.569978908229552,0.343948664432769,"Rist","Renia flavipunctalis"
98,0.567726224979961,0.344969441820932,"Rist","Renia flavipunctalis"
99,0.565066502959691,0.346157423645034,"Rist","Renia flavipunctalis"
100,0.561991292954977,0.34744649753954,"Rist","Renia flavipunctalis"
101,0.558493352353114,0.348771357292654,"Rist","Renia flavipunctalis"
102,0.554566724460515,0.350068518599828,"Rist","Renia flavipunctalis"
103,0.55020681398252,0.351277205832746,"Rist","Renia flavipunctalis"
104,0.545410457826806,0.352340107518095,"Rist","Renia flavipunctalis"
105,0.540175990385744,0.353204004528208,"Rist","Renia flavipunctalis"
106,0.534503302455488,0.353820278998706,"Rist","Renia flavipunctalis"
107,0.528393892961951,0.354145314061996,"Rist","Renia flavipunctalis"
108,0.521850912686696,0.354140795072173,"Rist","Renia flavipunctalis"
109,0.514879199219603,0.35377392254987,"Rist","Renia flavipunctalis"
110,0.507485302410053,0.353017545993347,"Rist","Renia flavipunctalis"
111,0.499677499644962,0.351850226308483,"Rist","Renia flavipunctalis"
