"doy","fit","se","Site","validName"
69,1.26548599223215e-05,0.000520398306380384,"Rist","Spilosoma congrua"
70,1.19286001804303e-05,0.000478741903911269,"Rist","Spilosoma congrua"
71,1.12494754717346e-05,0.000440407030267126,"Rist","Spilosoma congrua"
72,1.06193116316018e-05,0.000405322885942267,"Rist","Spilosoma congrua"
73,1.00390452284416e-05,0.000373378122814171,"Rist","Spilosoma congrua"
74,9.50891706228186e-06,0.00034443253739321,"Rist","Spilosoma congrua"
75,9.02865300753115e-06,0.000318327140054041,"Rist","Spilosoma congrua"
76,8.59763038038052e-06,0.000294892630670784,"Rist","Spilosoma congrua"
77,8.21502963827363e-06,0.000273956382943019,"Rist","Spilosoma congrua"
78,7.87997256905381e-06,0.000255348087613713,"Rist","Spilosoma congrua"
79,7.5916492483831e-06,0.000238904233357284,"Rist","Spilosoma congrua"
80,7.34943700804244e-06,0.000224471618094654,"Rist","Spilosoma congrua"
81,7.1530155448267e-06,0.000211910087312348,"Rist","Spilosoma congrua"
82,7.00248320919627e-06,0.000201094693647021,"Rist","Spilosoma congrua"
83,6.89848055752565e-06,0.000191917467157265,"Rist","Spilosoma congrua"
84,6.84232856918459e-06,0.000184288981454042,"Rist","Spilosoma congrua"
85,6.83619069340901e-06,0.000178139900205044,"Rist","Spilosoma congrua"
86,6.88327032849965e-06,0.000173422694266451,"Rist","Spilosoma congrua"
87,6.9880587583234e-06,0.000170113735070091,"Rist","Spilosoma congrua"
88,7.15665341521936e-06,0.000168215998593527,"Rist","Spilosoma congrua"
89,7.39717323301798e-06,0.000167762661330379,"Rist","Spilosoma congrua"
90,7.72030771360679e-06,0.000168821941903431,"Rist","Spilosoma congrua"
91,8.1400505136985e-06,0.000171503649249543,"Rist","Spilosoma congrua"
92,8.67468889120723e-06,0.00017596805480164,"Rist","Spilosoma congrua"
93,9.3481502989418e-06,0.0001824379330917,"Rist","Spilosoma congrua"
94,1.01918514528813e-05,0.000191214943961199,"Rist","Spilosoma congrua"
95,1.12472605392159e-05,0.000202702007587655,"Rist","Spilosoma congrua"
96,1.2569481073901e-05,0.000217434022498199,"Rist","Spilosoma congrua"
97,1.42323139249612e-05,0.000236120306435933,"Rist","Spilosoma congrua"
98,1.63354801700063e-05,0.000259703670149922,"Rist","Spilosoma congrua"
99,1.90150367929983e-05,0.000289443329344916,"Rist","Spilosoma congrua"
100,2.24585628227021e-05,0.000327032337603269,"Rist","Spilosoma congrua"
101,2.69275554702861e-05,0.000374765547722204,"Rist","Spilosoma congrua"
102,3.27908537907341e-05,0.000435782352747055,"Rist","Spilosoma congrua"
103,4.05751373628384e-05,0.000514421370127787,"Rist","Spilosoma congrua"
104,5.10422020226271e-05,0.000616744703830756,"Rist","Spilosoma congrua"
105,6.53087822036286e-05,0.000751322293606619,"Rist","Spilosoma congrua"
106,8.50348990099372e-05,0.000930420371129406,"Rist","Spilosoma congrua"
107,0.000112724131212825,0.00117182640361941,"Rist","Spilosoma congrua"
108,0.000152209348170881,0.00150169107256752,"Rist","Spilosoma congrua"
109,0.000209450373468899,0.00195902042847724,"Rist","Spilosoma congrua"
110,0.000293864406503047,0.00260288976112971,"Rist","Spilosoma congrua"
111,0.000420580874240708,0.00352422659950091,"Rist","Spilosoma congrua"
112,0.000614326696294767,0.0048654130189897,"Rist","Spilosoma congrua"
113,0.000916235774225206,0.00685355356036474,"Rist","Spilosoma congrua"
114,0.00139599460164397,0.0098581837150935,"Rist","Spilosoma congrua"
115,0.0021738997962604,0.0144938113737662,"Rist","Spilosoma congrua"
116,0.00346166665360174,0.0218070043827887,"Rist","Spilosoma congrua"
117,0.00563938257063614,0.0336277334442171,"Rist","Spilosoma congrua"
118,0.00940349098129029,0.0532499888363854,"Rist","Spilosoma congrua"
119,0.0160571535077979,0.086793938178901,"Rist","Spilosoma congrua"
120,0.0280918634904407,0.146023915296004,"Rist","Spilosoma congrua"
121,0.050377398119247,0.254370745936222,"Rist","Spilosoma congrua"
122,0.0926498589140626,0.460205879551444,"Rist","Spilosoma congrua"
123,0.174830937727782,0.866956960865187,"Rist","Spilosoma congrua"
124,0.338662381630477,1.70331142641248,"Rist","Spilosoma congrua"
125,0.673754109135366,3.49118943252026,"Rist","Spilosoma congrua"
126,1.37731203987293,7.4580621903991,"Rist","Spilosoma congrua"
127,2.89447871399248,16.5751865402326,"Rist","Spilosoma congrua"
128,6.25642332307461,38.2395165171403,"Rist","Spilosoma congrua"
129,13.9158677732372,91.3813988973456,"Rist","Spilosoma congrua"
130,31.8664373564137,225.794621789641,"Rist","Spilosoma congrua"
131,75.1634029150347,576.097093167111,"Rist","Spilosoma congrua"
132,182.70048867021,1516.40360958469,"Rist","Spilosoma congrua"
133,457.871896879992,4115.75243979304,"Rist","Spilosoma congrua"
134,1183.66804407376,11516.2207735469,"Rist","Spilosoma congrua"
135,3157.97119003901,33220.6231975779,"Rist","Spilosoma congrua"
136,8699.40122275917,98815.6533849224,"Rist","Spilosoma congrua"
137,24756.2104955076,303178.358717269,"Rist","Spilosoma congrua"
138,72812.0453381053,959831.292829225,"Rist","Spilosoma congrua"
139,221440.57704145,3136965.90144838,"Rist","Spilosoma congrua"
140,696429.552080107,10584309.6169217,"Rist","Spilosoma congrua"
141,2229022.26966581,36249575.7020033,"Rist","Spilosoma congrua"
142,6997661.74318639,121226949.805104,"Rist","Spilosoma congrua"
143,20738193.7686893,380401095.68206,"Rist","Spilosoma congrua"
144,55840137.2861505,1076580753.49218,"Rist","Spilosoma congrua"
145,131479400.690443,2641847763.00248,"Rist","Spilosoma congrua"
146,260545013.48634,5404417603.77334,"Rist","Spilosoma congrua"
147,418215138.577382,8860816496.51394,"Rist","Spilosoma congrua"
148,523343445.292013,11192129583.2673,"Rist","Spilosoma congrua"
149,491385126.962327,10465454198.6272,"Rist","Spilosoma congrua"
150,333183530.81496,6957854211.79834,"Rist","Spilosoma congrua"
151,157018009.706204,3156229235.66918,"Rist","Spilosoma congrua"
152,49499174.4071611,936170460.753583,"Rist","Spilosoma congrua"
153,10046322.3834056,173601241.082823,"Rist","Spilosoma congrua"
154,1263441.25985785,19162503.0367653,"Rist","Spilosoma congrua"
155,94758.8786495715,1188603.76504966,"Rist","Spilosoma congrua"
156,4079.24513956403,38339.815221814,"Rist","Spilosoma congrua"
157,97.0091844909617,563.887463724488,"Rist","Spilosoma congrua"
158,1.22658367986331,3.43838888404594,"Rist","Spilosoma congrua"
159,0.00793616907855505,0.0424651697515656,"Rist","Spilosoma congrua"
160,2.52890296490111e-05,0.000275465977942601,"Rist","Spilosoma congrua"
161,3.81978629024083e-08,6.67635142895867e-07,"Rist","Spilosoma congrua"
162,2.63214454048877e-11,6.56649444461838e-10,"Rist","Spilosoma congrua"
163,7.96383573953824e-15,2.65181264212064e-13,"Rist","Spilosoma congrua"
164,2.22044604925031e-16,9.44962863693594e-15,"Rist","Spilosoma congrua"
165,2.22044604925031e-16,1.17148784889689e-14,"Rist","Spilosoma congrua"
166,2.22044604925031e-16,1.41977044332889e-14,"Rist","Spilosoma congrua"
167,2.22044604925031e-16,1.69066650580758e-14,"Rist","Spilosoma congrua"
168,2.22044604925031e-16,1.98504597776211e-14,"Rist","Spilosoma congrua"
169,2.22044604925031e-16,2.3037863593903e-14,"Rist","Spilosoma congrua"
170,2.22044604925031e-16,2.6477694790614e-14,"Rist","Spilosoma congrua"
171,2.22044604925031e-16,3.01787977137008e-14,"Rist","Spilosoma congrua"
172,2.22044604925031e-16,3.41500330405362e-14,"Rist","Spilosoma congrua"
173,2.22044604925031e-16,3.84002720139837e-14,"Rist","Spilosoma congrua"
174,2.22044604925031e-16,4.29383928897914e-14,"Rist","Spilosoma congrua"
175,2.22044604925031e-16,4.77732786753126e-14,"Rist","Spilosoma congrua"
176,2.22044604925031e-16,5.29138156503154e-14,"Rist","Spilosoma congrua"
177,2.22044604925031e-16,5.83688923767323e-14,"Rist","Spilosoma congrua"
178,2.22044604925031e-16,6.41473990226573e-14,"Rist","Spilosoma congrua"
179,2.22044604925031e-16,7.02582268931025e-14,"Rist","Spilosoma congrua"
180,2.22044604925031e-16,7.67102680996887e-14,"Rist","Spilosoma congrua"
181,2.22044604925031e-16,8.35124153253827e-14,"Rist","Spilosoma congrua"
182,2.22044604925031e-16,9.0673561655282e-14,"Rist","Spilosoma congrua"
183,2.22044604925031e-16,9.82026004539657e-14,"Rist","Spilosoma congrua"
184,2.22044604925031e-16,1.06108425276065e-13,"Rist","Spilosoma congrua"
185,2.22044604925031e-16,1.14399929800782e-13,"Rist","Spilosoma congrua"
186,2.22044604925031e-16,1.23086007783851e-13,"Rist","Spilosoma congrua"
187,2.22044604925031e-16,1.32175553022284e-13,"Rist","Spilosoma congrua"
188,2.22044604925031e-16,1.41677459328571e-13,"Rist","Spilosoma congrua"
189,2.22044604925031e-16,1.51600620511896e-13,"Rist","Spilosoma congrua"
190,2.22044604925031e-16,1.61953930364597e-13,"Rist","Spilosoma congrua"
191,2.22044604925031e-16,1.72746282652536e-13,"Rist","Spilosoma congrua"
192,2.22044604925031e-16,1.83986571108428e-13,"Rist","Spilosoma congrua"
193,2.22044604925031e-16,1.95683689427368e-13,"Rist","Spilosoma congrua"
194,2.22044604925031e-16,2.07846531264017e-13,"Rist","Spilosoma congrua"
195,2.22044604925031e-16,2.2048399023104e-13,"Rist","Spilosoma congrua"
196,2.22044604925031e-16,2.33604959898456e-13,"Rist","Spilosoma congrua"
197,2.22044604925031e-16,2.47218333793685e-13,"Rist","Spilosoma congrua"
198,2.22044604925031e-16,2.61333005402094e-13,"Rist","Spilosoma congrua"
199,2.22044604925031e-16,2.759578681679e-13,"Rist","Spilosoma congrua"
200,2.22044604925031e-16,2.91101815495336e-13,"Rist","Spilosoma congrua"
201,2.22044604925031e-16,3.06773740749988e-13,"Rist","Spilosoma congrua"
202,2.22044604925031e-16,3.22982537260244e-13,"Rist","Spilosoma congrua"
203,2.22044604925031e-16,3.39737098318807e-13,"Rist","Spilosoma congrua"
204,2.22044604925031e-16,3.57046317184238e-13,"Rist","Spilosoma congrua"
205,2.22044604925031e-16,3.74919087082502e-13,"Rist","Spilosoma congrua"
206,2.22044604925031e-16,3.933643012085e-13,"Rist","Spilosoma congrua"
207,2.22044604925031e-16,4.12390852727558e-13,"Rist","Spilosoma congrua"
208,2.22044604925031e-16,4.3200763477689e-13,"Rist","Spilosoma congrua"
209,2.22044604925031e-16,4.52223540467001e-13,"Rist","Spilosoma congrua"
210,2.22044604925031e-16,4.73047462883035e-13,"Rist","Spilosoma congrua"
211,2.22044604925031e-16,4.94488295086078e-13,"Rist","Spilosoma congrua"
212,2.22044604925031e-16,5.16554930114391e-13,"Rist","Spilosoma congrua"
213,2.22044604925031e-16,5.3925626098459e-13,"Rist","Spilosoma congrua"
214,2.22044604925031e-16,5.62601180692767e-13,"Rist","Spilosoma congrua"
215,2.22044604925031e-16,5.86598582215556e-13,"Rist","Spilosoma congrua"
216,2.22044604925031e-16,6.11257358511142e-13,"Rist","Spilosoma congrua"
217,2.22044604925031e-16,6.3658640252022e-13,"Rist","Spilosoma congrua"
218,2.22044604925031e-16,6.62594607166895e-13,"Rist","Spilosoma congrua"
219,2.22044604925031e-16,6.89290865359543e-13,"Rist","Spilosoma congrua"
220,2.22044604925031e-16,7.16684069991617e-13,"Rist","Spilosoma congrua"
221,2.22044604925031e-16,7.44783113942416e-13,"Rist","Spilosoma congrua"
222,2.22044604925031e-16,7.73596890077802e-13,"Rist","Spilosoma congrua"
223,2.22044604925031e-16,8.03134291250886e-13,"Rist","Spilosoma congrua"
224,2.22044604925031e-16,8.33404210302673e-13,"Rist","Spilosoma congrua"
225,2.22044604925031e-16,8.64415469266143e-13,"Rist","Spilosoma congrua"
226,2.22044604925031e-16,8.96161881228079e-13,"Rist","Spilosoma congrua"
227,2.22044604925031e-16,9.28603771927955e-13,"Rist","Spilosoma congrua"
228,2.22044604925031e-16,9.61696935238441e-13,"Rist","Spilosoma congrua"
229,2.22044604925031e-16,9.95397164225026e-13,"Rist","Spilosoma congrua"
230,2.22044604925031e-16,1.0296602512427e-12,"Rist","Spilosoma congrua"
231,2.22044604925031e-16,1.06444198802426e-12,"Rist","Spilosoma congrua"
232,2.22044604925031e-16,1.09969816576002e-12,"Rist","Spilosoma congrua"
233,2.22044604925031e-16,1.13538457516933e-12,"Rist","Spilosoma congrua"
234,2.22044604925031e-16,1.1714570065641e-12,"Rist","Spilosoma congrua"
235,2.22044604925031e-16,1.20787124990501e-12,"Rist","Spilosoma congrua"
236,2.22044604925031e-16,1.24458309485096e-12,"Rist","Spilosoma congrua"
237,2.22044604925031e-16,1.28154833080249e-12,"Rist","Spilosoma congrua"
238,2.22044604925031e-16,1.3187227469396e-12,"Rist","Spilosoma congrua"
239,2.22044604925031e-16,1.35606213225482e-12,"Rist","Spilosoma congrua"
240,2.22044604925031e-16,1.3935222755819e-12,"Rist","Spilosoma congrua"
241,2.22044604925031e-16,1.43105896562072e-12,"Rist","Spilosoma congrua"
242,2.22044604925031e-16,1.46862799095885e-12,"Rist","Spilosoma congrua"
243,2.22044604925031e-16,1.50618514009025e-12,"Rist","Spilosoma congrua"
244,2.22044604925031e-16,1.5436862014314e-12,"Rist","Spilosoma congrua"
245,2.22044604925031e-16,1.58108696333525e-12,"Rist","Spilosoma congrua"
246,2.22044604925031e-16,1.61834321410326e-12,"Rist","Spilosoma congrua"
247,2.22044604925031e-16,1.65541074199584e-12,"Rist","Spilosoma congrua"
248,2.22044604925031e-16,1.69224533524127e-12,"Rist","Spilosoma congrua"
249,2.22044604925031e-16,1.72880278204355e-12,"Rist","Spilosoma congrua"
250,2.22044604925031e-16,1.76503887058908e-12,"Rist","Spilosoma congrua"
251,2.22044604925031e-16,1.80090938905253e-12,"Rist","Spilosoma congrua"
252,2.22044604925031e-16,1.83637012560188e-12,"Rist","Spilosoma congrua"
253,2.22044604925031e-16,1.87137686840287e-12,"Rist","Spilosoma congrua"
254,2.22044604925031e-16,1.90588540562291e-12,"Rist","Spilosoma congrua"
255,2.22044604925031e-16,1.93985152543444e-12,"Rist","Spilosoma congrua"
256,2.22044604925031e-16,1.97323101601805e-12,"Rist","Spilosoma congrua"
257,2.22044604925031e-16,2.00597966556516e-12,"Rist","Spilosoma congrua"
258,2.22044604925031e-16,2.03805326228052e-12,"Rist","Spilosoma congrua"
259,2.22044604925031e-16,2.06940759438447e-12,"Rist","Spilosoma congrua"
260,2.22044604925031e-16,2.09999845011508e-12,"Rist","Spilosoma congrua"
261,2.22044604925031e-16,2.12978161773014e-12,"Rist","Spilosoma congrua"
262,2.22044604925031e-16,2.15871288550911e-12,"Rist","Spilosoma congrua"
263,2.22044604925031e-16,2.18674804175504e-12,"Rist","Spilosoma congrua"
264,2.22044604925031e-16,2.21384287479642e-12,"Rist","Spilosoma congrua"
265,2.22044604925031e-16,2.23995317298918e-12,"Rist","Spilosoma congrua"
266,2.22044604925031e-16,2.26503472471862e-12,"Rist","Spilosoma congrua"
267,2.22044604925031e-16,2.28904331840156e-12,"Rist","Spilosoma congrua"
268,2.22044604925031e-16,2.31193474248851e-12,"Rist","Spilosoma congrua"
269,2.22044604925031e-16,2.33366478546606e-12,"Rist","Spilosoma congrua"
270,2.22044604925031e-16,2.35418923585948e-12,"Rist","Spilosoma congrua"
271,2.22044604925031e-16,2.37346388223548e-12,"Rist","Spilosoma congrua"
272,2.22044604925031e-16,2.39144451320531e-12,"Rist","Spilosoma congrua"
273,2.22044604925031e-16,2.40808691742815e-12,"Rist","Spilosoma congrua"
274,2.22044604925031e-16,2.42334688361485e-12,"Rist","Spilosoma congrua"
275,2.22044604925031e-16,2.43718020053213e-12,"Rist","Spilosoma congrua"
276,2.22044604925031e-16,2.44954265700725e-12,"Rist","Spilosoma congrua"
277,2.22044604925031e-16,2.46039004193319e-12,"Rist","Spilosoma congrua"
278,2.22044604925031e-16,2.46967814427453e-12,"Rist","Spilosoma congrua"
279,2.22044604925031e-16,2.47736275307407e-12,"Rist","Spilosoma congrua"
280,2.22044604925031e-16,2.48339965746018e-12,"Rist","Spilosoma congrua"
281,2.22044604925031e-16,2.48774464665531e-12,"Rist","Spilosoma congrua"
282,2.22044604925031e-16,2.49035350998541e-12,"Rist","Spilosoma congrua"
283,2.22044604925031e-16,2.49118914907509e-12,"Rist","Spilosoma congrua"
284,2.22044604925031e-16,2.49026702914794e-12,"Rist","Spilosoma congrua"
285,2.22044604925031e-16,2.48762617461964e-12,"Rist","Spilosoma congrua"
286,2.22044604925031e-16,2.48330572110297e-12,"Rist","Spilosoma congrua"
287,2.22044604925031e-16,2.47734480427489e-12,"Rist","Spilosoma congrua"
288,2.22044604925031e-16,2.46978255987236e-12,"Rist","Spilosoma congrua"
289,2.22044604925031e-16,2.46065812368861e-12,"Rist","Spilosoma congrua"
